utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,WeekNumber,CorrectedRxTime,AdjustedBiasRxClock,RxTimeGPSFrame,RxTimeWeekFrame,Pseudorangens,Pseudorangem,X,Y,Z,B
1676592832616,1105000000,NaN,NaN,-1.360628049512e+18,0,2200000103,NaN,NaN,50,6,0,17,387966,12,40.6978073120117,333.616977734943,0.15,16,156.086592496989,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,37.0978088378906,0.320142130558394,1,0.320142130558394,1,C,29888931592881,2249,1105000000,-1.360628049512e+18,1.360628050617e+18,432850616999936,432850616611970,129765350300918,-2303017.91372054,-21797191.9493152,15000379.2623448,0.000571327626856578
1676592832616,1105000000,NaN,NaN,-1.360628049512e+18,0,2200000103,NaN,NaN,50,11,0,17,190275,24,34.2700843811035,-228.352186043177,5.75579147119552,16,-111.474062161726,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,30.6700839996338,-0.203726812614656,1,-0.203726812614656,1,C,29888931592881,2249,1105000000,-1.360628049512e+18,1.360628050617e+18,432850616999936,432850616809661,129765350360184,-11770985.9021546,-23691215.1163003,2583810.56074755,-0.000101712601756408
1676592832616,1105000000,NaN,NaN,-1.360628049512e+18,0,2200000103,NaN,NaN,50,12,0,17,701197,31,31.9018249511719,-336.958694432091,5.75210630558399,16,-154.232629829749,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,28.3018245697021,-0.698491907662426,1,-0.698491907662426,1,C,29888931592881,2249,1105000000,-1.360628049512e+18,1.360628050617e+18,432850616999936,432850616298739,129765350207014,-16264400.9982588,-622122.029750417,20688611.1395845,-0.000339238090825692
1676592832616,1105000000,NaN,NaN,-1.360628049512e+18,0,2200000103,NaN,NaN,50,19,0,17,664408,16,37.5079917907715,515.927445921108,0.15,16,237.406211934356,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.9079933166504,0,1,0,1,C,29888931592881,2249,1105000000,-1.360628049512e+18,1.360628050617e+18,432850616999936,432850616335528,129765350218043,1679527.79121825,-14722483.1805788,21805616.9863058,0.000276495731663381
1676592832616,1105000000,NaN,NaN,-1.360628049512e+18,0,2200000103,NaN,NaN,50,25,0,17,472747,43,29.3509330749512,-540.804810338868,5.75224476556361,16,-259.573801290308,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,25.7509326934814,-2.03726822555641,1,-2.03726822555641,1,C,29888931592881,2249,1105000000,-1.360628049512e+18,1.360628050617e+18,432850616999936,432850616527189,129765350275501,-17890115.608888,9983076.11439324,16441430.987368,0.000419337383209602
1676592832630,2105000000,NaN,NaN,-1.36062804852565e+18,0,500000207.869814,NaN,NaN,50,6,0,17,386790,17,38.9754638671875,335.107199063946,0.15,16,623.4880025581,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,35.3754653930664,0.320142130558394,1,0.320142130558394,1,C,29889969773261,2249,2105000000,-1.36062804852565e+18,1.36062805063065e+18,432850630649856,432850630263066,129765354393414,-2303017.91506996,-21797191.9510911,15000379.2595338,0.000571327626856573
1676592832630,2105000000,NaN,NaN,-1.36062804852565e+18,0,500000207.869814,NaN,NaN,50,11,0,17,190993,103,31.5758457183838,-227.742331607387,0.694240734257045,16,-429.885723914578,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,27.9758453369141,-0.203726812614656,1,-0.203726812614656,1,C,29889969773261,2249,2105000000,-1.36062804852565e+18,1.36062805063065e+18,432850630649856,432850630458863,129765354452112,-11770985.9018722,-23691215.1161939,2583810.56301594,-0.000101712601756415
1676592832630,2105000000,NaN,NaN,-1.36062804852565e+18,0,500000207.869814,NaN,NaN,50,12,0,17,702255,73,35.1905975341797,-335.306002032843,0.531601448451025,16,-625.783567467346,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,31.59059715271,-0.698491907662426,1,-0.698491907662426,1,C,29889969773261,2249,2105000000,-1.36062804852565e+18,1.36062805063065e+18,432850630649856,432850629947601,129765354298840,-16264400.9968808,-622122.032244607,20688611.1405897,-0.0003392380908257
1676592832630,2105000000,NaN,NaN,-1.36062804852565e+18,0,500000207.869814,NaN,NaN,50,19,0,17,662646,15,40.8470191955566,516.766726412982,0.15,16,960.326738432853,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,37.2470207214355,0,1,0,1,C,29889969773261,2249,2105000000,-1.36062804852565e+18,1.36062805063065e+18,432850630649856,432850629987210,129765354310714,1679527.78625624,-14722483.1808643,21805616.9865399,0.000276495731663376
1676592832630,2105000000,NaN,NaN,-1.36062804852565e+18,0,500000207.869814,NaN,NaN,50,25,0,17,474518,19,37.8430442810059,-540.54278441312,0.15,16,-1016.25572426199,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,34.2430458068848,-2.03726822555641,1,-2.03726822555641,1,C,29889969773261,2249,2105000000,-1.36062804852565e+18,1.36062805063065e+18,432850630649856,432850630175338,129765354367114,-17890115.6075549,9983076.11078725,16441430.9909889,0.000419337383209601
