utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,WeekNumber,CorrectedRxTime,AdjustedBiasRxClock,RxTimeGPSFrame,RxTimeWeekFrame,Pseudorangens,Pseudorangem,X,Y,Z,B
1676592656217,1105000000,NaN,NaN,-1.360627873113e+18,0,2200000103,NaN,NaN,44,11,0,17,384947,41,29.7512626647949,-245.060888817518,5.7522293219505,16,-116.11908198806,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,26.1512622833252,-0.203726812614656,1,-0.203726812614656,1,C,29712521708477,2249,1105000000,-1.360627873113e+18,1.360627874218e+18,432674217999872,432674217614925,129712467212005,-11770985.8255635,-23691215.0874752,2583811.17582112,-0.000101712601758375
1676592656217,1105000000,NaN,NaN,-1.360627873113e+18,0,2200000103,NaN,NaN,44,19,0,17,301362,29,32.5341758728027,514.070906349397,5.75221387833739,16,231.364182294199,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,28.9341773986816,0,1,0,1,C,29712521708477,2249,1105000000,-1.360627873113e+18,1.360627874218e+18,432674217999872,432674217698510,129712467237063,1679526.76878337,-14722483.2394058,21805617.0345334,0.000276495731662423
1676592656217,1105000000,NaN,NaN,-1.360627873113e+18,0,2200000103,NaN,NaN,44,24,0,17,732193,33,31.4767246246338,397.295685193379,5.75211163096782,16,184.274530790953,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,27.8767242431641,-0.203726812614656,1,-0.203726812614656,1,C,29712521708477,2249,1105000000,-1.360627873113e+18,1.360627874218e+18,432674217999872,432674217267679,129712467107904,-20589001.1427364,-11386091.0449329,12367150.559376,-6.99284281519498e-05
1676592656251,2105000000,NaN,NaN,-1.36062787214616e+18,0,500000178.881113,NaN,NaN,44,11,0,17,385817,21,36.5563583374023,-244.666946743799,0.15,16,-459.041081672798,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,32.9563598632812,-0.203726812614656,1,-0.203726812614656,1,C,29713575974631,2249,2105000000,-1.36062787214616e+18,1.36062787425116e+18,432674251160064,432674250774247,129712477152920,-11770985.8252212,-23691215.0873464,2583811.17856992,-0.000101712601758384
1676592656251,2105000000,NaN,NaN,-1.36062787214616e+18,0,500000178.881113,NaN,NaN,44,19,0,17,299708,27,33.6492195129395,514.573724830478,0.60102295237903,16,950.753617804637,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,30.0492191314697,0,1,0,1,C,29713575974631,2249,2105000000,-1.36062787214616e+18,1.36062787425116e+18,432674251160064,432674250860356,129712477178735,1679526.76412505,-14722483.2396738,21805617.0347531,0.000276495731662418
1676592656251,2105000000,NaN,NaN,-1.36062787214616e+18,0,500000178.881113,NaN,NaN,44,24,0,17,730854,13,42.3351440429688,398.703767802162,0.15,16,741.053297334644,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,38.7351455688477,-0.203726812614656,1,-0.203726812614656,1,C,29713575974631,2249,2105000000,-1.36062787214616e+18,1.36062787425116e+18,432674251160064,432674250429210,129712477049480,-20589001.1416917,-11386091.0430009,12367150.562741,-6.99284281519288e-05
1676592657237,3105000000,NaN,NaN,-1.3606278721323e+18,0,500000161.75502,NaN,NaN,44,11,0,17,386624,21,36.6558418273926,-244.712872853963,0.15,16,-703.61565039893,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.0558433532715,-0.203726812614656,1,-0.203726812614656,1,C,29714574247947,2249,3105000000,-1.3606278721323e+18,1.3606278752373e+18,432675237299968,432675236913344,129712772789984,-11770985.8249037,-23691215.0872269,2583811.18111971,-0.000101712601758392
1676592657237,3105000000,NaN,NaN,-1.3606278721323e+18,0,500000161.75502,NaN,NaN,44,19,0,17,297975,95,31.8092346191406,514.687048998416,0.680706870354488,16,1465.13637332417,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,28.2092342376709,0,1,0,1,C,29714574247947,2249,3105000000,-1.3606278721323e+18,1.3606278752373e+18,432675237299968,432675237001993,129712772816560,1679526.75924438,-14722483.2399547,21805617.0349833,0.000276495731662414
1676592657237,3105000000,NaN,NaN,-1.3606278721323e+18,0,500000161.75502,NaN,NaN,44,24,0,17,729535,13,42.4597969055176,399.030550395303,0.15,16,1139.093753142,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,38.8597984313965,-0.203726812614656,1,-0.203726812614656,1,C,29714574247947,2249,3105000000,-1.3606278721323e+18,1.3606278752373e+18,432675237299968,432675236570433,129712772687182,-20589001.1406626,-11386091.0410981,12367150.5660555,-6.99284281519081e-05
1676592657237,3105000000,NaN,NaN,-1.3606278721323e+18,0,500000161.75502,NaN,NaN,44,11,0,16,7386633,1000000000,18.371374130249,-246.089872262398,299792458,16,-1473.41074670612,3.40282346638529e+38,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,14.7713747024536,0,7.67128190396304,0,1,Q,29714574247947,2249,3105000000,-1.3606278721323e+18,1.3606278752373e+18,432675237299968,432675229913335,129712770691434,-11770983.0708341,-23691214.0507294,2583833.2979206,-0.000101712601829126
1676592657237,3105000000,NaN,NaN,-1.3606278721323e+18,0,500000161.75502,NaN,NaN,44,24,0,16,4729524,1000000000,25.3904361724854,398.524800822961,299792458,16,2386.30527236391,3.40282346638529e+38,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,21.7904357910156,3.52156361010957,7.67128190396304,3.52156361010957,1,Q,29714574247947,2249,3105000000,-1.3606278721323e+18,1.3606278752373e+18,432675237299968,432675232570444,129712771488015,-20589004.2614623,-11386096.8120411,12367140.5141111,-6.99284282145765e-05
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,6,0,17,910226,47,27.7949542999268,317.650880564549,5.86114833238327,16,537.426992379675,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,24.194953918457,0.320142130558394,1,0.320142130558394,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269349742,129713082306629,-2303017.31437207,-21797191.1605964,15000380.5107639,0.000571327626858836
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,11,0,17,387437,23,35.3739128112793,-244.743666353432,0.521142827293023,17,-948.415187850229,0.0973553181747792,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,31.7739124298096,-0.203726812614656,1,-0.203726812614656,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269872531,129713082463357,-11770985.8245839,-23691215.0871065,2583811.1836883,-0.0001017126017584
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,12,0,17,838731,14,41.9388961791992,-342.232170682496,0.15,16,-1263.08100916054,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,38.3388977050781,-0.698491907662426,1,-0.698491907662426,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269421237,129713082328063,-16264400.8191264,-622122.35399282,20688611.2702596,-0.00033923809082673
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,19,0,17,296254,36,30.2447566986084,514.129766751812,0.751059317943571,16,1979.11127404452,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,26.6447563171387,0,1,0,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269963714,129713082490693,1679526.75439767,-14722483.2402335,21805617.0352119,0.000276495731662409
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,20,0,17,942554,56,25.1505489349365,-527.066547021545,5.77283482961046,16,-374.168160150612,3.40282346638529e+38,1575420030,NaN,NaN,NaN,1,NaN,1,NaN,21.5505485534668,0,1,0,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269317414,129713082296938,-3285450.55848834,-22607122.8038571,-13691451.4214486,0.000451299618691247
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,24,0,17,728192,12,43.327033996582,398.726875707685,0.15,17,1537.650693259,0.0960844285791626,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,39.7270355224609,-0.203726812614656,1,-0.203726812614656,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269531776,129713082361202,-20589001.1396148,-11386091.0391603,12367150.5694306,-6.99284281518871e-05
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,25,0,17,493541,104,36.831413269043,-541.099112350942,0.15,16,-1449.26575801415,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.2314147949219,-2.03726822555641,1,-2.03726822555641,1,C,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676269766427,129713082431548,-17890115.5932351,9983076.07205424,16441431.0298829,0.000419337383209591
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,6,0,16,6910317,1000000000,21.2845344543457,318.612653405167,299792458,16,1168.52988633793,3.40282346638529e+38,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,17.684534072876,1.92085273364544,7.67128190396304,1.92085273364544,1,Q,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676263349651,129713080507847,-2303010.42863055,-21797182.0992359,15000394.8534751,0.000571327626884773
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,11,0,65553,7387434,79,24.2689762115479,-244.761167694856,1.02051934638538,16,-1718.15134251111,3.40282346638529e+38,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,20.6689758300781,0,7.67128190396304,0,1,Q,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676262872534,129713080364811,-11770983.070519,-23691214.0506107,2583833.30045131,-0.000101712601829134
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,24,0,65553,4728193,9,32.826488494873,398.802606926078,0.635219438683137,25,2784.81634573682,0.00396540807560086,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,29.2264881134033,3.52156361010957,7.67128190396304,3.52156361010957,1,Q,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676265531775,129713081162032,-20589004.2604239,-11386096.8101206,12367140.5174561,-6.99284282145557e-05
1676592658270,4105000000,NaN,NaN,-1.36062787216526e+18,0,500000058.653827,NaN,NaN,44,25,0,16,19493617,1000000000,18.0560913085938,-542.594241553685,299792458,16,-1453.03539927287,3.40282346638529e+38,1176450050,NaN,NaN,NaN,0,NaN,1,NaN,14.456090927124,1.01863411277821,7.67128190396304,1.01863411277821,1,Q,29715642217064,2249,4105000000,-1.36062787216526e+18,1.36062787627026e+18,432676270259968,432676250766351,129713076735469,-17890101.290742,9983037.38554493,16441469.8770403,0.000419337383199352
1676592659264,5105000000,NaN,NaN,-1.36062787215995e+18,0,500000086.601774,NaN,NaN,44,6,0,17,909200,38,29.3917636871338,317.872280202122,0.790067355106907,16,1172.33170801505,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,25.7917633056641,0.320142130558394,1,0.320142130558394,1,C,29716631036767,2249,5105000000,-1.36062787215995e+18,1.36062787726495e+18,432677264950016,432677264040816,129713380507511,-2303017.31554964,-21797191.1621459,15000380.5083112,0.000571327626858831
