utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,WeekNumber,CorrectedRxTime,AdjustedBiasRxClock,RxTimeGPSFrame,RxTimeWeekFrame,Pseudorangens,Pseudorangem,X,Y,Z,B
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,6,0,17,132129,13,42.7703628540039,501.988436934865,0.15,16,965.519784076298,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,38.5703620910645,0.320142130558394,1,0.320142130558394,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418867679,130139731798713,-2303018.20732049,-21797192.3356811,15000378.6507876,0.000571327626855472
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,11,0,17,242659,17,39.8317527770996,-38.2932289979128,0.15,16,-78.3140490958902,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,35.6317520141602,-0.203726812614656,1,-0.203726812614656,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418757149,130139731765577,-11770985.8815448,-23691215.1085438,2583810.72625673,-0.000101712601756937
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,12,0,17,354455,28,33.8936920166016,-217.460591742009,0.617020471976722,16,-386.639784859918,3.40282346638529e+38,1575420030,NaN,NaN,NaN,1,NaN,1,NaN,29.6936912536621,-0.698491907662426,1,-0.698491907662426,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418645353,130139731732061,-16264401.4498763,-622121.212290362,20688610.8101346,-0.000339238090823076
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,20,0,17,499232,20,37.7943420410156,-468.701942101688,0.15,16,-904.361749870691,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.5943412780762,0,1,0,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418500576,130139731688658,-3285450.88846993,-22607122.0991367,-13691452.4940481,0.000451299618691905
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,24,0,17,610592,20,37.7182273864746,563.930643233464,0.15,16,1101.56079359079,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.5182266235352,-0.203726812614656,1,-0.203726812614656,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418389216,130139731655273,-20589001.047863,-11386090.8694943,12367150.8649584,-6.99284281500446e-05
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,25,0,17,69533,17,40.154167175293,-464.608127836451,0.15,16,-897.431323066575,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,35.9541664123535,-2.03726822555641,1,-2.03726822555641,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418930275,130139731817479,-17890115.9124113,9983076.93538585,16441430.1629636,0.00041933738320982
1676594081418,2105000000,NaN,NaN,-1.360629297314e+18,0,200000216.815,NaN,NaN,19,29,0,17,68031,140,32.8626403808594,-420.708049299963,0.66333413694956,16,-767.71489531201,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,28.6626415252686,-0.698491907662426,1,-0.698491907662426,1,C,121586069614404,2249,2105000000,-1.360629297314e+18,1.360629299419e+18,434099418999808,434099418931777,130139731817929,-25539865.6607652,3835949.46335373,-6418598.75601236,-0.000585605277966632
1676594082418,3105000000,NaN,NaN,-1.360629297314e+18,0,200000319.815,NaN,NaN,19,6,0,17,130456,17,40.047966003418,502.407889727291,0.15,16,1467.11355055403,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,35.8479652404785,0.320142130558394,1,0.320142130558394,1,C,121587106932845,2249,3105000000,-1.360629297314e+18,1.360629300419e+18,434100418999808,434100418869352,130140031591673,-2303018.20924033,-21797192.3382076,15000378.6467886,0.000571327626855465
1676594082418,3105000000,NaN,NaN,-1.360629297314e+18,0,200000319.815,NaN,NaN,19,11,0,17,242769,20,37.6566009521484,-37.8807247663102,0.15,16,-116.130187634281,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.456600189209,-0.203726812614656,1,-0.203726812614656,1,C,121587106932845,2249,3105000000,-1.360629297314e+18,1.360629300419e+18,434100418999808,434100418757039,130140031558002,-11770985.8815016,-23691215.1085275,2583810.72660422,-0.000101712601756938
1676594082418,3105000000,NaN,NaN,-1.360629297314e+18,0,200000319.815,NaN,NaN,19,12,0,17,355164,18,39.0880241394043,-217.273871003949,0.15,16,-604.088631189349,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,34.8880233764648,-0.698491907662426,1,-0.698491907662426,1,C,121587106932845,2249,3105000000,-1.360629297314e+18,1.360629300419e+18,434100418999808,434100418644644,130140031524307,-16264401.4489529,-622121.213961867,20688610.8108082,-0.000339238090823081
