utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,WeekNumber,CorrectedRxTime,AdjustedBiasRxClock,RxTimeGPSFrame,RxTimeWeekFrame,Pseudorangens,Pseudorangem,X,Y,Z,B
1676592323674,884000000,NaN,NaN,-1.360627540791e+18,0,2200000080.237,NaN,NaN,34,11,0,17,893277,13,36.9750747680664,-282.933927989882,0.15,16,2.74659842564969,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.3750762939453,-0.203726812614656,1,-0.203726812614656,1,C,29379979708111,2249,884000000,-1.360627540791e+18,1.360627541675e+18,432341675000064,432341674106787,129612773176309,-11770985.6255675,-23691215.0122069,2583812.78190962,-0.000101712601763511
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,6,0,17,44697,65,26.6528034210205,279.777841392185,5.74857025071975,16,113.502313285956,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,23.0528030395508,0.320142130558394,1,0.320142130558394,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340978285159,129612564574232,-2303018.30765771,-21797192.4677211,15000378.4417889,0.000571327626855095
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,11,0,17,893485,17,36.9750747680664,-282.933927989882,0.15,16,-59.7817999813327,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.3750762939453,-0.203726812614656,1,-0.203726812614656,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340977436371,129612564319772,-11770985.6254857,-23691215.012176,2583812.78256671,-0.000101712601763513
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,12,0,17,246775,17,36.2870101928711,-359.608259079238,0.15,16,-89.860513567654,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,32.68701171875,-0.698491907662426,1,-0.698491907662426,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340978083081,129612564513651,-16264401.5901251,-622120.95842997,20688610.7078246,-0.000339238090822263
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,17,0,17,389000,82,25.2220439910889,558.070471576476,5.73783960229889,16,164.052518472978,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,21.6220436096191,-0.785803427185807,1,-0.785803427185807,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340977940856,129612564471013,13461440.4104253,-13003957.4412861,19318372.8697809,0.000699487809677692
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,19,0,17,666382,49,28.4172801971436,502.560476885144,5.74850261834509,16,202.060261140727,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,24.8172798156738,0,1,0,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340977663474,129612564387856,1679527.79677763,-14722483.1802589,21805616.9860436,0.000276495731663386
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,24,0,17,955397,14,38.7349586486816,362.764362718163,0.15,16,146.541245872238,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,35.1349601745605,-0.203726812614656,1,-0.203726812614656,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340977374459,129612564301211,-20589001.3168807,-11386091.3669583,12367149.998466,-6.99284281554467e-05
1676592322978,1105000000,NaN,NaN,-1.36062753987333e+18,0,500000071.412325,NaN,NaN,34,25,0,17,685705,16,37.6773529052734,-547.116983534262,0.15,16,-232.068403645344,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,34.0773544311523,-2.03726822555641,1,-2.03726822555641,1,C,29380215393739,2249,1105000000,-1.36062753987333e+18,1.36062754097833e+18,432340978329856,432340977644151,129612564382063,-17890115.4485818,9983075.68078507,16441431.4227781,0.000419337383209488
1676592323947,2105000000,NaN,NaN,-1.36062753984216e+18,0,500000048.850594,NaN,NaN,34,6,0,17,43801,39,29.1636829376221,278.626518969616,0.802686451201775,16,503.288234013727,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,25.5636825561523,0.320142130558394,1,0.320142130558394,1,C,29381243632143,2249,2105000000,-1.36062753984216e+18,1.36062754194716e+18,432341947160064,432341947116263,129612855022490,-2303018.30868604,-21797192.4690743,15000378.439647,0.000571327626855091
1676592323947,2105000000,NaN,NaN,-1.36062753984216e+18,0,500000048.850594,NaN,NaN,34,11,0,17,894378,21,36.8741493225098,-281.960464866678,0.15,16,-455.047616999088,3.40282346638529e+38,1575420030,NaN,NaN,NaN,0,NaN,1,NaN,33.2741508483887,-0.203726812614656,1,-0.203726812614656,1,C,29381243632143,2249,2105000000,-1.36062753984216e+18,1.36062754194716e+18,432341947160064,432341946265686,129612854767494,-11770985.6251344,-23691215.0120438,2583812.78538822,-0.000101712601763522
