X,Y,Z,lat,lon,h,E,N,U
-2698891.98244631,-4293234.05156395,3855472.33230067,37.4307980025525,-122.155047412571,7.22223323769867,-1.89516426299867,1.99802898359481,-9.27776735753499
-2698892.80755876,-4293242.31847386,3855479.60403013,37.430809297311,-122.155005594498,17.5484318491071,1.80603412057942,3.25159272751315,1.04843076344646
-2698896.96160398,-4293233.6127233,3855483.70802025,37.4308669164493,-122.155097679326,15.9457161491737,-6.344131038564,9.64651254953603,-0.554294317707566
-2698897.08429862,-4293231.09924978,3855477.25661822,37.4308320534653,-122.155113967036,10.3866202849895,-7.78570621271019,5.77720511878556,-6.11338708584747
-2698900.13302517,-4293233.5952978,3855475.58501339,37.4307996349164,-122.155128120172,12.3371296720579,-9.03836574865334,2.17920472340664,-4.16287709664893
-2698895.55600757,-4293237.25516014,3855480.78451617,37.4308332082921,-122.1550623314,16.0235103098676,-3.21558918315173,5.90537684842872,-0.476493242177903
-2698897.2264681,-4293233.53800839,3855482.32746715,37.4308566132406,-122.155100662149,15.1683192150667,-6.60813213984264,8.50299965630911,-1.33168988868104
-2698892.84563833,-4293236.4968102,3855486.52212116,37.4308856755975,-122.15504096561,17.8555570794269,-1.32456313104984,11.7285168384794,1.35554612621334
-2698890.88672089,-4293234.2680122,3855485.62004032,37.4308952643896,-122.155035629903,14.9810029361397,-0.852314536521134,12.7927331238666,-1.51900998920202
-2698904.26486313,-4293236.90607621,3855482.62497038,37.4308226120376,-122.155147734564,20.5880311587825,-10.774390317631,4.72935053533465,4.08802031267531
-2698891.13394142,-4293232.4918494,3855478.08101543,37.4308488382564,-122.155048675133,9.30915194191039,-2.00690917243444,7.64007584579624,-7.19085296146579
-2698888.49143754,-4293233.04848901,3855479.39997447,37.4308633962775,-122.155020051158,9.36825686879456,0.52651439241629,9.25581073795701,-7.13174988854975
-2698888.6133909,-4293231.73991773,3855479.35906149,37.4308688151466,-122.155029086421,8.51519957836717,-0.273169891952628,9.85722746387956,-7.98480806583635
-2698893.15864135,-4293230.02092195,3855481.18229157,37.4308765823708,-122.155082900559,10.3886417616159,-5.03609976441485,10.7192843851089,-6.11136925735915
-2698892.87040463,-4293237.69827288,3855487.93192462,37.430890119888,-122.155033977862,19.5306309126318,-0.706097822891744,12.2217742109475,3.03061912922376
-2698895.62989033,-4293232.20329807,3855490.97074713,37.4309292961313,-122.15509341607,18.8496867027134,-5.96680025046881,16.5697920924505,2.34966232635504
-2698888.47319741,-4293223.96526654,3855483.64926186,37.4309359657988,-122.155074496131,5.83678919635713,-4.29224238057902,17.3099957891112,-10.6632358057534
-2698889.31117047,-4293228.97737822,3855487.79378597,37.4309399387328,-122.155052372769,12.0795507561415,-2.33417427769549,17.7509518436716,-4.42047444535433
-2698888.87731073,-4293224.41976132,3855493.64875546,37.4310042255107,-122.155075628685,12.3908690335229,-4.39248170968383,24.8858828791093,-4.10918117199634
-2698889.94795148,-4293223.67457837,3855496.33795825,37.4310238007509,-122.155090350831,13.9768862370402,-5.69549336881703,27.0584671260976,-2.52317387035339
-2698897.32093,-4293231.43360514,3855493.22994948,37.4309441002028,-122.155114219968,20.4200624395162,-7.80809308230065,18.2128437497915,3.92003158513863
-2698889.6356524,-4293223.11349046,3855469.1761962,37.430832974156,-122.155090737496,-3.04135128017515,-5.72971513869424,5.87937473894335,-19.541356568234
-2698894.73075721,-4293235.54185779,3855488.46351849,37.4308984991175,-122.155064739962,19.1902426034212,-3.42876289111092,13.1517519911474,2.69022808415978
-2698891.41668494,-4293228.56774906,3855483.00985399,37.4309014728957,-122.155074976194,9.78630753513426,-4.33473588157653,13.4817804394801,-6.71370822722507
-2698893.8652175,-4293228.04328783,3855482.33702891,37.4308919540121,-122.15510155125,10.0595824168995,-6.68681543863698,12.425320594042,-6.44043322237528
-2698892.91586857,-4293225.69126637,3855481.51127997,37.4308997177706,-122.155106613537,7.57524916529655,-7.1348598217892,13.2869835872805,-8.92476870158235
-2698896.36482923,-4293227.98077471,3855483.4459566,37.4308928926436,-122.155125837091,11.747961605899,-8.83628491422055,12.5295008008339,-4.75205685133114
-2698894.55589572,-4293236.22203158,3855485.88867027,37.4308774326094,-122.155058977301,18.0086081270128,-2.9187266181085,10.813660839605,1.50859826500725
-2698889.91248551,-4293242.91669437,3855477.33276906,37.4307987111847,-122.154974304592,15.3466034820303,4.57541558166343,2.07668082964432,-1.15339849578154
-2698891.62996971,-4293243.46124727,3855485.30195152,37.4308481989043,-122.154987458604,21.2822389667854,3.41119178113591,7.56913148418302,4.78223355269672
