X,Y,Z,lat,lon,h,E,N,U
-2698872.21510357,-4293198.34899407,3855507.89998238,37.4312756296952,-122.155073016312,-3.51580425631255,-1.2405329701815,-2.03884069846536,-20.0158047019875
-2698871.81810815,-4293198.67745273,3855504.58918208,37.4312515757191,-122.155067243729,-5.47510185930878,-0.729622566944088,-4.70848623836073,-21.9751036420993
-2698872.13300683,-4293200.31253093,3855512.38306381,37.4312988408068,-122.155060423743,0.494404469616711,-0.126010344711324,0.537260582684769,-16.0055955522324
-2698870.53364791,-4293200.70894983,3855508.66224638,37.4312750426185,-122.155042741249,-2.1765617756173,1.43900335768617,-2.10399822070501,-18.6765622828565
-2698875.59996283,-4293199.21801569,3855507.41084249,37.4312582351629,-122.155100168626,-1.79836976155639,-3.64368757448331,-3.96938509230981,-18.2983720389165
-2698875.08350059,-4293196.53759436,3855508.8005499,37.4312821111704,-122.155111346495,-2.97395153529942,-4.63299844460014,-1.31948868392083,-19.4739533510593
-2698873.61136128,-4293202.40962052,3855511.23040663,37.4312765618636,-122.155061954635,1.82842127885669,-0.261504253928314,-1.93538507056347,-14.6715790189248
-2698864.03195501,-4293203.41216441,3855511.89694468,37.4313046031002,-122.15496429392,-1.14091105479747,8.38209156780216,1.17679695960422,-17.6409166632474
-2698872.41643283,-4293213.3271175,3855515.33781861,37.4312588141987,-122.154984874878,11.1595537820831,6.56056227432077,-3.90512655903274,-5.34045078432654
-2698872.44675948,-4293204.99045546,3855512.1978476,37.4312749122544,-122.155035295377,3.65929822064936,2.09801262188588,-2.11846857204114,-12.8407024747821
-2698873.88820383,-4293209.07750327,3855518.3132664,37.4312955163152,-122.155024507098,10.733129828237,3.05284761714213,0.168290219982373,-5.76687090318775
-2698875.49662291,-4293216.17721132,3855523.06009776,37.4312918737193,-122.154997200191,19.0710378652439,5.46969507741646,-0.235985751849089,2.57103552035907
-2698870.85848195,-4293199.01294682,3855514.70833572,37.4313252179244,-122.155056046975,0.495404280722141,0.26136151785102,3.46474482951009,-16.0045966662973
-2698867.60570509,-4293203.63891994,3855509.80659661,37.4312781795156,-122.154997115238,-0.748664093203843,5.47719798315039,-1.75584620358914,-17.2486666825926
-2698863.02931543,-4293216.9552021,3855503.17192103,37.4311823079881,-122.154873265643,2.23692807741463,16.4387095289625,-12.3962089767121,-14.263105161131
-2698867.42964857,-4293225.28294278,3855505.46255745,37.4311472608432,-122.154865280641,11.0874474653974,17.1454663595825,-16.2859649309205,-5.41259640464129
-2698860.86513028,-4293217.41322144,3855489.23753606,37.4310867939494,-122.154849809879,-6.83920288830996,18.514695784013,-22.996871814529,-23.3392713091213
-2698861.74215646,-4293223.02818518,3855497.01963295,37.4311138840317,-122.154824435124,2.0362995993346,20.7605491269698,-19.9902848405631,-14.4637655663669
-2698861.2807084,-4293217.63901619,3855492.73573728,37.4311095648979,-122.154852427354,-4.38554275408387,18.2830335917214,-20.4696323820657,-20.8856018700991
-2698870.56589511,-4293225.76313034,3855499.20850767,37.4310911469279,-122.154892392984,8.93445140589029,14.7458476919304,-22.5138171548829,-7.56560547253265
-2698855.6866371,-4293218.17428436,3855488.78369265,37.4310951114622,-122.154795698341,-8.79193250183016,23.3039115475352,-22.0737287105145,-25.292013333373
-2698856.31318662,-4293219.53477306,3855500.22266356,37.4311688214869,-122.154793510724,-0.659817163832486,23.4975368477592,-13.8929956145235,-17.1598755687644
-2698860.80496139,-4293221.84215346,3855500.02944741,37.4311436492571,-122.154822602211,2.67226249817759,20.9227678938843,-16.6867694816644,-13.8277936686724
-2698857.79489401,-4293223.36553483,3855495.41176395,37.4311123206287,-122.154784648893,-0.38236734457314,24.2818861123091,-20.1637831580025,-16.8824454762688
-2698859.45683096,-4293219.92719605,3855496.85628444,37.431133753656,-122.154821221664,-1.1135468352586,21.0449457271369,-17.7850296672432,-17.6136063805812
-2698858.0706464,-4293227.42614642,3855499.31583075,37.4311206231215,-122.154762869341,4.83696986641735,26.2095389210387,-19.2423348723636,-11.6631130310131
-2698857.03314624,-4293230.42046412,3855497.5105573,37.4310968476591,-122.154734939687,5.31427460163832,28.6815108094918,-21.8810676684162,-11.1858274510669
-2698859.49243662,-4293224.32437839,3855498.72626358,37.4311266420363,-122.154795121077,2.99423630349338,23.3550364908526,-18.5743237453728,-13.5058335302303
-2698860.67437588,-4293214.15814041,3855493.74111458,37.4311346642824,-122.154867558736,-6.37084550131112,16.9437960936031,-17.6839578494429,-22.8708925659118
-2698867.87942367,-4293225.44676661,3855500.09630456,37.4311067957769,-122.154868597865,8.12601909507066,16.85187093756,-20.77700900892,-8.37403708047269
-2698857.78859718,-4293220.74522823,3855499.8716333,37.4311563974769,-122.154800345106,0.564126953482628,22.8926574545328,-15.271888043884,-15.9359324160106
-2698859.84813655,-4293225.59167409,3855500.56499889,37.4311328854206,-122.154790903031,5.11413932032883,23.7283675303046,-17.8814017086814,-11.3859299027097
-2698867.43686517,-4293229.95555365,3855502.90041059,37.4311072439219,-122.154837252303,12.6745184939355,19.6261780819319,-20.7272799979728,-3.8255454421984
