X,Y,Z,lat,lon,h,E,N,U
-2698893.1670877,-4293244.33136982,3855478.10295508,37.430788176931,-122.154996929611,18.1412570942193,2.57294007831845,0.907525672096117,1.64125651249295
-2698890.82224376,-4293235.00939994,3855475.61363181,37.4308204206436,-122.155030555026,9.37024484481663,-0.403152092326565,4.48612140953522,-7.12975675102605
-2698893.13888125,-4293237.07748635,3855481.79833897,37.4308483307677,-122.155040278883,15.4987345663831,-1.26378311392569,7.5837589907389,-1.00127007977831
-2698892.61227178,-4293232.98884495,3855476.66995726,37.4308321293302,-122.155059827502,9.41040449682623,-2.9939732423784,5.78562106832164,-7.08959883702182
-2698895.75777201,-4293234.12716171,3855478.51649888,37.4308308954898,-122.155083070699,12.6273717889562,-5.05116319667836,5.64868603218228,-3.87263271717869
-2698893.90062779,-4293229.53518615,3855470.92631577,37.4308032918201,-122.15509291884,4.14205435570329,-5.92278815832137,2.58506352758907,-12.357948915108
-2698897.19533022,-4293235.10206432,3855476.78769178,37.4308098162023,-122.155090959287,12.8395542530343,-5.7493612786765,3.30918175340912,-3.66044919665261
-2698893.03566382,-4293230.20441961,3855478.43347264,37.4308564226548,-122.155080620809,8.78928853012621,-4.83432597050346,8.48183756938059,-7.71071895562923
-2698899.27100264,-4293241.54016188,3855481.84224573,37.4308100815784,-122.15507210036,21.1171806789935,-4.08021664685384,3.33863813390268,4.61717849901718
-2698898.08224763,-4293239.49190809,3855479.22498405,37.4308043166928,-122.155073045974,17.6469985591248,-4.16390839894536,2.69881452330129,1.14699662983541
-2698902.74883307,-4293238.55032605,3855491.04412742,37.4308796449988,-122.155123345844,26.1699139550328,-8.61581298619506,11.0592233256739,9.66989852744438
-2698893.40339042,-4293233.97458845,3855491.39040626,37.4309305757246,-122.155061467424,19.3545945473015,-3.13911871370567,16.7118088980561,2.85457181659572
-2698893.02800491,-4293225.78093192,3855478.07009326,37.4308743540382,-122.155107146993,5.59135413169861,-7.18207463207962,10.4719645155905,-10.9086585287672
-2698896.11224358,-4293222.36215274,3855478.31538847,37.4308829704832,-122.155157207103,4.74553372524679,-11.6127405317669,11.4282713054955,-11.7544871017382
-2698896.90513681,-4293224.80391565,3855475.17993712,37.4308469048578,-122.155150108583,4.81644456740469,-10.9844775397657,7.42549760849009,-11.6835692140229
-2698895.95683789,-4293218.57197385,3855465.61947318,37.430810158639,-122.155178511858,-5.58483582548797,-13.4983506396349,3.34718666079266,-22.0848509712244
-2698905.93138172,-4293232.73090845,3855481.29784079,37.4308276169901,-122.155188781768,17.6788171269,-14.4073575475236,5.2848337231602,1.17879867937494
-2698895.05698171,-4293230.33880276,3855472.42405326,37.4308069117278,-122.155099147568,6.08134424034506,-6.47407599616985,2.98682322047792,-10.4186597422074
-2698898.15304397,-4293228.07252811,3855478.60503788,37.4308526192497,-122.155142390444,9.6230593342334,-10.3013752619453,8.05971929589601,-6.87695408094803
-2698895.60938774,-4293240.05085479,3855481.39752183,37.4308244767819,-122.155046030905,18.2981556858867,-1.77287948278438,4.93630267717283,1.7981535235182
-2698897.53786578,-4293231.17844392,3855477.7762248,37.4308340820263,-122.155117829399,10.9473680602387,-8.12755317417629,6.00234768086651,-5.55263994370916
-2698899.66832563,-4293234.76544757,3855477.43391111,37.4308087926717,-122.155116638743,14.0511735640466,-8.02217829581235,3.19558671167993,-2.44883227720285
-2698900.22143845,-4293229.17051376,3855478.60403123,37.4308414927966,-122.155155573126,11.2347576646134,-11.4681401295442,6.82484310301245,-5.265256293949
