X,Y,Z,lat,lon,h,E,N,U
-2698889.53854325,-4293225.09307648,3855500.00357851,37.4310446441752,-122.155077904888,16.9854769697413,7.08897243331903,-7.03160879974857,0.485469148188062
-2698883.38084383,-4293204.46910569,3855499.64596806,37.4311556540626,-122.155143020555,0.300644565373659,1.32577922681322,5.28892176090089,-16.1993577692585
-2698885.39827007,-4293213.4094491,3855507.46892767,37.4311642947648,-122.155108557644,11.918521923013,4.37598065432571,6.24792899290604,-4.58148264361227
-2698884.8552157,-4293212.12921854,3855501.70816908,37.4311305960465,-122.15511106141,7.32690874952823,4.15437945855272,2.50784286589505,-9.17309309534026
-2698885.96943324,-4293208.72000608,3855508.58443674,37.4311923534863,-122.155142219924,9.68530635442585,1.39664171520211,9.36204850832721,-6.81470068755635
-2698884.88469623,-4293212.87357493,3855504.9296668,37.4311501082255,-122.155106867403,9.79783440288156,4.52557772897685,4.67342099718704,-6.70216891721736
-2698885.03261374,-4293212.40465593,3855507.61141088,37.4311710385947,-122.155111102035,11.1750877220184,4.15078410301732,6.99639842627259,-5.32491747416161
-2698883.88912214,-4293213.41806027,3855506.75147005,37.4311635201733,-122.155094070116,10.8504356816411,5.65822330220979,6.16195995608653,-5.6495698095123
-2698877.88348227,-4293210.4861744,3855502.99732704,37.4311677576239,-122.155054253307,4.05947633460164,9.18226756061178,6.63225340614538,-12.4405337237514
-2698875.55133823,-4293203.14177828,3855505.44285138,37.4312261040074,-122.155076108877,-0.377217536792159,7.24789460550054,13.1078631116976,-16.8772351570283
-2698874.81629525,-4293203.15182226,3855506.79624235,37.431237883099,-122.155069017409,0.141493008472025,7.87553485279306,14.4151760001767,-16.358528185333
-2698868.53499259,-4293196.63737512,3855506.10433229,37.4312814441631,-122.155048106492,-7.31319459155202,9.72626925231895,19.2498125302055,-23.8132311331715
-2698883.3085537,-4293217.03534006,3855521.17011094,37.4312516037146,-122.1550667651,21.8006706060842,8.07490472232277,15.9380232143177,5.30064552968746
-2698884.95891328,-4293220.27934351,3855517.51280075,37.431205585671,-122.15506304463,22.4560798350722,8.40419742468496,10.8306604410499,5.95606508255688
-2698886.98348142,-4293218.88314748,3855519.93765691,37.4312235075028,-122.155090806269,23.8469195980579,5.94710301959039,12.8197359424431,7.34690390777716
-2698885.50626686,-4293217.6871434,3855520.07353821,37.4312343304062,-122.155083867855,22.5011579832062,6.5611976377714,14.0209259129999,6.00113915696762
-2698882.74837426,-4293206.89597741,3855508.80607522,37.4312117844491,-122.155122377243,7.23247262462974,3.15284900252635,11.5186076431849,-9.26753858454567
-2698890.56210313,-4293202.90511985,3855505.24450111,37.4311820310715,-122.15522111756,5.68700605351478,-5.58632132213328,8.21640249078843,-10.8130016970486
-2698901.11061343,-4293211.42118058,3855489.71229737,37.4310006717867,-122.155270809703,6.42965368274599,-9.98442972824408,-11.9119070884654,-10.0703652784324
-2698895.92389379,-4293210.37870972,3855484.64713417,37.4309843820471,-122.155227464953,0.458151676692069,-6.14811866124865,-13.7198285038465,-16.0418660822476
-2698906.85568523,-4293230.510037,3855489.73294071,37.4308955715472,-122.155210977753,21.7032834449783,-4.68891099744209,-23.5766076619019,5.20323801931583
-2698894.71474161,-4293216.92098967,3855480.4877523,37.4309278139555,-122.155176558409,1.81729274429381,-1.6425463995741,-19.9980866556172,-14.6827389113067
-2698896.68016609,-4293215.95320454,3855489.89850639,37.4309939049847,-122.155201178156,7.71720843203366,-3.82156298720369,-12.6629340186157,-8.78280531703205
-2698897.06983474,-4293211.66954445,3855490.20150998,37.431014797915,-122.155230664287,5.18623775243759,-6.43128356601417,-10.3441082088053,-11.313773898643
-2698898.34071956,-4293221.32617685,3855485.36029091,37.4309316836984,-122.155184753082,9.27279576379806,-2.36783381892442,-19.5686230352173,-7.22723478232755
-2698896.06374072,-4293209.88051941,3855488.32429788,37.4310125937864,-122.155231798407,2.41733127180487,-6.53165824434616,-10.5887305513987,-14.0826808834448
-2698896.85674637,-4293220.11291274,3855511.57230853,37.4311291764837,-122.155177853851,23.7618011655286,-1.75720330220672,2.35029667637243,7.26180049010989
-2698888.68138639,-4293204.59377553,3855482.39656384,37.4310162101053,-122.155192973225,-7.85971496812999,-3.09536186855028,-10.1873560967003,-24.3597238776924
-2698893.01646981,-4293211.47613678,3855482.62166008,37.4309732760595,-122.155193054935,-1.26391083840281,-3.10259869182221,-14.9524324484769,-17.7639291708569
-2698891.56722327,-4293207.64195661,3855480.23920129,37.4309782307272,-122.155202248134,-5.90211453102529,-3.9162559188597,-14.4025242627171,-22.4021320414483
-2698894.62945898,-4293210.95270429,3855484.91866391,37.430987436341,-122.155211631485,0.462014769203961,-4.74674940292352,-13.3808463462325,-16.0380010720584
