utc,X,Y,Z
434844000290048,-2547425.81453357,-4260256.64448291,3902753.74153201
434845000290048,-2547426.55888331,-4260251.69859583,3902742.76592256
434846000290048,-2547424.88386885,-4260236.66098999,3902719.02837917
434847000290048,-2547424.44925018,-4260224.44866132,3902699.30578349
434848000290048,-2547425.19085388,-4260213.14474134,3902687.71775821
434849000290048,-2547428.51621558,-4260203.21773207,3902674.7060982
434850000290048,-2547436.99660068,-4260195.70022595,3902662.96537695
434851000290048,-2547438.63713337,-4260190.47187794,3902647.44419592
434852000290048,-2547440.44371736,-4260181.84083902,3902634.49798408
434853000290048,-2547445.6274803,-4260177.35452926,3902622.8300957
434854000290048,-2547444.15815297,-4260161.49742611,3902604.75954662
434855000290048,-2547445.86881045,-4260145.85901975,3902587.15595704
434856000290048,-2547446.36811236,-4260135.43301809,3902571.60260201
434857000290048,-2547452.86859875,-4260127.37348126,3902560.31878622
434858000290048,-2547451.43557761,-4260115.58686794,3902542.28210157
434859000290048,-2547455.19721601,-4260106.2880333,3902529.03182551
434860000290048,-2547454.3361745,-4260092.68826355,3902508.87071423
434861000290048,-2547463.02235321,-4260088.7872994,3902495.76642769
434862000290048,-2547464.38815133,-4260071.71674356,3902473.58969989
434863000290048,-2547469.24739446,-4260066.86018723,3902456.32103461
434864000290048,-2547469.58128134,-4260058.89609369,3902436.43718961
434865000290048,-2547467.02518624,-4260050.23839317,3902416.35609533
434866000290048,-2547469.42998725,-4260043.48513568,3902404.73676546
434867000290048,-2547469.49197942,-4260025.92374525,3902392.31878657
434868000290048,-2547473.39283236,-4260012.98603957,3902378.86744672
434869000290048,-2547477.54199203,-4260003.32762791,3902362.20307293
434870000290048,-2547472.84602467,-4259990.95450946,3902339.8726684
434871000290048,-2547473.26624001,-4259975.96331668,3902330.46446206
434872000290048,-2547478.97610519,-4259965.52763978,3902319.01717771
434873000280064,-2547480.72591649,-4259959.96281458,3902299.26744409
