utc,X,Y,Z
434797999690240,-2547360.0888132,-4260751.72185571,3903457.58143754
434798999690240,-2547352.25811748,-4260734.60756957,3903434.55256168
434799999690240,-2547355.6163739,-4260728.43451264,3903422.38168202
434800999690240,-2547358.61304288,-4260718.11961017,3903407.51219814
434801999690240,-2547369.42122996,-4260707.88134961,3903398.31743317
434802999690240,-2547362.78408386,-4260692.66479662,3903370.87374158
434803999690240,-2547362.47972995,-4260683.36388321,3903355.54059127
434804999690240,-2547374.45824481,-4260680.54286129,3903344.2454394
434805999690240,-2547373.12620112,-4260669.57920479,3903329.40790082
434806999690240,-2547376.05601828,-4260661.37228347,3903316.78980296
434807999690240,-2547388.80618608,-4260658.98427098,3903305.13082256
434808999690240,-2547387.35895299,-4260642.13877317,3903287.43425049
434809999690240,-2547386.48766343,-4260631.47874435,3903269.86082013
434810999690240,-2547388.64714513,-4260618.33424746,3903251.42961008
434811999690240,-2547376.8747163,-4260597.50519467,3903235.87513186
434812999690240,-2547386.79986535,-4260587.18916402,3903219.4366759
434813999690240,-2547387.15100446,-4260579.38254058,3903197.03997115
434814999690240,-2547393.84387065,-4260574.93904156,3903184.98612855
434815999690240,-2547397.33053117,-4260564.95191565,3903161.64340558
434816999690240,-2547400.42811293,-4260554.98556026,3903151.70302206
434817999690240,-2547397.62448649,-4260537.10515745,3903135.97256853
434818999690240,-2547396.7292277,-4260529.98862602,3903121.01342413
434819999690240,-2547398.58626147,-4260519.24144009,3903103.67229356
434820999690240,-2547399.60886469,-4260513.78250186,3903091.46204515
434821999690240,-2547400.88513778,-4260499.72232556,3903074.38781879
434822999690240,-2547400.63417843,-4260491.27581766,3903057.78632883
