utc,X,Y,Z
433555999770112,-2519529.62845761,-4236574.97285038,3854805.53092436
433556999770112,-2519540.78786443,-4236572.15843848,3854794.29596076
433557999770112,-2519542.39635393,-4236559.00971685,3854774.51988132
433558999770112,-2519556.60944454,-4236554.27447326,3854771.26102366
433559999770112,-2519560.31811277,-4236544.58090745,3854756.41426808
433560999770112,-2519571.76545673,-4236530.37559881,3854739.80414078
433561999770112,-2519584.59660098,-4236527.14449463,3854736.52594315
433562999760128,-2519588.65450881,-4236513.54455503,3854725.85700684
433563999760128,-2519608.90199115,-4236530.12510989,3854730.0399659
433564999760128,-2519614.002263,-4236506.37007837,3854703.29618991
433565999760128,-2519620.11617185,-4236484.65723697,3854671.64797023
433566999760128,-2519630.56245839,-4236481.53958222,3854662.32571478
433567999760128,-2519643.21773575,-4236477.08708801,3854647.25804761
433568999760128,-2519648.98604483,-4236463.82314509,3854628.58382175
433569999760128,-2519656.91804729,-4236458.92690992,3854630.43776826
433570999760128,-2519668.9173873,-4236442.8957715,3854621.12889699
433571999760128,-2519681.93911242,-4236437.10372359,3854615.90097733
433572999760128,-2519680.3151211,-4236417.89438988,3854579.62790301
433573999760128,-2519704.57256552,-4236420.45699351,3854586.15263067
433574999760128,-2519706.64724093,-4236406.35924215,3854563.84977111
433575999760128,-2519717.20148282,-4236392.67577842,3854552.81919061
433576999760128,-2519729.74168284,-4236384.38560743,3854542.53092147
433577999760128,-2519737.76549293,-4236371.52560116,3854530.95780739
433578999760128,-2519748.63112962,-4236367.11978221,3854519.86214721
433579999760128,-2519755.10108511,-4236357.35014073,3854503.84448086
433580999760128,-2519768.07699749,-4236348.4288108,3854496.4344267
433581999760128,-2519783.1178804,-4236336.33994066,3854483.56369409
