utc,X,Y,Z
433862999709952,-2522420.91769669,-4233647.33559039,3851220.44545228
433863999709952,-2522427.2706522,-4233636.24163901,3851202.96381226
433864999709952,-2522438.1919012,-4233638.3181759,3851202.34888445
433865999709952,-2522451.12890938,-4233622.92371025,3851190.40685756
433866999709952,-2522461.66076814,-4233612.43529277,3851182.36716597
433867999709952,-2522459.90457225,-4233602.64549767,3851159.2799706
433868999709952,-2522463.8892566,-4233588.55610658,3851145.06189672
433869999709952,-2522476.69223366,-4233581.66574185,3851138.4072236
433870999709952,-2522483.35606098,-4233580.18835938,3851124.50132797
433871999709952,-2522494.00629313,-4233579.33535331,3851120.51626781
433872999709952,-2522502.91063411,-4233565.89219351,3851109.16400264
433873999709952,-2522517.21601968,-4233557.39736647,3851097.81869098
433874999709952,-2522525.32508341,-4233547.36470614,3851087.11455727
433875999709952,-2522533.13094986,-4233525.70631334,3851070.45134438
433876999709952,-2522542.36424425,-4233519.564038,3851057.58043272
433877999709952,-2522549.49729574,-4233514.929706,3851041.86861114
433878999709952,-2522558.64175562,-4233524.90678428,3851025.84846217
433879999709952,-2522570.26267802,-4233506.00494369,3851015.84464045
433880999709952,-2522583.14047462,-4233491.62361108,3851010.96990095
433881999709952,-2522590.97096398,-4233469.63578895,3850997.62152838
433882999709952,-2522603.71356698,-4233463.62912969,3850989.9058016
433883999709952,-2522613.45344343,-4233457.25710955,3850977.58702134
433884999709952,-2522620.89939347,-4233446.36117125,3850965.73965839
433885999709952,-2522625.1146668,-4233428.57744939,3850951.63992171
433886999709952,-2522635.24492687,-4233423.00282773,3850941.29601609
433887999709952,-2522648.19810124,-4233421.46492387,3850939.86193852
433888999709952,-2522645.42995531,-4233394.53037649,3850921.8122443
433889999709952,-2522663.4703721,-4233401.34422503,3850914.59492448
433890999709952,-2522670.01221856,-4233379.12699261,3850896.02182263
