utc,X,Y,Z
434153000390144,-2525133.73904452,-4230974.1792899,3848254.01408953
434154000390144,-2525139.25660111,-4230954.51592554,3848232.10132521
434155000390144,-2525141.18419861,-4230948.35838118,3848216.33463757
434156000390144,-2525153.69697452,-4230959.69555046,3848204.63909738
434157000390144,-2525164.02405217,-4230941.01305917,3848201.07993636
434158000390144,-2525170.40290619,-4230924.86433714,3848190.16626233
434159000390144,-2525185.24262522,-4230919.88630786,3848187.15712507
434160000390144,-2525193.74388169,-4230908.0909799,3848176.45460416
434161000390144,-2525200.48518657,-4230900.65668817,3848165.093463
434162000390144,-2525213.53098081,-4230896.06166787,3848156.75709717
434163000390144,-2525225.66515112,-4230888.06520325,3848148.63522086
434164000390144,-2525232.13047879,-4230866.32898084,3848130.58885523
434165000390144,-2525242.89400521,-4230867.38580403,3848124.9368176
434166000390144,-2525249.85223039,-4230862.03430902,3848109.78109892
434167000380160,-2525254.0227845,-4230855.82615051,3848098.75338464
434168000380160,-2525271.43069965,-4230851.52376417,3848093.49856499
434169000380160,-2525280.89209986,-4230828.83829647,3848077.40876171
434170000380160,-2525296.71592627,-4230824.99142523,3848085.88665422
434171000380160,-2525304.05047245,-4230818.19519705,3848068.69391655
434172000380160,-2525315.21983722,-4230804.69866357,3848065.26645683
434173000380160,-2525317.30901897,-4230795.45208894,3848053.32942218
434174000380160,-2525328.4926031,-4230782.59700804,3848038.25780885
434175000380160,-2525338.64086798,-4230778.22509222,3848032.70191258
434176000380160,-2525347.07419296,-4230763.84539022,3848020.57316788
434177000380160,-2525362.87484629,-4230761.19170481,3848018.63917989
434178000380160,-2525372.56284651,-4230749.53883626,3848012.09066331
434179000380160,-2525377.88284794,-4230737.97511656,3847998.65248489
