utc,X,Y,Z
432283471379968,431533.240178097,1324469.02278489,-1221030.64115597
432284460219904,431528.956745278,1323870.46869119,-1221949.06603376
432285463269888,-276213.984653601,43809.3069207408,-592607.16458569
432286467759872,-148901.850150806,1132789.23811127,-421382.53306373
432287464519936,3900258.67628564,3120125.76938876,-3515952.69367093
432288459970048,3900248.34370441,3121046.15952103,-3517118.22831828
432289934360064,NaN,NaN,NaN
432290934360064,NaN,NaN,NaN
432291934360064,NaN,NaN,NaN
432293000360192,NaN,NaN,NaN
432294000360192,NaN,NaN,NaN
432295000360192,NaN,NaN,NaN
432296000360192,NaN,NaN,NaN
432297000360192,NaN,NaN,NaN
432298000360192,NaN,NaN,NaN
432299000360192,NaN,NaN,NaN
432300000360192,NaN,NaN,NaN
432301000360192,NaN,NaN,NaN
432302000360192,NaN,NaN,NaN
432303000360192,NaN,NaN,NaN
432304000360192,NaN,NaN,NaN
432305000360192,NaN,NaN,NaN
432306000360192,NaN,NaN,NaN
432307000360192,NaN,NaN,NaN
432308000360192,NaN,NaN,NaN
432309000360192,NaN,NaN,NaN
432310000360192,NaN,NaN,NaN
432311000360192,NaN,NaN,NaN
