utc,X,Y,Z
433969999699968,-2523404.67728787,-4232635.20878406,3850055.17032589
433970999699968,-2523414.30092623,-4232628.80966242,3850044.09257209
433971999699968,-2523425.25271657,-4232621.71618974,3850039.18846681
433972999699968,-2523431.78599111,-4232609.74038764,3850023.97180751
433973999699968,-2523442.52094495,-4232596.98418423,3850009.50703345
433974999699968,-2523453.43946726,-4232590.24254316,3850003.58659457
433975999699968,-2523462.83734532,-4232580.0500165,3849993.4174331
433976999699968,-2523463.12179209,-4232570.85336213,3849980.52451982
433977999699968,-2523476.78690556,-4232568.15124377,3849973.11901608
433978999699968,-2523489.05538797,-4232567.0887484,3849967.01287764
433979999699968,-2523500.59410534,-4232562.53138729,3849961.71376567
433980999699968,-2523510.95195216,-4232557.02607032,3849954.47365671
433981999699968,-2523514.30451361,-4232514.67324212,3849926.75653194
433982999699968,-2523526.744266,-4232524.6822393,3849925.51480224
433983999699968,-2523530.71040152,-4232519.9934015,3849906.64579737
433984999699968,-2523542.55882826,-4232520.54350629,3849896.57463714
433985999689984,-2523549.391232,-4232507.72806827,3849877.85129297
433986999689984,-2523555.58519107,-4232499.56994727,3849867.05013362
433987999689984,-2523565.43499011,-4232488.49680814,3849856.14853844
433988999689984,-2523581.40360248,-4232483.64759354,3849851.4813755
433989999689984,-2523574.92101658,-4232468.95767169,3849828.05247977
433990999689984,-2523586.75314471,-4232463.17998212,3849826.95531013
433991999689984,-2523599.07212171,-4232459.36649613,3849820.13229278
433992999689984,-2523606.27773141,-4232446.35097827,3849803.26806866
433993999689984,-2523617.64551778,-4232442.1472176,3849798.92218904
433994999689984,-2523623.50475241,-4232424.80513429,3849777.59044846
433995999689984,-2523632.20009776,-4232418.93218192,3849766.0627456
433996999689984,-2523643.09989803,-4232401.13387133,3849756.48177626
433997999689984,-2523654.93526784,-4232391.5560219,3849748.54214225
433998999689984,-2523667.12165523,-4232388.02586729,3849742.18162763
433999999689984,-2523669.62667605,-4232375.53298242,3849730.63525459
434000999689984,-2523681.19917871,-4232367.92498354,3849718.97888124
434001999689984,-2523696.46520309,-4232363.0744871,3849711.55825767
