utc,X,Y,Z
433631000110080,-2520250.79175537,-4235883.46932529,3853912.62989759
433632000110080,-2520257.6419744,-4235860.44550812,3853887.73626492
433633000110080,-2520268.6555312,-4235865.05007186,3853885.09631579
433634000110080,-2520275.0243267,-4235853.58026529,3853870.0571522
433635000110080,-2520284.74630905,-4235831.30897365,3853845.48478684
433636000110080,-2520295.12970476,-4235827.35062994,3853840.44140685
433637000110080,-2520304.88994473,-4235818.15702734,3853828.59506523
433638000110080,-2520316.24909088,-4235809.38177253,3853819.23070296
433639000110080,-2520323.27135125,-4235798.15104201,3853806.75275405
433640000110080,-2520336.31234216,-4235800.05070797,3853803.08906787
433641000110080,-2520347.63084825,-4235783.62955273,3853784.75943337
433642000100096,-2520358.9694168,-4235777.29019431,3853774.43739734
433643000100096,-2520364.05506679,-4235767.09206611,3853761.0372564
433644000100096,-2520377.93091576,-4235760.48673819,3853753.18988241
433645000100096,-2520385.5704401,-4235750.29290257,3853742.88694979
433646000100096,-2520390.17490373,-4235737.31290942,3853719.05553847
433647000100096,-2520400.79410494,-4235727.18210969,3853707.59665256
433648000100096,-2520412.48921148,-4235718.59577709,3853695.92471547
433649000100096,-2520420.72927233,-4235709.37483188,3853683.82940004
433650000100096,-2520427.59998599,-4235697.1060111,3853672.67475136
433651000100096,-2520436.05817844,-4235692.11546618,3853660.46831039
433652000100096,-2520444.64644788,-4235689.38385533,3853648.00861928
433653000100096,-2520451.07973797,-4235685.28995743,3853630.18003585
433654000100096,-2520456.91575598,-4235677.16121977,3853610.74145306
433655000100096,-2520466.38870814,-4235669.79730355,3853604.52282141
433656000100096,-2520477.2229054,-4235662.82512611,3853591.93301905
433657000100096,-2520487.9919971,-4235646.62711381,3853576.18075971
433658000100096,-2520500.39514356,-4235639.37907317,3853562.32933376
433659000100096,-2520510.97136643,-4235628.92900682,3853552.80696366
433660000100096,-2520520.95797606,-4235623.00027858,3853550.52253334
433661000100096,-2520521.88280729,-4235601.75364541,3853527.97327345
433662000100096,-2520534.6076604,-4235596.93568655,3853520.475064
433663000100096,-2520545.05946809,-4235590.46375159,3853512.69312697
433664000100096,-2520558.73543207,-4235582.94035124,3853503.15303258
433665000100096,-2520568.88673045,-4235573.17667762,3853493.14417788
433666000100096,-2520583.46876181,-4235568.51301583,3853483.51591802
