utc,X,Y,Z
433406999790080,-2490536.62257798,-4120209.63337545,3740294.57467845
433407999790080,-2490534.41171895,-4120162.28628152,3740266.02716617
433408999790080,-2490532.41536858,-4120117.69115905,3740242.95375695
433409999790080,-2490527.79736778,-4120071.81764123,3740217.91640169
433410999790080,-2490527.90815141,-4120025.31756031,3740191.20550465
433411999790080,-2490528.98230703,-4119985.04079749,3740172.70992886
433412999790080,-2490521.30847179,-4119938.34883087,3740146.22188215
433413999790080,-2490516.25045002,-4119890.84743007,3740117.05614933
433414999790080,-2490520.13426715,-4119854.48578778,3740100.43464973
433415999790080,-2490515.8828057,-4119805.6514429,3740070.51755384
433416999790080,-2490517.930792,-4119762.18502596,3740047.95554634
433417999790080,-2490520.90078099,-4119718.35432255,3740027.81277256
433418999790080,-2490517.32611806,-4119670.42295533,3739996.84000885
433419999790080,-2490521.85589251,-4119627.10323165,3739972.53938672
433420999790080,-2490516.50418115,-4119577.55779242,3739945.60753338
433421999790080,-2490519.83799982,-4119532.88290966,3739918.45292737
433422999790080,-2490518.13402293,-4119491.75499503,3739893.68506256
433423999790080,-2490518.78376842,-4119445.61349157,3739870.84279629
433424999790080,-2490514.80297228,-4119397.21918897,3739841.92983466
433425999790080,-2490520.73818103,-4119356.8694536,3739822.29321949
433426999790080,-2490523.56088321,-4119304.96004424,3739790.85364265
433427999790080,-2490520.82098577,-4119267.60309671,3739763.18570017
433428999790080,-2490516.20340773,-4119227.54390232,3739731.54085325
433429999790080,-2490514.66009738,-4119190.6088458,3739704.88534034
433430999790080,-2490518.54202489,-4119149.62005878,3739684.53233493
433431999790080,-2490511.49205795,-4119103.97909018,3739653.49182585
433432999790080,-2490512.59517713,-4119054.23207917,3739631.12740764
433433999790080,-2490516.31000568,-4119009.53114322,3739614.24880932
433434999790080,-2490514.51995938,-4118962.47069766,3739586.22633915
433435999790080,-2490512.86110526,-4118916.35629204,3739562.60525082
433436999790080,-2490512.73910392,-4118875.65505787,3739540.16370062
433437999790080,-2490508.94308403,-4118826.07330171,3739512.82829126
433438999790080,-2490509.95756737,-4118781.96045492,3739490.0355262
433439999790080,-2490512.18705989,-4118743.60942256,3739466.16544003
433440999790080,-2490504.58243509,-4118684.17550004,3739433.69345389
433441999780096,-2490513.96325394,-4118647.48473244,3739424.91925854
