utc,X,Y,Z
432850616999936,-176712.764188128,-295350.551994444,167433.751858939
432850630649856,-177748.912695511,-295123.596856229,167038.629151571
432851673689856,5400808.55088724,5231694.75331406,-6930195.53085101
432852717129984,370045.092713728,1603132.73459411,-761453.731463679
432853666759936,1627108.04885506,4253489.16527786,-1438186.41404228
432854666759936,1500501.77344633,4269717.96261728,-1231538.84067738
432856134189824,3012165.268853,5710626.09841871,-5088940.46222005
432857134189824,3012612.39539651,5711993.20752444,-5090345.44179102
432858134189824,-2491217.99616869,-4144496.02060971,3756224.25037864
432859000189952,-2491216.76500021,-4144458.39745676,3756198.624825
432860000189952,-2491213.84546387,-4144417.10095143,3756170.6092612
432861000189952,-2491208.68652318,-4144371.58641122,3756123.10520184
432862000189952,-2491214.5251119,-4144329.84155296,3756097.70028603
432863000189952,-2491206.86745833,-4144281.99881343,3756070.06148586
432864000189952,-2491218.50247958,-4144246.48301036,3756047.84058356
432865000189952,-2491222.0504377,-4144206.97442643,3756017.92008902
432866000189952,-2491225.07477087,-4144168.38438664,3755989.75007134
432867000189952,-2491215.19837059,-4144117.92470105,3755943.31252675
432868000189952,-2491210.70827039,-4144070.23917998,3755906.19592841
432869000189952,-2491203.58602734,-4144033.18031217,3755873.77035863
432870000189952,-2491204.34927024,-4143992.61827671,3755840.99954317
432871000189952,-2491204.21512123,-4143956.37036366,3755810.57301367
432872000189952,-2491201.57674672,-4143911.87231754,3755782.50997538
432873000189952,-2491194.20115402,-4143859.61882729,3755744.03376413
432874000189952,-2491196.26656582,-4143819.69217245,3755716.21576656
432875000189952,-2491193.26200944,-4143777.85240427,3755682.47532831
432876000189952,-2491192.41048818,-4143736.21349023,3755650.75703468
