utc,X,Y,Z
434587999570176,-2547013.83228438,-4262981.07256886,3906623.45993918
434588999570176,-2547012.51413888,-4262970.24927936,3906606.46583201
434589999570176,-2547011.68098305,-4262959.58895768,3906589.41674651
434590999570176,-2547010.36940733,-4262946.9188402,3906575.4675495
434591999570176,-2547006.01444091,-4262933.96825586,3906561.57126832
434592999570176,-2547009.09779769,-4262925.34477508,3906553.05442945
434593999570176,-2547012.39774194,-4262920.9754632,3906550.258247
434594999570176,-2547022.91088615,-4262918.58605147,3906541.62687631
434595999570176,-2547024.21694202,-4262908.43134439,3906526.08223327
434596999570176,-2547024.33275366,-4262901.4059564,3906509.41014767
434597999570176,-2547030.51680088,-4262886.5907964,3906495.76356462
434598999570176,-2547036.34239177,-4262874.8895237,3906478.0640765
434599999570176,-2547037.96785672,-4262850.48059931,3906437.02577774
434600999570176,-2547042.54617683,-4262845.45972892,3906414.29543116
434601999570176,-2547043.5766594,-4262837.66075084,3906394.23250598
434602999570176,-2547044.56409098,-4262830.77855431,3906381.58906532
434603999570176,-2547046.50895688,-4262817.53852953,3906370.14082705
434604999570176,-2547049.87799226,-4262808.42141001,3906356.60790508
434605999570176,-2547051.97342805,-4262798.35947741,3906339.48513618
434606999570176,-2547055.75490789,-4262786.14235339,3906324.3349563
434607999570176,-2547056.39485129,-4262774.46291034,3906308.92446949
434608999560192,-2547054.84179121,-4262759.30521198,3906292.5937387
434609999560192,-2547057.43810299,-4262745.81034615,3906277.46202918
434610999560192,-2547056.29403316,-4262735.63184734,3906257.35410155
