utc,X,Y,Z
434798000310016,-2547349.65582115,-4260749.66026183,3903454.42800064
434799000310016,-2547355.17513891,-4260737.48830405,3903440.59965732
434800000310016,-2547356.74301524,-4260731.46271863,3903424.93167355
434801000310016,-2547333.08709703,-4260705.15746981,3903416.31931814
434802000310016,-2547358.97633162,-4260717.49594695,3903400.82360204
434803000310016,-2547360.30391474,-4260706.17005039,3903388.88780226
434804000310016,-2547360.85265474,-4260698.8892749,3903381.13187246
434805000300032,-2547366.00255783,-4260692.603944,3903369.69564622
434806000300032,-2547370.20757648,-4260684.87019464,3903357.93442219
434807000300032,-2547374.10299113,-4260668.29735997,3903339.91074795
434808000300032,-2547370.52227509,-4260647.71256703,3903308.23724545
434809000300032,-2547373.55639351,-4260638.11180563,3903295.97045877
434810000300032,-2547370.04218648,-4260619.4002405,3903273.72397757
434811000300032,-2547376.31662541,-4260616.24791685,3903260.55340896
434812000300032,-2547377.32335082,-4260602.35435349,3903242.40304105
434813000300032,-2547387.38721782,-4260594.95710135,3903227.30644847
434814000300032,-2547393.19369519,-4260586.62866737,3903209.53502354
434815000300032,-2547394.47218776,-4260581.5749102,3903187.38589099
434816000300032,-2547393.39364255,-4260569.13751037,3903165.05145595
434817000300032,-2547396.55293682,-4260560.38285512,3903147.63133456
434818000300032,-2547393.98363645,-4260548.20096415,3903130.39666464
434819000300032,-2547399.83010345,-4260533.8452252,3903121.01217043
434820000300032,-2547399.04670847,-4260523.53285137,3903104.64011639
434821000300032,-2547401.60814117,-4260515.45839554,3903091.16151421
434822000300032,-2547403.23808998,-4260501.10781335,3903071.77428369
434823000300032,-2547410.06792888,-4260501.29645265,3903065.17885656
