utc,X,Y,Z
435258999600128,-2553091.33811524,-4258416.21998468,3904800.61540044
435259999600128,-2553097.86140951,-4258414.56549537,3904788.90491184
435260999600128,-2553098.20961137,-4258400.29162211,3904776.18333668
435261999600128,-2553096.46061917,-4258395.0312829,3904763.15184296
435262999600128,-2553100.47096523,-4258384.95787511,3904748.80495816
435263999600128,-2553096.14712776,-4258374.46247299,3904735.52786439
435264999600128,-2553102.86601552,-4258364.15060772,3904726.77897481
435265999600128,-2553108.73287973,-4258356.59604297,3904722.96024202
435266999600128,-2553110.01156495,-4258344.56166251,3904715.47736001
435267999600128,-2553111.34149263,-4258337.24434464,3904701.13679807
435268999600128,-2553110.75760781,-4258323.55764885,3904684.30090775
435269999600128,-2553118.44576544,-4258311.96759453,3904669.3685338
435270999600128,-2553130.84965148,-4258305.21929987,3904654.17964144
435271999600128,-2553149.81074321,-4258296.58201511,3904651.40651694
435272999600128,-2553145.54434571,-4258287.98274425,3904623.61411532
435273999600128,-2553146.32698426,-4258280.71050892,3904598.79687463
435274999600128,-2553138.68406487,-4258264.28230372,3904580.44041568
435275999600128,-2553145.29352859,-4258259.04650329,3904571.93734079
435276999600128,-2553148.98953599,-4258245.9355654,3904560.77590817
435277999600128,-2553151.5054764,-4258233.49275931,3904549.41718185
435278999600128,-2553151.96927977,-4258221.71965107,3904536.55876008
435279999600128,-2553152.17553344,-4258212.75821296,3904522.60045674
435280999600128,-2553155.1412657,-4258200.54699865,3904509.97790249
435281999600128,-2553157.0544504,-4258193.36939263,3904498.20723233
435282999600128,-2553166.39731561,-4258186.84018994,3904490.07328022
