utc,X,Y,Z
433772999730176,-2521577.45479954,-4234507.00132849,3852222.16633638
433773999730176,-2521590.00782539,-4234506.8928486,3852219.80944658
433774999730176,-2521597.86237736,-4234491.73185604,3852207.58677255
433775999730176,-2521606.27629498,-4234480.71946833,3852194.16675161
433776999730176,-2521618.04712781,-4234474.53502915,3852186.72858091
433777999730176,-2521628.41822015,-4234469.53932701,3852180.19622181
433778999730176,-2521641.57801117,-4234468.02734115,3852181.30145013
433779999730176,-2521649.21405538,-4234452.92949275,3852167.67704433
433780999730176,-2521669.82897267,-4234449.74761277,3852169.01615909
433781999730176,-2521661.24287275,-4234418.10399664,3852133.60029973
433782999730176,-2521673.07432187,-4234413.74377584,3852122.17030531
433783999730176,-2521682.9842764,-4234413.37562103,3852113.28411589
433784999730176,-2521692.08304204,-4234400.06020733,3852099.47055819
433785999730176,-2521698.45184883,-4234387.93700108,3852083.62581202
433786999730176,-2521714.46260022,-4234375.68312111,3852076.41122282
433787999730176,-2521719.974447,-4234371.05921737,3852062.83744282
433788999730176,-2521729.84790899,-4234370.17423359,3852048.26905792
433789999730176,-2521735.30166395,-4234360.89729529,3852034.23253859
433790999730176,-2521738.08701007,-4234348.35445238,3852016.61506247
433791999730176,-2521757.54509216,-4234339.12617512,3852016.73515643
433792999730176,-2521768.60205055,-4234325.67136349,3852003.33995509
433793999730176,-2521775.90662527,-4234303.12691273,3851984.00781697
433794999730176,-2521787.39769245,-4234305.27828903,3851972.85213614
433795999730176,-2521799.57210896,-4234295.1652571,3851964.64244709
433796999730176,-2521809.97402148,-4234285.56886971,3851950.63756934
433797999730176,-2521819.28851201,-4234276.8659813,3851937.62920362
433798999720192,-2521821.64342332,-4234267.97800098,3851929.08372406
433799999720192,-2521833.11302504,-4234258.39761527,3851919.11500856
433800999720192,-2521841.21785339,-4234246.88852366,3851907.16755789
433801999720192,-2521854.27327946,-4234242.76649028,3851905.66331014
433802999720192,-2521858.2732304,-4234227.56573229,3851887.42504742
433803999720192,-2521868.22063428,-4234222.29226176,3851878.17552189
