utc,X,Y,Z
433695000090112,-2520858.30049726,-4235267.95119333,3853154.08216472
433696000090112,-2520863.63592659,-4235249.79018024,3853131.41419839
433697000090112,-2520875.78862265,-4235239.26950574,3853121.71914844
433698000090112,-2520889.76022409,-4235233.87152147,3853115.43562118
433699000090112,-2520899.0017099,-4235225.20115477,3853106.87474675
433700000090112,-2520910.84523116,-4235218.23520571,3853095.04714114
433701000090112,-2520919.84277597,-4235208.19822123,3853083.78984753
433702000090112,-2520935.45924989,-4235201.66308809,3853082.26819219
433703000090112,-2520945.64546639,-4235188.64895717,3853070.19395046
433704000090112,-2520970.53455518,-4235184.55958588,3853087.20332816
433705000090112,-2520973.5957646,-4235171.95283876,3853065.5648686
433706000090112,-2520980.12501514,-4235158.87663644,3853049.58645234
433707000090112,-2520967.38685653,-4235147.01369315,3853004.43286887
433708000090112,-2520988.56228314,-4235138.80520662,3853013.5745405
433709000090112,-2520995.0960942,-4235129.64769905,3852998.79756199
433710000090112,-2521002.35418191,-4235124.98473963,3852979.48357107
433711000080128,-2521010.58912227,-4235123.32881116,3852964.97316371
433712000080128,-2521006.28630171,-4235114.69105153,3852933.78153243
433713000080128,-2521019.82389048,-4235109.84259204,3852923.90477597
433714000080128,-2521039.49891089,-4235088.82363719,3852915.54648507
433715000080128,-2521051.91755497,-4235072.87515269,3852906.52274487
433716000080128,-2521056.80010542,-4235064.79750606,3852894.43257507
433717000080128,-2521064.75144101,-4235064.89188922,3852877.47710758
433718000080128,-2521073.76136937,-4235055.82036561,3852864.68058032
433719000080128,-2521079.08836129,-4235039.53021873,3852846.30882891
433720000080128,-2521083.81187043,-4235027.87827086,3852831.43704698
433721000080128,-2521094.0900793,-4235015.60511146,3852826.4625705
433722000080128,-2521119.79847173,-4235015.09493986,3852831.63089931
433723000080128,-2521121.89566334,-4234995.98338656,3852812.71279173
433724000080128,-2521131.78772601,-4234989.24380152,3852805.62857884
433725000080128,-2521144.88974197,-4234982.22645118,3852799.86838279
433726000080128,-2521142.70121741,-4234969.38672988,3852770.2924398
433727000080128,-2521160.84038778,-4234962.50149629,3852764.6866113
433728000080128,-2521166.27231026,-4234952.5889186,3852744.68343982
433729000080128,-2521177.60819825,-4234943.62695992,3852741.08080197
