utc,X,Y,Z
434028999689984,-2523953.37335442,-4232088.96746812,3849453.23339061
434029999689984,-2523964.32208871,-4232079.73303225,3849441.60990248
434030999689984,-2523971.15926255,-4232074.37729818,3849429.42707896
434031999689984,-2523980.9138326,-4232068.43580117,3849423.11966139
434032999689984,-2523992.03378152,-4232064.20990883,3849417.4533315
434033999689984,-2523998.56973218,-4232031.94582261,3849393.19099039
434034999689984,-2524012.92263114,-4232033.70447925,3849394.7146798
434035999689984,-2524024.39779489,-4232022.41220451,3849386.54388791
434036999689984,-2524042.46046217,-4232019.81414312,3849394.78943037
434037999689984,-2524054.92393575,-4232010.98913771,3849383.43718414
434038999689984,-2524059.26281572,-4232000.67806712,3849363.54136211
434039999689984,-2524070.98644325,-4231998.5541375,3849360.93596416
434040999689984,-2524080.94144055,-4231991.82186684,3849352.74323327
434041999689984,-2524063.14642502,-4231977.58524361,3849301.97644655
434042999689984,-2524082.89485843,-4231965.17219962,3849296.840717
434043999689984,-2524095.62954898,-4231953.84755976,3849289.79741534
434044999689984,-2524102.82987892,-4231937.08711169,3849273.39905073
434045999689984,-2524116.56852438,-4231937.56063749,3849272.63512824
434046999689984,-2524130.25511006,-4231927.15849942,3849264.7989078
434047999689984,-2524130.31957693,-4231916.62496502,3849250.11236091
434048999689984,-2524144.18301495,-4231908.41371104,3849243.08369824
434049999689984,-2524152.07299264,-4231899.68540101,3849233.05674968
434050999680000,-2524159.8733205,-4231886.95641192,3849220.46208734
434051999680000,-2524166.44004448,-4231878.71731109,3849213.47688593
434052999680000,-2524176.34895777,-4231868.6339933,3849197.88386931
434053999680000,-2524184.05308079,-4231856.02965108,3849184.47308203
434054999680000,-2524192.47362278,-4231846.02613012,3849176.1701061
434055999680000,-2524214.90152006,-4231843.59591572,3849175.01243332
