utc,X,Y,Z
433863000040192,-2522415.10887558,-4233652.37909253,3851213.70823374
433864000040192,-2522424.8053173,-4233645.18349811,3851209.68034158
433865000040192,-2522423.35069576,-4233614.01607798,3851187.76724441
433866000040192,-2522445.85966223,-4233626.24456468,3851191.12365497
433867000040192,-2522455.6206541,-4233612.21935348,3851182.20671001
433868000040192,-2522470.1079409,-4233607.05749656,3851173.24537824
433869000040192,-2522485.21754413,-4233606.07938448,3851168.18223071
433870000040192,-2522493.24293516,-4233592.20695719,3851157.45521908
433871000040192,-2522499.78981209,-4233580.23493891,3851146.94684843
433872000040192,-2522508.43584376,-4233573.04551099,3851133.76112398
433873000040192,-2522528.98733268,-4233566.21188411,3851139.95960623
433874000040192,-2522531.52861359,-4233551.05167119,3851110.39824462
433875000040192,-2522530.57148774,-4233536.06085365,3851086.18909628
433876000040192,-2522543.46793597,-4233532.4989799,3851083.05651168
433877000040192,-2522550.65498328,-4233529.66526913,3851068.41712283
433878000040192,-2522557.04390291,-4233522.76138286,3851050.53874619
433879000040192,-2522561.36552508,-4233518.60845405,3851040.99220667
433880000040192,-2522571.62428354,-4233505.88251856,3851024.42646328
433881000040192,-2522583.72414636,-4233488.67821957,3851018.75846867
433882000029952,-2522593.16315467,-4233473.40351828,3851005.01879027
433883000029952,-2522601.06987357,-4233477.26653165,3850993.40146003
433884000029952,-2522610.68481309,-4233466.30714256,3850981.54709323
433885000029952,-2522621.91864492,-4233461.52544852,3850973.54022886
433886000029952,-2522627.91158834,-4233443.74878224,3850960.6349145
433887000029952,-2522643.84940033,-4233431.75037241,3850951.97228805
433888000029952,-2522653.1117078,-4233421.96244203,3850937.38296182
433889000029952,-2522658.99821782,-4233401.87907045,3850920.64443763
433890000029952,-2522672.95952785,-4233404.84645741,3850925.1795815
433891000029952,-2522683.0669618,-4233392.63071966,3850915.51690174
