utc,X,Y,Z
432212999549952,-2523056.2658214,-4186693.38435022,3789220.92553994
432213999549952,-2523066.28786999,-4186662.13304771,3789204.14092762
432214999549952,-2523076.30621247,-4186640.71267467,3789191.2289193
432215999549952,-2523087.78046757,-4186618.4284588,3789177.61750142
432216999549952,-2523096.9766851,-4186597.35629178,3789164.22689096
432217999549952,-2523105.63785921,-4186571.38869467,3789144.58850941
432218999549952,-2523115.29311689,-4186549.51539905,3789127.20547701
432219999549952,-2523128.81965644,-4186527.38097626,3789109.30128221
432220999549952,-2539153.20348872,-4216993.60363325,3792620.13169989
432221999549952,-2523152.62891453,-4186483.07202161,3789084.025856
432222999549952,-2523157.6842309,-4186459.78815781,3789065.0118609
432223999549952,-2523170.13039496,-4186438.29621502,3789049.57633375
432224999549952,-2523179.10195356,-4186414.2391943,3789033.92338718
432225999549952,-2523190.6088518,-4186393.51860887,3789017.76058699
432226999549952,-2523201.88650658,-4186371.32921913,3789003.91074029
432227999549952,-2523209.95358871,-4186345.59439371,3788984.97049388
432228999549952,-2523219.20753626,-4186316.69469942,3788965.30869808
432229999549952,-2523220.28968394,-4186283.90893239,3788919.94624177
432230999549952,-2523233.64973515,-4186262.67404017,3788924.45749762
432231999549952,-2523240.83408046,-4186243.44362172,3788908.35714795
432232999549952,-2523252.29822055,-4186221.27967265,3788893.24264123
432233999549952,-2523264.04665792,-4186200.43153737,3788881.0455299
432234999549952,-2523276.21622957,-4186175.05052225,3788860.21793987
432235999549952,-2523285.1424606,-4186153.95499271,3788849.33338957
432236999549952,-2523295.76553343,-4186132.76677242,3788839.05705851
432237999539968,-2523287.83401045,-4186093.34786524,3788767.75466946
432238999539968,-2523298.48661301,-4186071.7289743,3788751.38896105
432239999539968,-2523314.67234649,-4186051.89777589,3788750.69846382
432240999539968,-2523321.31540231,-4186030.33913974,3788726.66321351
432241999539968,-2523330.88031449,-4186007.06123603,3788711.653584
432242999539968,-2523338.52162124,-4185981.75475668,3788692.63131957
432243999539968,-2523347.28806991,-4185955.65277903,3788671.66487342
432244999539968,-2523352.67205538,-4185932.64430304,3788646.00341829
432245999539968,-2523361.05470702,-4185908.86261688,3788630.5342651
432246999539968,-2523369.90176418,-4185885.12087919,3788616.29520018
432247999539968,-2523381.37022907,-4185861.6917481,3788597.85724696
432248999539968,-2523393.21191335,-4185841.99264752,3788580.6061525
