utc,X,Y,Z
432478246149888,-293473.995203894,-357366.850851965,-68002.4075164716
432479667089920,4983200.38713658,337911.293490187,2082776.16562945
432480223190016,-160842.484036418,1186798.50644938,-494249.927246091
432481208150016,-274689.855291198,1142549.64866338,-495693.905658351
432482675480064,-444213.001560244,1180506.02832456,-251899.904597947
432483675480064,-2525549.67782465,-4180092.00349354,3784475.52608282
432484675480064,-2525557.19626814,-4180064.13292637,3784458.93841109
432485000480256,-2373866.44597752,-5126201.25920959,4160779.6338283
432486000480256,-2525567.17674261,-4180029.48673641,3784431.54837927
432487000480256,-2525579.29652433,-4180009.99780029,3784420.73677287
432488000480256,-2525585.31538772,-4179979.17336401,3784401.30274783
432489000480256,-2525596.75962174,-4179952.85019773,3784382.97531957
432490000480256,-2525608.16891027,-4179932.48420487,3784372.19619253
432491000480256,-2525615.94503344,-4179910.40888708,3784351.80900361
432492000480256,-2525628.91211624,-4179872.17469031,3784335.20421481
432493000480256,-2525635.92448082,-4179845.14017523,3784319.89235184
432494000480256,-2525645.64457689,-4179823.75005072,3784310.03240118
432495000480256,-2525656.94892283,-4179799.41471703,3784290.23558026
432496000480256,-2525654.35693305,-4179768.00576499,3784276.29113566
432497000480256,-2525663.47788998,-4179747.54968328,3784259.39020709
432498000480256,-2525675.97086752,-4179725.09898416,3784238.88584731
432499000480256,-2525685.84006349,-4179702.02378866,3784224.67844201
432500000480256,-2525691.04122418,-4179680.28292928,3784209.09114819
432501000480256,-2525701.62371736,-4179654.76240739,3784188.29909464
432502000480256,-2525710.41911224,-4179625.30949897,3784166.89214706
432503000480256,-2525717.22775421,-4179598.45953019,3784147.83412918
432504000480256,-2525726.93623011,-4179575.83322832,3784132.13492834
432505000480256,-2525739.05799845,-4179549.11699279,3784116.85767143
432506000480256,-2525751.6817663,-4179525.80425403,3784105.09056931
