utc,X,Y,Z
433970000009984,-2523410.91655924,-4232641.07152178,3850061.36304943
433971000009984,-2523416.65972638,-4232630.0941209,3850050.10670863
433972000009984,-2523427.10080289,-4232616.62010843,3850037.78716046
433973000009984,-2523440.19058589,-4232608.81582829,3850034.84627514
433974000009984,-2523453.38997604,-4232599.74095324,3850025.23455433
433975000009984,-2523468.49121845,-4232594.08961516,3850019.39116783
433976000009984,-2523469.005725,-4232578.76557832,3850003.59769166
433977000009984,-2523479.62183858,-4232575.64928359,3849996.28654313
433978000009984,-2523486.29599098,-4232575.70476882,3849994.73562867
433979000009984,-2523493.23671644,-4232558.91759411,3849975.23270814
433980000009984,-2523501.93395629,-4232551.17526046,3849962.92327491
433981000009984,-2523514.10308744,-4232541.56324587,3849949.63883554
433982000009984,-2523522.70182472,-4232533.62554084,3849939.06855515
433983000009984,-2523529.92718539,-4232529.92730251,3849924.75502328
433984000009984,-2523536.23009656,-4232526.70853598,3849908.16247384
433985000000000,-2523540.67134456,-4232523.3495999,3849889.6027738
433986000000000,-2523546.13257158,-4232513.24051017,3849870.78300999
433987000000000,-2523560.75076983,-4232508.43947173,3849867.95603234
433988000000000,-2523563.73434069,-4232496.72349179,3849854.28370597
433989000000000,-2523575.21593767,-4232487.91821636,3849847.60929654
433990000000000,-2523580.37153634,-4232481.13166395,3849833.21206544
433991000000000,-2523591.3228969,-4232477.92789526,3849815.13608665
433992000000000,-2523595.89424703,-4232464.66708835,3849797.8636491
433993000000000,-2523608.46732881,-4232455.98243442,3849792.99246945
433994000000000,-2523614.21184542,-4232439.96199777,3849780.13209241
433995000000000,-2523621.87057364,-4232433.13840699,3849768.69054403
433996000000000,-2523644.80165464,-4232426.71017681,3849772.27493216
433997000000000,-2523658.44132795,-4232411.41569849,3849769.77822493
433998000000000,-2523663.81219933,-4232397.99210395,3849748.38647488
433999000000000,-2523668.29400594,-4232392.2877421,3849743.2577694
434000000000000,-2523682.65335891,-4232383.10679549,3849732.77090082
434001000000000,-2523690.1932323,-4232372.72194301,3849723.57971176
