utc,X,Y,Z
433490999780096,-2490528.58730633,-4116424.8832374,3738282.46895035
433491999780096,-2490523.28582989,-4116375.42117253,3738251.70267782
433492999780096,-2490526.69617623,-4116332.11135808,3738230.63635743
433493999780096,-2490523.02265691,-4116283.48520034,3738206.9381118
433494999780096,-2490524.53620029,-4116240.07897406,3738181.35443949
433495999780096,-2490529.59567562,-4116196.56889577,3738162.5744744
433496999780096,-2490524.50259697,-4116145.90200351,3738132.59672572
433497999780096,-2490535.151256,-4116108.70098701,3738120.39029591
433498999780096,-2490538.99190789,-4116067.11840486,3738101.47019587
433499999780096,-2490538.39956705,-4116023.02216389,3738078.61205369
433500999780096,-2490540.94820348,-4115978.70607219,3738056.18572295
433501999780096,-2490544.39645475,-4115936.36931961,3738036.1437575
433502999770112,-2490544.52455586,-4115893.1729789,3738018.87548908
433503999770112,-2490542.88950444,-4115853.16951627,3737996.83299218
433504999770112,-2490540.91582932,-4115816.06188349,3737972.87889784
433505999770112,-2490522.90775597,-4115762.80969903,3737913.92699795
433506999770112,-2490527.9880566,-4115726.18985244,3737900.62940361
433507999770112,-2490522.88718816,-4115680.18020985,3737857.25488409
433508999770112,-2490525.57443008,-4115639.99469416,3737845.73279319
433509999770112,-2490518.38242905,-4115592.73660497,3737821.25457467
433510999770112,-2490520.16494571,-4115546.6584283,3737799.64748454
433511999770112,-2490515.98686997,-4115496.41216906,3737775.42526891
433512999770112,-2490516.93188747,-4115448.99817267,3737754.96128261
433513999770112,-2490520.78264209,-4115399.95423557,3737726.11429203
433514999770112,-2490517.28847112,-4115354.30072181,3737706.41807777
433515999770112,-2490525.34470454,-4115309.80232794,3737685.63612524
433516999770112,-2490523.33575186,-4115264.34398215,3737669.027939
433517999770112,-2490524.25756899,-4115221.42106615,3737644.66907609
433518999770112,-2490524.87561336,-4115185.98377005,3737617.75253159
433519999770112,-2490528.63503915,-4115139.17393682,3737598.00064413
433520999770112,-2490524.17951011,-4115090.23838627,3737572.98541061
433521999770112,-2490534.98907422,-4115050.84002195,3737554.46556584
