utc,X,Y,Z
433910999709952,-2522868.19796859,-4233212.13598265,3850703.47363877
433911999709952,-2522868.94503447,-4233196.62303706,3850689.4920558
433912999709952,-2522875.93792341,-4233173.35445769,3850668.84395382
433913999709952,-2522886.7760486,-4233170.3204364,3850661.61886847
433914999709952,-2522894.9130753,-4233161.52644924,3850654.98878246
433915999709952,-2522905.28491815,-4233152.32755697,3850644.12859108
433916999709952,-2522913.12478665,-4233129.80351671,3850625.71773878
433917999709952,-2522927.04441058,-4233116.81016027,3850620.40394403
433918999709952,-2522941.88301691,-4233109.89272501,3850609.38419502
433919999709952,-2522950.39057796,-4233103.98538572,3850599.27189554
433920999709952,-2522959.35945347,-4233103.87463008,3850597.39603846
433921999709952,-2522967.40359363,-4233096.08789239,3850581.54223398
433922999699968,-2522975.84792315,-4233092.73603132,3850569.54673332
433923999699968,-2522984.78981802,-4233086.44517781,3850555.3047209
433924999699968,-2522976.30267011,-4233076.36103026,3850521.11276634
433925999699968,-2522986.40043783,-4233071.3452026,3850506.55821348
433926999699968,-2522996.66454945,-4233060.42883153,3850495.38768786
433927999699968,-2523010.57080303,-4233054.00951427,3850489.47881225
433928999699968,-2523016.01152439,-4233046.38156854,3850479.32106004
433929999699968,-2523028.3330843,-4233039.98585748,3850472.45429564
433930999699968,-2523034.67679981,-4233029.31826003,3850462.67006104
433931999699968,-2523044.40469689,-4233014.63036907,3850447.48361172
433932999699968,-2523053.84439644,-4233003.41122347,3850441.75005922
433933999699968,-2523064.15063368,-4233000.66396579,3850430.68428944
433934999699968,-2523072.74506129,-4232986.99380402,3850409.10355921
433935999699968,-2523080.25317682,-4232971.81285547,3850397.6337922
433936999699968,-2523092.57494303,-4232968.26456168,3850395.14130209
