utc,X,Y,Z
432422000489984,-2525005.36206693,-4181643.36607716,3785539.60610448
432423000489984,-2525012.86412204,-4181614.77762652,3785518.68127677
432424000489984,-2525020.19049043,-4181588.5026911,3785488.43490594
432425000489984,-2525027.53103212,-4181564.88843697,3785477.87243773
432426000489984,-2525033.27572984,-4181537.3045972,3785458.26093794
432427000489984,-2525042.21037196,-4181512.27272794,3785443.3686187
432428000489984,-2525051.86012021,-4181489.31722731,3785426.36264554
432429000489984,-2525062.84984361,-4181466.59548185,3785410.49073811
432430000489984,-2525076.18484988,-4181441.17817376,3785391.88744401
432431000489984,-2525084.24617105,-4181415.08231801,3785374.95849307
432432000489984,-2525094.66973862,-4181392.03843196,3785360.67787459
432433000489984,-2525102.13894376,-4181365.73322741,3785340.71993454
432434000489984,-2525113.92960338,-4181342.0838923,3785328.77399497
432435000489984,-2525120.70525794,-4181316.81825014,3785311.18735787
432436000489984,-2525129.99809596,-4181285.51319967,3785285.26619454
432437000489984,-2525138.4545705,-4181265.01897778,3785271.44769599
432438000489984,-2525148.33941627,-4181241.95998195,3785260.19491825
432439000489984,-2525161.93217758,-4181217.5351904,3785244.78300122
432440000489984,-2525177.57137837,-4181188.48531199,3785234.24931117
432441000489984,-2525187.48685223,-4181161.08481704,3785219.81337602
432442000489984,-2525195.2302976,-4181138.13594129,3785205.58050841
432443000489984,-2525203.29589895,-4181113.13777392,3785191.58286531
432444000489984,-2525215.06907097,-4181091.45490892,3785176.38570212
432445000489984,-2525229.51887943,-4181068.82718744,3785162.18666242
432446000489984,-2525243.50369498,-4181047.45665597,3785147.5622231
432447000489984,-2525259.36354917,-4181020.70663788,3785131.25600465
432448000480000,-2525232.87911361,-4180975.14671225,3785071.57750317
432449000480000,-2525252.88591726,-4180957.912716,3785071.01556952
432450000480000,-2525260.20537141,-4180929.92793584,3785056.06683757
432451000480000,-2525268.48247099,-4180908.29752243,3785041.82556818
432452000480000,-2525277.37314031,-4180882.55219569,3785020.81205725
432453000480000,-2525286.23330633,-4180859.01985825,3784999.30524757
