utc,X,Y,Z
432800908440064,-1114389.94063815,-128603.40956643,-614747.939263266
432801935369984,-1112078.90947404,-128064.953352975,-614357.150104522
432802919409920,-819052.303528285,-1610076.45079505,836103.550251735
432803897819904,-1017299.59406799,-1597867.24075205,589987.71092164
432805399680000,NaN,NaN,NaN
432806399680000,NaN,NaN,NaN
432807399680000,NaN,NaN,NaN
432807999680000,NaN,NaN,NaN
432808999680000,NaN,NaN,NaN
432809999680000,NaN,NaN,NaN
432810999680000,NaN,NaN,NaN
432811999680000,NaN,NaN,NaN
432812999680000,NaN,NaN,NaN
432813999680000,NaN,NaN,NaN
432814999680000,NaN,NaN,NaN
432815999680000,NaN,NaN,NaN
432816999680000,NaN,NaN,NaN
432817999680000,NaN,NaN,NaN
432818999680000,NaN,NaN,NaN
432819999680000,NaN,NaN,NaN
432820999680000,NaN,NaN,NaN
432821999680000,NaN,NaN,NaN
432822999680000,NaN,NaN,NaN
432823999680000,NaN,NaN,NaN
432824999680000,NaN,NaN,NaN
432825999680000,NaN,NaN,NaN
432826999680000,NaN,NaN,NaN
