utc,X,Y,Z
432550000460032,-2526142.6523607,-4178405.64198792,3783376.07775675
432551000460032,-2526151.52752175,-4178376.17335596,3783359.72894419
432552000460032,-2526162.18429571,-4178357.89850843,3783342.04779618
432553000450048,-2526169.23843115,-4178331.67168622,3783324.45912987
432554000450048,-2526179.27566257,-4178303.06408863,3783307.23025304
432555000450048,-2526187.84177315,-4178280.41718303,3783294.61344746
432556000450048,-2526195.56393362,-4178252.32472258,3783275.65387949
432557000450048,-2526206.67063684,-4178232.22331527,3783263.91941767
432558000450048,-2526213.34508245,-4178205.59520188,3783244.40779972
432559000450048,-2526221.83935736,-4178179.96870444,3783230.65352813
432560000450048,-2526227.93781149,-4178149.94463559,3783207.74436475
432561000450048,-2526238.75322357,-4178126.53116852,3783194.22034617
432562000450048,-2526250.05792067,-4178100.62371185,3783182.26952409
432563000450048,-2526258.06323188,-4178077.58850839,3783167.10964727
432564000450048,-2526267.82147968,-4178050.41868021,3783147.78416823
432565000450048,-2526277.26922979,-4178027.30094533,3783135.30893463
432566000450048,-2526286.42457477,-4177999.79086831,3783121.72749011
432567000450048,-2526295.8793366,-4177973.4162745,3783101.26245637
432568000450048,-2526304.46833448,-4177946.67606973,3783088.28223437
432569000450048,-2526315.6016816,-4177912.90297238,3783066.84868359
432570000450048,-2526334.84177332,-4177889.86186919,3783058.18661961
432571000450048,-2526346.91218508,-4177867.22469855,3783046.36779999
432572000450048,-2526348.13118921,-4177837.71833156,3783028.45133672
432573000450048,-2526357.00544819,-4177808.33689348,3783013.64221338
432574000450048,-2526357.21690975,-4177780.57502296,3782986.09262736
432575000450048,-2526368.31102312,-4177760.30243707,3782971.05682191
432576000450048,-2526370.75148373,-4177728.82440945,3782947.75195542
432577000450048,-2526384.03851227,-4177706.83783664,3782935.91580623
432578000450048,-2526392.63544485,-4177679.40830547,3782917.87969714
432579000450048,-2526401.04275114,-4177653.6117359,3782900.40723552
432580000450048,-2526408.62066111,-4177628.58126702,3782885.27752612
432581000450048,-2526420.88643589,-4177604.32859869,3782874.54223904
432582000450048,-2526427.62807124,-4177576.4863408,3782854.9564575
432583000450048,-2526435.36926653,-4177549.62911682,3782834.46210595
432584000450048,-2526444.25722709,-4177525.22229918,3782819.81893409
432585000450048,-2526452.98262965,-4177497.18908088,3782804.03415558
432586000450048,-2526465.20801515,-4177474.02378492,3782791.9913475
