utc,X,Y,Z
434630000359936,-2547083.00533471,-4262533.11401921,3905995.29054525
434631000359936,-2547083.90148976,-4262527.67199884,3905981.54309188
434632000359936,-2547087.14127111,-4262520.44288545,3905967.86136723
434633000359936,-2547086.77442705,-4262507.98580267,3905953.55262107
434634000359936,-2547091.41618898,-4262499.82378084,3905942.56565377
434635000359936,-2547094.43836952,-4262495.96631985,3905936.4903662
434636000349952,-2547095.17643879,-4262483.3983898,3905924.14243812
434637000349952,-2547095.46010687,-4262473.027458,3905910.31924031
434638000349952,-2547097.66393762,-4262460.72305411,3905899.69291389
434639000349952,-2547100.69947809,-4262466.06335545,3905892.43813672
434640000349952,-2547105.05186793,-4262446.88695012,3905875.11912387
434641000349952,-2547104.6673052,-4262431.49418035,3905856.22458672
434642000349952,-2547104.50062194,-4262418.74588885,3905835.08978966
434643000349952,-2547106.00253538,-4262405.50737325,3905818.4185466
434644000349952,-2547105.69273845,-4262394.49881236,3905800.84847326
434645000349952,-2547108.47938676,-4262385.25600543,3905784.92594507
434646000349952,-2547116.359774,-4262368.73884,3905753.18412891
434647000349952,-2547124.27261817,-4262356.04129295,3905735.53250288
434648000349952,-2547127.96554422,-4262342.34387958,3905717.34964554
434649000349952,-2547135.68110269,-4262328.29982541,3905705.46776622
434650000349952,-2547140.90902585,-4262315.770893,3905694.22185164
434651000349952,-2547143.71064123,-4262308.42063915,3905681.5539039
434652000349952,-2547149.53562461,-4262303.40323543,3905666.02711138
434653000349952,-2547138.6381146,-4262287.30970563,3905644.86545109
434654000349952,-2547143.65150032,-4262279.87720989,3905633.07814446
434655000349952,-2547146.17287291,-4262261.71528057,3905619.7423516
434656000349952,-2547152.82214264,-4262255.15040136,3905607.25249762
434657000349952,-2547151.79643259,-4262245.45999065,3905591.22769242
434658000349952,-2547154.73553688,-4262235.07624811,3905576.8827947
434659000349952,-2547153.43727155,-4262223.4251496,3905560.35824915
434660000349952,-2547154.76444851,-4262215.56301714,3905550.41310502
434661000349952,-2547155.90048066,-4262201.10556259,3905526.89728738
