utc,X,Y,Z,lat,lon,h,E,N,U
1676594779999,-2698892.53947093,-4293210.61812573,3855508.98437088,37.431167265194,-122.155193651657,13.9811025923118,-3.15541205138156,6.57760648156841,-2.51890158687524
1676594780999,-2698882.68268103,-4293201.67719787,3855502.96013918,37.431194345738,-122.155153130768,0.1430225931108,0.430958801789277,9.58314589573355,-16.3569846402945
1676594781999,-2698883.50788903,-4293205.21694409,3855505.5756294,37.4311942421792,-122.155139738855,4.4611887447536,1.61623144805919,9.57165898570333,-12.0388186617675
1676594782999,-2698886.99623207,-4293203.51279468,3855509.96516242,37.4312233823677,-122.155183354118,7.45777180418372,-2.2440064109885,12.8058128657556,-9.04224148197987
1676594783999,-2698893.95466801,-4293209.77642583,3855510.982694,37.4311813404936,-122.155212250062,15.2279369831085,-4.80149633744876,8.13976984700117,-1.27207002872065
1676594784999,-2698892.78789832,-4293208.68026556,3855504.19169563,37.431141235104,-122.155207680853,9.87028548773378,-4.39708917463029,3.68862949819497,-6.62971709414239
1676594785999,-2698892.02742431,-4293217.62591469,3855505.11168137,37.431108558311,-122.155146614055,16.1220444934443,1.00773403773416,0.0619647832196337,-0.377955585382934
1676594786999,-2698908.38626314,-4293222.93534024,3855509.51098594,37.4310677379604,-122.155271166911,29.2790228882805,-10.0160720074283,-4.46852678758251,12.7790134661603
1676594787999,-2698914.67906522,-4293219.59712525,3855511.98302294,37.4310825609067,-122.155351433846,31.196825498715,-17.1202651490411,-2.82337286083095,14.6968019234984
1676594788999,-2698896.09240899,-4293214.55665721,3855507.27295742,37.4311264042073,-122.155203953782,17.090239922516,-4.06722380274585,2.04261104184807,0.590238300482969
1676594789999,-2698910.06727141,-4293223.85215176,3855508.72003366,37.4310529286446,-122.155281733467,30.1250660791993,-10.9512905600274,-6.11215684334845,13.6250537534762
1676594790999,-2698911.867436,-4293219.04422563,3855511.60363362,37.4310906047838,-122.155327864131,29.4062621444464,-15.0341726902469,-1.93061631236449,12.9062441560609
1676594791999,-2698901.64771259,-4293225.0600435,3855502.33521883,37.4310261861334,-122.155193933316,23.4980686465278,-3.18035151032401,-9.08020536897314,6.99806137282833
1676594792999,-2698891.03307228,-4293214.49574799,3855496.88942748,37.4310671404087,-122.155155925082,8.59991746395826,0.183644305446216,-4.53483807107038,-7.90008415379409
1676594793999,-2698887.29698775,-4293207.01489124,3855502.70273746,37.4311543072551,-122.155165171946,5.52510327566415,-0.634764883080572,5.13944946625813,-10.9748988312332
1676594794999,-2698895.35480934,-4293206.20374289,3855498.56472852,37.4311049756688,-122.155247126596,5.87009599525481,-7.88830126206731,-0.335654216387077,-10.6299088853876
1676594795999,-2698893.54525877,-4293207.39621613,3855492.25974026,37.4310596099321,-122.155222646706,2.07479799073189,-5.721666960643,-5.3706072405892,-14.4252068385321
1676594796999,-2698898.92517223,-4293215.98627551,3855494.16408462,37.4310177277963,-122.155222453821,11.2808776618913,-5.70460671495458,-10.0189430394802,-5.21913277650502
1676594797999,-2698905.34581958,-4293219.31301414,3855489.39152908,37.4309494430906,-122.155263865698,13.3301180135459,-9.36985432245569,-17.597587240236,-3.16991320835397
1676594798999,-2698906.73308084,-4293219.16149661,3855494.62762447,37.4309835656127,-122.155278046585,16.9970725625753,-10.6249632472395,-13.8104724976606,0.497048728309969
1676594799999,-2698896.93799124,-4293208.80036869,3855489.14247833,37.4310209076202,-122.155246656266,2.55794165562838,-7.84667861155453,-9.66601230271929,-13.9420705098523
1676594800999,-2698896.9249888,-4293217.06499901,3855493.15673394,37.4310113487854,-122.155196834495,10.5484833028167,-3.43711991891686,-10.7269235317487,-5.95152666871955
1676594801999,-2698896.52332856,-4293213.61516203,3855489.65042496,37.4310034272078,-122.155213737186,5.92831908166409,-4.93312137051949,-11.6060979370521,-10.5716934150367
1676594802999,-2698895.89071642,-4293217.87857874,3855491.82782946,37.4310010831414,-122.155182048935,9.85061345528811,-2.12849622260368,-11.8662646190003,-6.64939797049499
1676594803999,-2698897.08924986,-4293214.4555674,3855488.53253557,37.4309898829864,-122.155214096913,6.05302000790834,-4.96496060493087,-13.1093149761943,-10.4469954327614
1676594804999,-2698893.56766718,-4293215.97492285,3855487.87564922,37.4309884028551,-122.155171275039,5.18688925355673,-1.17493162686354,-13.2735881886027,-11.3131247063904
