utc,X,Y,Z,lat,lon,h,E,N,U
1676593676999,-2698873.87154919,-4293201.23927033,3855512.94544715,37.431293500559,-122.155071481093,2.1939980564639,-1.10465702831769,-0.0554307764459674,-14.3060020373263
1676593677999,-2698874.91115885,-4293206.08608869,3855513.79728908,37.4312740933006,-122.155052280326,6.40953136794269,0.594734881591885,-2.20936202550448,-10.0904690418129
1676593678999,-2698870.60425391,-4293205.5017883,3855513.17350256,37.4312848923606,-122.155014596062,3.81738873850554,3.93003554256652,-1.01081780541343,-12.6826125498275
1676593679999,-2698871.4035221,-4293202.02096136,3855508.64416403,37.4312662948152,-122.155043172592,-0.937887255102396,1.40082719658991,-3.07487993640605,-17.4378881511857
1676593680999,-2698869.68695934,-4293201.90337702,3855506.55367816,37.4312568860931,-122.155027459818,-3.01300810370594,2.79150805898694,-4.11911210123081,-19.5130100468364
1676593681999,-2698860.56591707,-4293206.11223654,3855512.86020081,37.4313090785236,-122.154914903169,-0.20504458528012,12.753488819647,1.67351084107449,-16.7050575377131
1676593682999,-2698864.14942537,-4293209.00784585,3855512.14125687,37.431280064682,-122.154931769384,2.81909387093037,11.2607308475333,-1.54661470102899,-13.6809162433884
1676593683999,-2698866.0171821,-4293208.72689988,3855511.68965224,37.4312726923008,-122.154951324879,3.14508017059416,9.52994476320704,-2.36484655149221,-13.3549273791838
1676593684999,-2698864.93975675,-4293215.33597547,3855514.78211711,37.4312673160509,-122.154901276807,9.01251972559839,13.959536667296,-2.96153042593965,-7.48749621921068
1676593685999,-2698869.04343644,-4293211.40284206,3855516.55626935,37.4312862847861,-122.154964181529,9.18099269364029,8.3920544898877,-0.856275757924462,-7.31901287575375
1676593686999,-2698870.31220316,-4293216.03999026,3855514.82936799,37.4312487313391,-122.154948433685,11.7850341973826,9.78585049112649,-5.02417951458957,-4.71497528353939
1676593687999,-2698870.03603732,-4293218.10829684,3855515.32581536,37.4312434986912,-122.154933354814,13.360548267141,11.1204338698751,-5.60492962668645,-3.13946388305517
1676593688999,-2698867.81874459,-4293220.59621167,3855514.6561315,37.4312336347647,-122.154897184867,13.6890147849917,14.3217170951043,-6.69968259120897,-2.81100480062501
1676593689999,-2698866.26465848,-4293218.16553958,3855514.79962324,37.4312504606314,-122.154896935388,11.4853498209268,14.3437895098676,-4.83224555139955,-5.01466812244114
1676593690999,-2698868.74870226,-4293214.87841262,3855517.07978423,37.4312747752281,-122.154940462816,11.7111862013116,10.4913213516772,-2.13367292096564,-4.78882277184837
1676593691999,-2698869.80847691,-4293195.31667383,3855502.76149395,37.4312599383209,-122.155068229795,-9.69468209333718,-0.816895055643116,-3.78035494628112,-26.1946832673598
1676593692999,-2698866.20738471,-4293192.15691337,3855497.49139397,37.4312473775711,-122.155052783882,-16.5440357141197,0.550165119011895,-5.17441140993622,-33.0440378413635
1676593693999,-2698866.87641046,-4293208.5692966,3855497.89116446,37.43117219291,-122.154960491565,-4.98458673339337,8.71863426352978,-13.5188351045995,-21.484607052859
1676593694999,-2698859.92973705,-4293228.82826568,3855496.77312676,37.4310905111674,-122.154772221314,5.01980313751847,25.3818377922091,-22.5843381145923,-11.480287405695
1676593695999,-2698865.42221308,-4293217.00531953,3855505.71623407,37.4311933053463,-122.154895853615,4.82835993077606,14.439529474083,-11.1756668556033,-11.6716662121217
1676593696999,-2698863.89088022,-4293214.53589677,3855505.51279626,37.4312077623508,-122.154896054799,2.39739154838026,14.4217151508007,-9.57114064946851,-14.1026319371004
1676593697999,-2698866.20262595,-4293204.26810749,3855505.2495332,37.4312467468087,-122.154979910566,-3.68846839945763,6.99992145271888,-5.2444245447433,-20.1884743967443
1676593698999,-2698871.11021612,-4293197.63156825,3855500.86246442,37.4312318241129,-122.155066761546,-8.74253089819103,-0.6869461452855,-6.90062747188001,-25.2425346773488
1676593699999,-2698869.86971424,-4293195.99083244,3855498.75430414,37.4312279633611,-122.155064761664,-11.6511847311631,-0.509943678224199,-7.32911194659274,-28.1511889726549
1676593700999,-2698870.69955065,-4293203.24728495,3855503.38917872,37.4312250623702,-122.155029064529,-3.604994924739,2.6494816819314,-7.65108926753309,-20.1050000752277
1676593701999,-2698869.8956548,-4293202.39053049,3855505.31313834,37.4312451433197,-122.155026526722,-3.35131703410298,2.87409331835313,-5.42239158499565,-19.8513199912421
1676593702999,-2698869.11843943,-4293200.51131974,3855505.22878478,37.4312555179271,-122.155030392422,-4.99441037420183,2.53195307226526,-4.27095770350411,-21.4944123092213
1676593703999,-2698873.71383524,-4293204.85891164,3855507.27132147,37.4312365806795,-122.15504820663,1.11196895688772,0.955283246222625,-6.37272697598612,-15.388034306846
1676593704999,-2698873.90175901,-4293209.53312354,3855507.1124535,37.4312132246329,-122.155021897003,4.23720683623105,3.28385840574513,-8.96491940346686,-12.2628003255228
1676593705999,-2698874.96755854,-4293205.86090794,3855504.47454275,37.4312082703886,-122.155054173888,0.615534316748381,0.427142306591409,-9.51476546427901,-15.8844728136976
1676593706999,-2698877.71157587,-4293207.67291538,3855511.24206614,37.4312402917499,-122.155069525771,7.106749240309,-0.931599811698234,-5.96085662878484,-9.39325361954901
1676593707999,-2698876.94018014,-4293211.30536313,3855510.17118821,37.4312180365875,-122.155040304154,8.57187318243086,1.65470588301805,-8.43086692388355,-7.9281326196339
1676593708999,-2698865.99747037,-4293200.18094235,3855496.50809498,37.4312037511168,-122.155002525307,-11.8360137278214,4.99836848674136,-10.0163191403488,-28.3360235700357
1676593709999,-2698873.09537913,-4293214.22570876,3855509.14100741,37.4312083320474,-122.154985965908,8.28411885350943,6.46400035462275,-9.50793118802224,-8.21589152479892
1676593710999,-2698870.8504073,-4293206.81494187,3855508.94581574,37.431247838239,-122.155009054327,2.23459743335843,4.42051600045804,-5.12329795076109,-14.2654061589985
