utc,X,Y,Z,lat,lon,h,E,N,U
1676594080999,-2698873.24971131,-4293195.80741948,3855507.81020668,37.431283755698,-122.155098196067,-4.84177105780691,-3.46910061870342,-1.13696987752751,-21.341772101232
1676594081999,-2698872.11594714,-4293203.94827938,3855512.88068573,37.4312855940129,-122.155038397854,3.23389211390167,1.82342292794688,-0.932944997141241,-13.2661082124673
1676594082999,-2698873.08104984,-4293204.91473504,3855511.45087051,37.4312680701165,-122.155041818024,3.4224374499172,1.52071616064444,-2.87784879009804,-13.0775633806614
1676594083999,-2698871.07911872,-4293200.3329069,3855510.3606537,37.4312873480656,-122.155050220214,-1.16653240285814,0.777067141190797,-0.738269708180777,-17.6665324902384
1676594084999,-2698871.93231396,-4293203.69411495,3855511.2197579,37.4312754240206,-122.155038169661,1.97588782291859,1.84361931700025,-2.06166930494954,-14.5241127756185
1676594085999,-2698867.10239108,-4293195.4384248,3855508.22387786,37.4313063435314,-122.155041612488,-7.43639051448554,1.53890401977945,1.36995455128659,-23.9363908454273
1676594086999,-2698865.84166203,-4293202.4594011,3855509.74230198,37.4312883298125,-122.154987333959,-2.32622934971005,6.34290148544277,-0.629307324182669,-18.8262325288774
1676594087999,-2698868.63979085,-4293215.92566405,3855515.19787663,37.4312567724688,-122.154933123657,11.2253637388349,11.1408871135177,-4.13172504576604,-5.27464731994479
1676594088999,-2698868.62508516,-4293222.51621535,3855513.50143934,37.4312141210325,-122.154893352533,14.6187397325411,14.6609101384225,-8.86543400056035,-1.88128327471533
1676594089999,-2698870.30123217,-4293221.24674144,3855513.96217314,37.4312184179853,-122.15491701937,14.7537066806108,12.5662361101721,-8.38853600921974,-1.74631121496858
1676594090999,-2698867.56559665,-4293206.58921147,3855504.29131089,37.4312251566839,-122.154978990738,-2.13443333189934,7.08133590871551,-7.64062097334457,-18.634441845924
1676594091999,-2698869.82085704,-4293207.81182209,3855509.58926256,37.4312508207796,-122.154993211645,2.86076399218291,5.82269644469895,-4.79227795969833,-13.6392404657853
1676594092999,-2698866.13090854,-4293213.51989819,3855500.63695541,37.431171058323,-122.154923591298,-0.30254146642983,11.984555779618,-13.6447639694721,-16.802567350307
1676594093999,-2698864.87588948,-4293216.92221638,3855493.28758374,37.431106358085,-122.154891127458,-3.01262453850359,14.8578244451882,-20.8255539353414,-19.5126759226499
1676594094999,-2698865.43359361,-4293218.61890269,3855494.84147005,37.4311079838347,-122.154886259641,-0.691812978126109,15.2886635343434,-20.6451257465116,-17.191864790358
1676594095999,-2698869.50719313,-4293228.93997406,3855502.53305254,37.431103289997,-122.154863162936,12.6434400174767,17.332911878567,-21.1661151231337,-3.85661872873813
1676594096999,-2698858.7557506,-4293217.64025863,3855494.98293807,37.4311329967798,-122.154828267298,-4.08593792188913,20.4213515724154,-17.8690253063024,-20.5859956783088
1676594097999,-2698867.25449435,-4293223.84341608,3855498.40069971,37.4311039192492,-122.154872261378,5.75340721197426,16.5276198940859,-21.0962557475452,-10.7466491674757
1676594098999,-2698866.79241251,-4293227.72299764,3855498.18509506,37.431085736054,-122.154844512593,8.0352507410571,18.9835847547755,-23.1143360045117,-8.46481948258105
1676594099999,-2698862.81718964,-4293226.10620541,3855500.70801388,37.4311228694534,-122.154816209614,6.80175239406526,21.4885748306968,-18.9930432399299,-9.69831212144463
1676594100999,-2698859.79638204,-4293219.95555688,3855497.4766871,37.4311370713807,-122.154824299114,-0.573894323781133,20.7725720831584,-17.4168117593273,-17.0739519595481
1676594101999,-2698864.69433903,-4293224.95735802,3855501.6030656,37.4311291287785,-122.15484107379,7.36674046237022,19.2879289317713,-18.2983536685646,-9.13331499002438
1676594102999,-2698857.3927258,-4293219.81207994,3855499.67140332,37.4311604451581,-122.154802169599,-0.352215931750834,22.7311733922707,-14.8226514149895,-16.8522736619445
1676594103999,-2698862.21253772,-4293225.24448951,3855500.98117504,37.43113058148,-122.154815607474,6.13292806316167,21.5418638532741,-18.1371152972849,-10.3671341344975
1676594104999,-2698861.66229247,-4293217.25744838,3855495.72044232,37.4311315769217,-122.154858371862,-2.66667386423796,17.7569052574894,-18.0266193306981,-19.1667241000011
1676594105999,-2698863.42818597,-4293225.82426284,3855505.01587415,37.431153217824,-122.154823749494,9.48877562396228,20.8212453670425,-15.6248115607439,-7.01127751254003
1676594106999,-2698861.76762704,-4293219.21288486,3855497.35736119,37.4311339155513,-122.154847620976,-0.312621146440506,18.7084353735095,-17.7670693996199,-16.812673369599
1676594107999,-2698863.01363913,-4293218.40560893,3855498.29189419,37.4311407132097,-122.154864394074,0.239266524091363,17.2239057339416,-17.0126309592566,-16.2607794587478
1676594108999,-2698858.26709639,-4293218.91333956,3855494.51642537,37.431125180641,-122.154815937745,-3.72013242542744,21.5126009834494,-18.7365030378544,-20.2201962606048
1676594109999,-2698859.68869928,-4293217.81128319,3855494.5552786,37.4311264248148,-122.154836163049,-3.83661393169314,19.7225284545014,-18.5984216457411,-20.3366715830679
