utc,X,Y,Z,lat,lon,h,E,N,U
1676593894000,-2698868.41916415,-4293196.86774957,3855507.49373722,37.4312906545952,-122.155045613227,-6.36277653928846,1.1848139538078,-0.371291776729068,-22.8627766592027
1676593895000,-2698871.82142452,-4293207.50057455,3855519.81798993,37.4313196175502,-122.155014219738,9.71411652117968,3.96334446544511,2.84318814188832,-6.78588534220465
1676593896000,-2698867.80061874,-4293192.87213373,3855514.74011392,37.4313628294113,-122.155063723226,-4.90593353100121,-0.418035007158354,7.63907752400036,-21.4059381318066
1676593897000,-2698868.91540802,-4293199.93976502,3855513.50565578,37.4313179792037,-122.155031887225,-0.433698848821223,2.39965317241614,2.66134990999884,-16.9336998549291
1676593898000,-2698865.84920612,-4293196.57755225,3855513.30864812,37.4313410952431,-122.155022775209,-4.10962578561157,3.20612177891994,5.22689781355062,-20.6096287371179
1676593899000,-2698872.67577685,-4293206.29105457,3855515.66318503,37.431293008453,-122.155029665215,6.73671665322036,2.59631897262707,-0.110047284393284,-9.76328387429427
1676593900000,-2698871.18003882,-4293209.73216674,3855515.62694633,37.4312811542209,-122.154994665431,8.3959505725652,5.69402957527917,-1.42569826777139,-8.10405212214062
1676593901000,-2698868.56752753,-4293204.49919625,3855513.71882,37.4312993787778,-122.155001142528,2.61405434738845,5.12075834445277,0.596969473089653,-13.8859477312374
1676593902000,-2698867.79931629,-4293205.41145118,3855513.03704392,37.4312925102403,-122.154988308557,2.48829322960228,6.25664771334661,-0.165339806930954,-14.0117098349547
1676593903000,-2698868.46208551,-4293199.65259234,3855510.47591126,37.4312989546646,-122.155029277795,-2.65985089447349,2.63060408537324,0.549897320032558,-19.159851458112
1676593904000,-2698872.40294426,-4293204.1058232,3855506.27824768,37.4312367878268,-122.155040195781,-0.551926013082266,1.66429481376565,-6.34973480281397,-17.051929398608
1676593905000,-2698870.25267179,-4293208.40760297,3855504.14260623,37.4312078300429,-122.154993759604,0.133263961412013,5.77419935178007,-9.56363484420481,-16.3667458386903
1676593906000,-2698862.25000164,-4293211.17918367,3855498.41299074,37.4311773101796,-122.154900543601,-4.8680509282276,14.024416516355,-12.9508845893478,-21.3680795135082
1676593907000,-2698858.60524678,-4293216.74841661,3855492.82668742,37.4311221427794,-122.154832190487,-6.05969825107604,20.0741203734338,-19.0736587191755,-22.559758405671
1676593908000,-2698854.39312596,-4293220.54845752,3855494.49444983,37.4311287334138,-122.154769048796,-4.27143957279623,25.6625765079396,-18.3421828249461,-20.7715175878502
1676593909000,-2698858.14454587,-4293225.53832135,3855495.55746125,37.4311022699984,-122.154774928096,1.31468492839485,25.1422509400579,-21.2792628643261,-15.1854001662198
1676593910000,-2698861.21931935,-4293226.94033835,3855499.2547813,37.4311132615951,-122.154795909332,5.80395030509681,23.2852850756999,-20.0593716700344,-10.6961237844907
1676593911000,-2698863.49300364,-4293220.31910718,3855493.32908147,37.4310949361422,-122.154857473169,-1.28816736582667,17.8364579939029,-22.0932262564187,-17.7882306531325
1676593912000,-2698867.21964345,-4293217.72062431,3855492.80901594,37.4310924011023,-122.154908745697,-1.77622897550464,13.2984994367568,-22.3745862307602,-18.276282183534
1676593913000,-2698863.77796574,-4293219.34951664,3855491.91237387,37.4310884647067,-122.154866029341,-2.6806600317359,17.0791778917132,-22.8114597589253,-19.1807237836228
1676593914000,-2698859.60773326,-4293230.33145422,3855496.48637486,37.4310824285984,-122.154760102213,5.71999696083367,26.4544652587232,-23.4813879806603,-10.7801011867936
1676593915000,-2698858.0204629,-4293218.53056981,3855496.29038083,37.4311403665314,-122.154815880238,-3.0034704329446,21.517688766454,-17.051088650645,-19.5035295432636
1676593916000,-2698861.89931367,-4293226.55010105,3855500.61468618,37.43112281887,-122.154804760412,6.65553882252425,22.5019053704923,-18.9986541727229,-9.84452920129603
1676593917000,-2698862.76353432,-4293220.24858625,3855495.50727298,37.4311129738343,-122.154850919465,-0.319945123046637,18.4165025486392,-20.0913018676642,-16.820003415073
1676593918000,-2698860.70938575,-4293215.64239856,3855493.17543235,37.4311236332128,-122.154858968448,-5.70203539635986,17.7040969281404,-18.9082484570034,-22.2020880466358
1676593919000,-2698868.79694437,-4293229.95956353,3855503.34083904,37.4311064124205,-122.154850238045,13.5197053868324,18.4768543453603,-20.8195703750413,-2.98035542310492
