utc,X,Y,Z,lat,lon,h,E,N,U
1676592874000,-2698891.31046537,-4293244.577952,3855483.70396691,37.4308325193462,-122.154977687437,20.9266913169995,4.27601127557662,5.82891846453756,4.42668721430924
1676592875000,-2698893.96185657,-4293240.03175958,3855476.73150656,37.4307959825913,-122.155030386354,14.7530156448483,-0.388223859261127,1.77384374377288,-1.74698461382577
1676592876000,-2698891.52728226,-4293220.18684612,3855471.26444389,37.4308559709648,-122.155126430447,-2.94019199069589,-8.88878507043871,8.43169413874119,-19.4402037665064
1676592877000,-2698893.65135858,-4293230.42728308,3855481.11243551,37.4308727624359,-122.155085170085,10.8276063390076,-5.23696945046133,10.2953262420189,-5.67240414194421
1676592878000,-2698891.20863926,-4293225.30908525,3855474.52943064,37.4308565115273,-122.155092581233,2.3532051127404,-5.89290173255962,8.49169325030788,-14.146803274217
1676592879000,-2698893.25968104,-4293230.78818452,3855478.47329758,37.430853348116,-122.155079253328,9.30062435846776,-4.71329482112363,8.14060774111347,-7.19938259139032
1676592880000,-2698892.58721396,-4293234.40610268,3855483.99230205,37.4308780216709,-122.155051065534,14.8031601076946,-2.21847758645079,10.8790327462359,-1.69684958332171
1676592881000,-2698888.91626981,-4293226.69745424,3855467.48998501,37.4308063896205,-122.155062305056,-1.96082489565015,-3.21324962843259,2.92887110685377,-18.4608263776625
1676592882000,-2698891.39850878,-4293226.76475512,3855471.1491168,37.4308250234139,-122.155085644144,1.35750436875969,-5.27892256762396,4.99695937018042,-15.1424997759228
1676592883000,-2698888.3618686,-4293228.45338861,3855468.54726728,37.4308074290086,-122.155046443116,-0.372022854164243,-1.80935820320067,3.04422866456849,-16.8720238382661
1676592884000,-2698893.87973483,-4293229.50241202,3855476.55518935,37.4308437784522,-122.155092916068,7.53243795223534,-5.92254271975692,7.07850882321166,-8.96756873336721
1676592885000,-2698894.58567618,-4293226.4650961,3855470.73846981,37.4308141852614,-122.155117932803,2.25342918653041,-8.13669622677126,3.79408163790039,-14.2465771292507
1676592886000,-2698891.73053714,-4293223.98326406,3855478.03342124,37.4308862079603,-122.155105545905,3.81218367349356,-7.04036412642323,11.7875785182833,-12.6878311316509
1676592887000,-2698900.83424283,-4293222.7493432,3855472.05275925,37.4308226042689,-122.155200046919,3.19501975458115,-15.4043705397018,4.72848264971763,-13.305000582173
1676592888000,-2698907.87862392,-4293240.22866166,3855488.33201985,37.4308375076202,-122.155162322291,27.817774024792,-12.0655211078365,6.38256208268483,11.3177594255908
1676592889000,-2698891.70593857,-4293225.53430057,3855465.65580546,37.4307905283298,-122.155095983862,-2.67863305378705,-6.1940586252238,1.16849621850837,-19.1786361631155
1676592890000,-2698894.34064897,-4293221.13769679,3855468.82839556,37.4308259329608,-122.155147623929,-2.59259327035397,-10.7645587515942,5.0979082263164,-19.0926043863236
1676592891000,-2698895.43732629,-4293217.51785985,3855473.99895601,37.4308765141694,-122.155179881139,-1.41997822280973,-13.6195383185396,10.7117046892281,-17.9200017670309
1676592892000,-2698897.3921102,-4293225.20598156,3855472.42450876,37.430823906689,-122.155152348988,3.61779485363513,-11.1827703982889,4.87302637366197,-12.88221680405
1676592893000,-2698895.89355687,-4293225.86005667,3855476.70317393,37.4308558550925,-122.155134081529,6.02478022314608,-9.56597183572829,8.4188465903407,-10.4752325124688
1676592894000,-2698891.07224957,-4293228.07501728,3855477.75281464,37.4308671479668,-122.155074644417,6.11423675343394,-4.30537076376602,9.67219148995229,-10.3857720518114
1676592895000,-2698887.40897557,-4293222.0702297,3855473.21669326,37.4308732102347,-122.15507571164,-2.22793509904295,-4.39982141556203,10.3450038742926,-18.7279450280484
1676592896000,-2698890.46703229,-4293228.39554544,3855478.84233053,37.430875221173,-122.155066927822,6.7361553395167,-3.6223981472595,10.5682037918033,-9.76385446899267
1676592897000,-2698895.72062271,-4293225.03825497,3855473.90360554,37.4308401388084,-122.155137369022,3.69762377254665,-9.85693648582808,6.67455950064456,-12.8023873373925
1676592898000,-2698890.2781109,-4293228.62571711,3855477.18886278,37.4308628743242,-122.155063736626,5.80606935918331,-3.33995508678715,9.19787678333083,-10.6939381662854
