utc,X,Y,Z,lat,lon,h,E,N,U
1676594611999,-2698884.79465023,-4293208.76686958,3855502.54892709,37.4311523772838,-122.155130700737,5.55189146474004,2.41616610875595,4.92525033587154,-10.9481108983668
1676594612999,-2698886.8127762,-4293214.02359614,3855505.99825734,37.4311468021834,-122.15511839507,12.0353174237534,3.50530324268451,4.3064979287368,-4.46468499452234
1676594613999,-2698887.58263921,-4293207.92954796,3855505.04654634,37.4311660034974,-122.155162404271,7.68531635403633,-0.389807281824903,6.4375688804247,-8.81468691463316
1676594614999,-2698886.69799562,-4293207.11517229,3855506.93502124,37.431185869395,-122.155158839273,7.91178820002824,-0.0742812162189388,8.64240321039605,-8.58821767234021
1676594615999,-2698883.90341761,-4293205.99273505,3855504.23498319,37.4311799003785,-122.155138857249,4.33504054881632,1.69425970526178,7.97992235216386,-12.1649646823694
1676594616999,-2698887.81849393,-4293207.31855139,3855503.40601619,37.4311564111949,-122.155168334422,6.37710639834404,-0.914665071208889,5.3729577365759,-10.1228959353369
1676594617999,-2698891.26145807,-4293214.28137766,3855504.66092583,37.4311230723631,-122.155159398765,13.2758918572217,-0.123800232598938,1.67282086856969,-3.22410836312003
1676594618999,-2698904.05979466,-4293227.25597096,3855506.76423335,37.4310406634327,-122.155203801313,28.685732700862,-4.05374120612885,-7.47343140542612,12.1857270243026
1676594619999,-2698906.81735474,-4293223.362034,3855508.61458032,37.4310639188256,-122.155253593796,28.3579803761095,-8.46072620210299,-4.89239924635176,11.8579728912148
1676594620999,-2698895.74726784,-4293215.11039619,3855501.46617885,37.431083296366,-122.155197322569,13.7872419022024,-3.48031631490231,-2.74175630288232,-2.71275963540397
1676594621999,-2698895.63832933,-4293218.43356615,3855501.23409411,37.4310665458268,-122.155176297455,15.8342404281721,-1.61945081708205,-4.6008333484642,-0.66576144000987
1676594622999,-2698900.07939553,-4293220.04952985,3855501.63784772,37.4310489983056,-122.155209061112,19.0429242234677,-4.5192634256584,-6.54836504243075,2.54291925495688
1676594623999,-2698897.35016688,-4293220.15531618,3855497.99086863,37.4310303690398,-122.155182318665,15.7439493201673,-2.15237031818136,-8.61595052942403,-0.756056878491343
1676594624999,-2698891.55725388,-4293213.20695857,3855494.55608312,37.4310548932694,-122.155168688952,6.53679919056594,-0.946044637165193,-5.89409574932198,-9.96320360947919
1676594625999,-2698920.03376009,-4293232.56188774,3855484.20730307,37.4308081143246,-122.155324693292,25.293594982475,-14.7535770137386,-33.2831519663997,8.79349084030495
1676594626999,-2698895.33394352,-4293211.56141086,3855505.53844696,37.4311300919133,-122.155214709902,13.7018038090318,-5.01921097038517,2.45189414075726,-2.7981986345062
1676594627999,-2698897.79040359,-4293208.47451734,3855502.68458688,37.4311168254317,-122.155256769427,10.9301104415208,-8.74176199691709,0.979503327713407,-5.56989561550376
1676594628999,-2698898.28418134,-4293209.35149515,3855497.67852921,37.4310755027578,-122.155256219138,8.68565056007355,-8.69305942833758,-3.60673083872619,-7.81435637788461
NaN,-2698896.47910936,-4293205.73367096,3855499.3257131,37.4311093228916,-122.155260707737,6.49176434334368,-9.09032364906938,0.146827203400612,-10.0082421268539
NaN,-2698900.66929894,-4293200.91385238,3855493.99732011,37.431081332815,-122.155329771835,1.78374393004924,-15.2029540620557,-2.95966422201405,-14.7162748539007
1676594631999,-2698904.29615901,-4293201.16922031,3855490.4159791,37.4310439538832,-122.155362928858,1.311463361606,-18.1375795594896,-7.10818734899212,-15.1885663671034
1676594632999,-2698906.76500113,-4293209.45424799,3855500.69188076,37.4310718678046,-122.155336724223,14.170468121767,-15.8183194225137,-4.01015235844025,-2.32955273260743
1676594633999,-2698905.07039661,-4293205.96637209,3855500.58196555,37.4310921917056,-122.155341488138,11.0426528807729,-16.2399462128209,-1.75448248001448,-5.45736800928072
1676594634999,-2698904.94110416,-4293209.87526722,3855503.40442155,37.4310946395512,-122.155316746111,15.3313865661621,-14.0501178261426,-1.48281102884313,-1.16862906258519
1676594635999,-2698900.4593122,-4293197.68022633,3855505.62731565,37.4311801478688,-122.155347207957,6.58989815879613,-16.7461577591835,8.00740972827017,-9.91012883858096
1676594636999,-2698907.85618343,-4293204.7705891,3855493.32029522,37.4310376602186,-122.155375326054,7.00240744650364,-19.2348333477253,-7.80669902986186,-9.49762631292962
1676594637999,-2698899.40045213,-4293198.14478195,3855508.3436399,37.4312005150228,-122.155334285942,8.10571255814284,-15.6024733457603,10.2678759917123,-8.39431479013098
1676594638999,-2698903.55744748,-4293205.93609852,3855516.26509467,37.4312089516561,-122.155327198123,19.9152168817818,-14.975180427169,11.2042428453984,3.41518945408447
1676594639999,-2698899.64233785,-4293202.95755955,3855500.50012305,37.4311213770644,-122.155307659064,6.676114927046,-13.2458293165624,1.48467546561095,-9.82389898219111
1676594640999,-2698905.088035,-4293202.61761955,3855497.2036173,37.431083494928,-122.155361793872,6.74542898312211,-18.0371315275673,-2.71969692214763,-9.75459707010698
1676594641999,-2698905.30423263,-4293208.17066874,3855503.62798315,37.4311030838885,-122.155330469827,14.4747703894973,-15.2647569142465,-0.545605539817327,-2.02524787783273
1676594642999,-2698899.38682727,-4293204.67155649,3855493.77291894,37.4310660430039,-122.155294908234,3.63157333340496,-12.1172986096403,-4.65662208405987,-12.8684398669718
