utc,X,Y,Z,lat,lon,h,E,N,U
1676592194999,-2698895.68120926,-4293242.06659755,3855477.95555287,37.4307902949634,-122.155034596835,17.591621235013,-0.76088209470115,1.14259726277807,1.09162108735213
1676592195999,-2698895.57644017,-4293232.4540247,3855477.38835782,37.430831109616,-122.15509139712,10.7402272270992,-5.78810905082047,5.67244983468618,-5.75977792573915
1676592196999,-2698896.45794846,-4293234.56246976,3855485.15254595,37.4308743163761,-122.1550871506,17.2493457626551,-5.41226428511883,10.4678024138036,0.74933485360647
1676592197999,-2698895.01938241,-4293232.58761138,3855480.06854503,37.4308512901978,-122.155085265323,12.2236363468692,-5.24540129961764,7.91221179137382,-4.27637072941644
1676592198999,-2698894.52846791,-4293235.71767128,3855488.1095134,37.4308957407256,-122.155061747768,19.0077811041847,-3.16393247734811,12.8456084368351,2.50776734653644
1676592199999,-2698892.03267566,-4293230.35118963,3855483.91602332,37.4308978923027,-122.155070144202,11.7963888989761,-3.90707222358491,13.0843889999422,-4.70362575602551
1676592200999,-2698890.14437877,-4293231.76283536,3855469.46719357,37.4307934717719,-122.155043593227,3.16532817389816,-1.55712431426992,1.49517538110464,-13.3346721901473
1676592201999,-2698893.40324195,-4293231.85190357,3855467.82188277,37.4307717885361,-122.155074230174,3.60245555173606,-4.26871116527631,-0.911354765129609,-12.8975459394823
1676592202999,-2698892.09416549,-4293228.74321182,3855468.13258761,37.430792240108,-122.155080401514,1.14813351165503,-4.81491512920979,1.3584790017324,-15.3518684484247
1676592203999,-2698901.57085998,-4293237.88883114,3855490.66900092,37.4308834612994,-122.155116055731,24.9993598554283,-7.97058325172274,11.4827772416071,8.49934451422808
1676592204999,-2698890.98728224,-4293229.85684,3855482.53913649,37.4308933798043,-122.155063117163,10.1853614095598,-3.28512921942947,12.5835616589475,-6.31465188571298
1676592205999,-2698892.76836936,-4293231.33213155,3855480.77052346,37.4308686944549,-122.15507128283,10.8549331147224,-4.0078497825213,9.84383697467769,-5.64507576157019
1676592206999,-2698892.06294588,-4293232.23124074,3855479.02187489,37.430854070561,-122.155059128587,10.0984255857766,-2.9321137654879,8.22078916707311,-6.40158040058663
1676592207999,-2698894.14162863,-4293236.95957225,3855476.46407351,37.4308077889963,-122.15505057966,12.6010635895655,-2.1754755437817,3.08418854418707,-3.89893752811022
