utc,X,Y,Z,lat,lon,h,E,N,U
1676592206254,-2699001.22937852,-4293372.07457152,3855623.34176982,37.4309201104423,-122.155262440169,237.967164436355,-20.9273521043458,15.5508685491157,221.46711113421
1676592206999,-2698711.41049935,-4293021.52555707,3855226.59724357,37.4305514352465,-122.154598099139,-361.327711618505,37.8701961139009,-25.3658989429295,-377.827874507664
1676592207999,-2698815.75524811,-4293142.35798891,3855368.46473496,37.4307021408197,-122.154869633474,-149.768217116594,13.8392226828397,-8.64104317380414,-166.268237983653
1676592208999,-2698639.17597841,-4292938.31374342,3855133.96976074,37.4304850237092,-122.154407489201,-504.096725338139,54.7384321595484,-32.7353843259421,-520.597044221129
1676592209999,-2698653.10573416,-4292952.83667437,3855145.51010846,37.4304596590972,-122.154453409998,-481.431919831783,50.6746217940675,-35.5504234771245,-497.932220284807
1676592210999,-2698583.68035541,-4292862.02452938,3855050.80145312,37.4304054053383,-122.154335372864,-629.388275723904,61.1196198725454,-41.5703231571646,-645.888704128817
1676592211999,-2699043.49361106,-4293409.58228006,3855684.96678908,37.4310639360918,-122.155441164668,318.500813077204,-36.7466753112963,31.5145154409127,302.000629272016
1676592212999,-2698887.34026559,-4293230.70741022,3855477.7078689,37.4308654988769,-122.15502311707,6.27940946631134,0.255159456234804,9.48916500116156,-10.2205976179365
1676592213999,-2699027.19901144,-4293389.00421512,3855660.53283109,37.4310320176222,-122.155409042987,282.928980646655,-33.9033760291622,27.9716745807914,266.428829137334
1676592214999,-2698789.3200179,-4293112.18217297,3855345.80424631,37.4307569639822,-122.154798218422,-195.000166444108,20.159655959208,-2.5565665689621,-211.500198780396
1676592215999,-2698748.91645733,-4293054.73446688,3855286.79899251,37.4307188971449,-122.154757179947,-286.560346390121,23.7914095344438,-6.78120562544601,-303.060394325698
1676592216999,-2698900.05209401,-4293237.64150144,3855492.6153527,37.4309029604338,-122.155103015315,25.3742187954485,-6.81641080687315,13.6469113048075,8.87420051494829
1676592217999,-2698904.89724912,-4293237.50825478,3855518.23317335,37.4310727470778,-122.155150162576,42.9029643088579,-10.9892887730349,32.4909763817001,26.4028718497988
1676592218999,-2698889.69974925,-4293224.88878257,3855474.73050741,37.4308642967235,-122.155080675366,1.55516573227942,-4.83914866263933,9.35573744250406,-14.9448429828466
1676592219999,-2698897.7730549,-4293228.89402705,3855487.62785132,37.430914474808,-122.155133815812,15.4988476904109,-9.5424607472787,14.924827193244,-1.00117695330084
1676592220999,-2698892.11980082,-4293232.11210042,3855495.45612478,37.4309720416215,-122.155060388848,20.0311666550115,-3.04365569449556,21.3139482469565,3.53113021066473
1676592221999,-2698895.46836312,-4293235.43509636,3855483.16596596,37.4308589411413,-122.155072437475,16.2103250287473,-4.11004800611583,8.76136387451354,-0.289682328091354
1676592222999,-2698890.33964768,-4293227.91358357,3855486.46828858,37.430932389564,-122.155068607474,10.9933947492391,-3.77105875457531,16.9130978354882,-5.50662885605963
1676592223999,-2698885.24431642,-4293229.48480386,3855485.74245874,37.4309347624933,-122.155010420119,9.45513430051506,1.37892780925581,17.1764547000212,-7.04488904521147
1676592224999,-2698892.58065701,-4293230.35728132,3855490.05936218,37.4309402215032,-122.155075349267,15.7660224242136,-4.36775729762028,17.7823465184391,-0.734003934025276
1676592225999,-2698880.49913699,-4293224.98452547,3855483.90101992,37.4309562827231,-122.154992091344,3.3050227034837,3.00114808322733,19.5648783127724,-13.1950080985149
1676592226999,-2698888.23390139,-4293229.32172706,3855481.30367755,37.4308950463131,-122.155039997536,7.91105552855879,-1.23887967492453,12.7685155354913,-8.58895741032831
1676592227999,-2698890.23600989,-4293227.48459709,3855477.23815131,37.4308686403578,-122.155070195723,5.0510787749663,-3.91162954556371,9.83782393100143,-11.4489300317536
1676592228999,-2698888.20316743,-4293227.74009661,3855481.19056391,37.4309016596346,-122.155049214249,6.76601283159107,-2.0546224989766,13.5024985295392,-9.73400183376459
1676592229999,-2698889.248086,-4293228.92520578,3855477.00500923,37.4308631724567,-122.155052083061,5.46035131439567,-2.30853304671928,9.23096442282753,-11.039655802933
1676592230999,-2698887.12483428,-4293229.72071331,3855480.58708743,37.4308913018633,-122.155026989592,7.27502388693392,-0.0875858286136655,12.3529331784433,-9.22498811048272
