utc,X,Y,Z,lat,lon,h,E,N,U
1676593952000,-2698873.6354961,-4293205.95760128,3855512.49062457,37.4312690581776,-122.155040850573,4.98982760403305,1.60634225456388,-2.76818870042241,-11.5101731987607
1676593953000,-2698870.88530089,-4293203.42619782,3855512.62347098,37.4312897611757,-122.15502976548,2.20647364109755,2.587443153206,-0.470448827388055,-14.2935268989128
1676593954000,-2698873.0283603,-4293201.70032326,3855512.79021474,37.4312927098526,-122.155060643113,2.05325339455158,-0.145426064475475,-0.143188004136575,-14.4467466080721
1676593955000,-2698884.54518123,-4293208.18713119,3855521.59516864,37.431292064586,-122.15513180056,16.6331846928224,-6.44333242038549,-0.214801428568684,0.133181440236362
1676593956000,-2698892.51617968,-4293211.11593068,3855523.65582695,37.4312699964472,-122.155190435433,23.2233600812033,-11.6329230394395,-2.66405375454835,6.72334893065073
1676593957000,-2698885.59318206,-4293205.12609448,3855524.43505731,37.4313235211195,-122.155160232035,16.7443360975012,-8.95970297037248,3.27643683570938,0.244328970775904
1676593958000,-2698878.01591684,-4293202.25936521,3855518.55593116,37.4313168335557,-122.155104990038,8.04139001015574,-4.07041663335253,2.53420335054347,-8.45861179076065
1676593959000,-2698875.14570008,-4293201.23667864,3855513.08052701,37.4312907653513,-122.155083684603,2.81284136511385,-2.18474636461124,-0.358999755384716,-13.6871590167622
1676593960000,-2698870.70007709,-4293199.65910726,3855514.58460336,37.431321798453,-122.155050646214,0.787653389386833,0.739363384417632,3.08523238898001,-15.7123474000299
1676593961000,-2698870.49909564,-4293198.31202109,3855514.84132009,37.4313304666859,-122.155056824105,-0.0468680048361421,0.192580528898207,4.04728222451125,-16.5468692942102
1676593962000,-2698872.00090945,-4293198.48822239,3855509.90193256,37.4312899320692,-122.155070130214,-2.29592255875468,-0.985094868163158,-0.451482102476238,-18.7959226489985
1676593963000,-2698877.03514052,-4293198.76267184,3855512.565651,37.4312930450237,-122.155116634961,1.63518994301558,-5.10106425154319,-0.105987221370124,-14.8648120930346
1676593964000,-2698870.75678963,-4293201.64789449,3855507.35101066,37.4312606572251,-122.1550392296,-2.24800550565124,1.749807130871,-3.7005711448542,-18.7480068198842
1676593965000,-2698869.72066064,-4293210.84475448,3855504.54588856,37.4312009663927,-122.15497401545,1.7919929921627,7.52168799155114,-10.325403471492,-14.70801981869
1676593966000,-2698867.40169923,-4293218.07498176,3855501.7452332,37.4311541646699,-122.154908356325,3.97043736279011,13.3329624545849,-15.5197268671567,-12.5295954917334
1676593967000,-2698865.9537348,-4293222.17040795,3855496.65965382,37.4311030103424,-122.15486987909,3.02072730753571,16.7384614247396,-21.1971220034933,-13.479329955824
1676593968000,-2698862.09088657,-4293223.07364124,3855492.21193462,37.4310782585718,-122.154827497576,-0.70791332051158,20.4895026999034,-23.9441944595379,-17.2079912678739
1676593969000,-2698864.76501757,-4293230.99393116,3855492.90737826,37.4310387185172,-122.154805450734,6.16959712002426,22.4408306956147,-28.3326017512826,-10.3305054250023
1676593970000,-2698861.57117762,-4293229.98297426,3855494.49627204,37.4310640827856,-122.154780979071,5.10591012239456,24.6067265553877,-25.517516592222,-11.3941884816025
1676593971000,-2698860.97625165,-4293225.59919293,3855493.4339438,37.431078541043,-122.154801648839,1.26165113877505,22.7772946378948,-23.9128456601836,-15.2384344400991
1676593972000,-2698858.99357942,-4293222.15035286,3855492.12226248,37.4310909251846,-122.154803422104,-2.69210840482265,22.6203311136485,-22.5383686884012,-19.1921884066102
1676593973000,-2698864.40313112,-4293242.30881413,3855496.54830754,37.4310133630207,-122.154733950628,15.8364462861791,28.7691285513628,-31.1467309051096,-0.663694793777973
1676593974000,-2698865.833749,-4293240.11033606,3855498.82466429,37.4310356733371,-122.154760855048,16.3466337770224,26.3878946376918,-28.6706079729267,-0.153485372055476
1676593975000,-2698860.81260411,-4293232.57250731,3855493.30012645,37.4310457293346,-122.154758151558,5.79919801279902,26.6271247018525,-27.5544863392257,-10.7009171960279
1676593976000,-2698859.3425372,-4293230.1358867,3855495.31141359,37.4310757016222,-122.154758741458,4.76229417137802,26.5748996730816,-24.227983042166,-11.7378072761544
1676593977000,-2698857.31623984,-4293225.15551403,3855493.89678475,37.4310945771757,-122.154769306801,-0.302097989246249,25.6397690372711,-22.1330495176045,-16.8021879776281
1676593978000,-2698865.58836504,-4293216.51883,3855495.02857891,37.4311186083001,-122.154900368318,-1.92451837006956,14.0399476624923,-19.4659601392868,-18.4245635960635
1676593979000,-2698872.42809618,-4293230.39204023,3855503.35415073,37.4310939191378,-122.154882371282,15.3531383546069,15.6328511823665,-22.2061617552046,-1.14691955135972
1676593980000,-2698869.88262659,-4293230.66143603,3855499.30226743,37.431071098645,-122.154856402648,11.9957210626453,17.931249207275,-24.7388994406968,-4.5043522306832
1676593981000,-2698862.50436114,-4293226.19655086,3855497.82973873,37.4311027687806,-122.15481267398,4.98084667418152,21.8015018059309,-21.2239267701384,-11.519225956207
1676593982000,-2698867.05744701,-4293236.39264041,3855502.58185003,37.4310762255189,-122.154794915524,16.6480880491436,23.3732949236509,-24.1698927004969,0.147999343910707
1676593983000,-2698865.31333823,-4293236.04379603,3855503.29384178,37.4310880204577,-122.154780329901,16.10922628548,24.6642170883388,-22.8608136141382,-0.390862434040164
