utc,X,Y,Z,lat,lon,h,E,N,U
1676594826000,-2698882.4315158,-4293201.88380874,3855500.61280175,37.4311773250629,-122.155149485837,-1.25095603242517,-0.042999730358563,8.47099193571419,-17.7509616747789
1676594827000,-2698884.26038402,-4293207.61377348,3855504.27240219,37.4311716118686,-122.155132524081,5.59843713138252,1.45822789403029,7.83691752348198,-10.9015678647676
1676594828000,-2698882.91077841,-4293206.30437674,3855498.37328265,37.431139409204,-122.155127488171,0.562252268195152,1.9039386476688,4.26287451103392,-15.9377494452695
1676594829000,-2698887.13702112,-4293216.11488771,3855500.16613012,37.4310944332183,-122.155108921174,10.0334754334763,3.54724762775524,-0.728819515395781,-6.46652559402126
1676594830000,-2698882.879942,-4293209.96754921,3855500.30516606,37.4311363373922,-122.155105165599,4.18611120060086,3.87963569828521,3.92195009623268,-12.3138911873362
1676594831000,-2698884.60172007,-4293212.29105717,3855501.60074147,37.431129815917,-122.155107663422,7.26328148692846,3.65856389218573,3.19816032374542,-9.23672036613086
1676594832000,-2698884.37343772,-4293209.65152991,3855503.30319411,37.4311548999625,-122.155121351938,6.4270663112402,2.44703741978942,5.98213362740016,-10.0729369722737
1676594833000,-2698888.17504979,-4293216.86436684,3855506.55310056,37.4311336304916,-122.155114343619,14.8580759046599,3.0673252065347,3.62152827001883,-1.64192586324815
1676594834000,-2698884.95773993,-4293218.3424497,3855509.67100698,37.4311584628044,-122.155074680411,16.3871431909502,6.57778800415154,6.37757090008851,-0.112863395692743
1676594835000,-2698893.05954046,-4293222.10072878,3855509.29426896,37.4311147286899,-122.15512957858,22.1087753819302,1.71893000011305,1.52369427859505,5.6087749681547
1676594836000,-2698891.54066717,-4293217.07941965,3855507.60546982,37.4311303533959,-122.155145244202,17.0646748244762,0.33241378808379,3.25781710921061,0.56467398072861
1676594837000,-2698886.80115456,-4293206.60569472,3855499.15350806,37.4311322555091,-122.155162889663,2.88320992980152,-1.22932729724679,3.46891746023024,-13.6167911354258
1676594838000,-2698886.54696174,-4293207.89732274,3855498.23388962,37.431120428157,-122.155152691282,3.08516696188599,-0.326702953840445,2.15624942372106,-13.4148334127213
1676594839000,-2698890.93770772,-4293209.6474497,3855501.7674615,37.4311247985183,-122.155184166948,8.26510265190154,-3.11251102204697,2.64130017048265,-8.23489865612474
1676594840000,-2698885.17623303,-4293206.20481109,3855495.04078715,37.4311094243981,-122.155149757098,-0.572766549885273,-0.0670081800627056,0.934987972306343,-17.0727666179989
1676594841000,-2698888.54985393,-4293209.24420404,3855497.00354175,37.4310995428289,-122.155163750783,4.08930227067322,-1.305542900743,-0.161725213410544,-12.4106978650202
1676594842000,-2698891.96494161,-4293210.33085257,3855496.15796099,37.4310785009582,-122.155189883456,5.74918004497886,-3.61846116432306,-2.49707425756702,-10.7508214702204
1676594843000,-2698896.97949556,-4293216.16558125,3855497.92925836,37.4310495065731,-122.155202764306,12.8676271429285,-4.75851026325372,-5.71504624272921,-3.63237719837297
1676594844000,-2698894.32529232,-4293203.93923483,3855489.62041418,37.4310544804106,-122.155250895883,-1.52379932906479,-9.01846439960032,-5.16300489957247,-18.0238077931149
1676594845000,-2698895.58450836,-4293208.96182453,3855488.83073591,37.4310218734928,-122.155232738681,1.90499153640121,-7.41143821914867,-8.78191318972227,-14.595018828845
1676594846000,-2698901.70307927,-4293214.45242238,3855488.26782401,37.4309745559769,-122.155258249245,7.8399300230667,-9.66931031486696,-14.0334949533593,-8.66009278261021
1676594847000,-2698893.63244714,-4293219.22156348,3855481.80142188,37.4309297011908,-122.155152371826,3.70497699733824,-0.298429814025658,-19.0117358017974,-12.7950514296814
1676594848000,-2698890.86816656,-4293219.60832189,3855483.96993814,37.4309514802698,-122.1551236045,4.11477185692638,2.24767601329115,-16.5945680422168,-12.3852501921303
1676594849000,-2698893.32595273,-4293216.67355699,3855487.35654792,37.4309821541323,-122.155164761862,5.23890094924718,-1.39503257135236,-13.1902071274856,-11.2611128827403
1676594850000,-2698895.29204367,-4293209.83813852,3855489.46626532,37.4310232100942,-122.155224671605,2.75679602473974,-6.69744834960756,-8.63357121526527,-13.7432133482554
1676594851000,-2698897.81871353,-4293214.3582975,3855485.00363269,37.430962959104,-122.155221659484,4.15103075187653,-6.43086183086161,-15.3205782635365,-12.3489909428458
1676594852000,-2698893.70191543,-4293212.20617396,3855479.65770879,37.4309466868635,-122.155195221645,-2.28493921738118,-4.09092887515529,-17.1265501798602,-18.7849635917262
1676594853000,-2698888.66693666,-4293206.5092667,3855484.15558724,37.4310199567801,-122.15518131664,-5.50892948359251,-2.86023747359833,-8.99463333903433,-22.0089364863563
1676594854000,-2698891.79186223,-4293206.97621683,3855487.19601668,37.4310304375947,-122.155208400188,-2.02634909562767,-5.25731357709023,-7.83141653086415,-18.52635608201
1676594855000,-2698895.99125008,-4293209.91219185,3855486.96109976,37.4310029047556,-122.155230914544,1.57942816615105,-7.2499913222784,-10.8871726974034,-14.9205852691866
