utc,X,Y,Z,lat,lon,h,E,N,U
1676593676999,-2698873.87154919,-4293201.23927033,3855512.94544715,37.431293500559,-122.155071481093,2.1939980564639,-2.69777279132777,1.94231364458423,-14.3060028098748
1676593677999,-2698874.91115885,-4293206.08608869,3855513.79728908,37.4312740933006,-122.155052280326,6.40953136794269,-0.998382340754968,-0.211616603955283,-10.0904687124299
1676593678999,-2698870.60425391,-4293205.5017883,3855513.17350256,37.4312848923606,-122.155014596062,3.81738873850554,2.33691919332713,0.986926164362074,-12.6826117650293
1676593679999,-2698871.4035221,-4293202.02096136,3855508.64416403,37.4312662948152,-122.155043172592,-0.937887255102396,-0.192288361196354,-1.07713697725962,-17.4378873483338
1676593680999,-2698869.68695934,-4293201.90337702,3855506.55367816,37.4312568860931,-122.155027459818,-3.01300810370594,1.19839281991178,-2.12137005802033,-19.5130085703593
1676593681999,-2698860.56591707,-4293206.11223654,3855512.86020081,37.4313090785236,-122.154914903169,-0.20504458528012,11.1603739850922,3.6712518625377,-16.7050553968345
1676593682999,-2698864.14942537,-4293209.00784585,3855512.14125687,37.431280064682,-122.154931769384,2.81909387093037,9.66761464593977,0.451127555937958,-13.6809134631996
1676593683999,-2698866.0171821,-4293208.72689988,3855511.68965224,37.4312726923008,-122.154951324879,3.14508017059416,7.93682832323308,-0.367103861330869,-13.3549247706473
1676593684999,-2698864.93975675,-4293215.33597547,3855514.78211711,37.4312673160509,-122.154901276807,9.01251972559839,12.3664186484346,-0.963786739327953,-7.48749232076208
1676593685999,-2698869.04343644,-4293211.40284206,3855516.55626935,37.4312862847861,-122.154964181529,9.18099269364029,6.79893683272418,1.14146904588533,-7.31901102772183
1676593686999,-2698870.31220316,-4293216.03999026,3855514.82936799,37.4312487313391,-122.154948433685,11.7850341973826,8.19273138854786,-3.02643416005263,-4.71497177758944
1676593687999,-2698870.03603732,-4293218.10829684,3855515.32581536,37.4312434986912,-122.154933354814,13.360548267141,9.52731426186783,-3.6071840304755,-3.13945986321069
1676593688999,-2698867.81874459,-4293220.59621167,3855514.6561315,37.4312336347647,-122.154897184867,13.6890147849917,12.728597198958,-4.70193750368291,-2.81099963888016
1676593689999,-2698866.26465848,-4293218.16553958,3855514.79962324,37.4312504606314,-122.154896935388,11.4853498209268,12.7506705171139,-2.83450116026235,-5.01466354082728
1676593690999,-2698868.74870226,-4293214.87841262,3855517.07978423,37.4312747752281,-122.154940462816,11.7111862013116,8.89820282012295,-0.135927723016438,-4.7888199988248
1676593691999,-2698869.80847691,-4293195.31667383,3855502.76149395,37.4312599383209,-122.155068229795,-9.69468209333718,-2.41000856204568,-1.78261431300317,-26.1946827975424
1676593692999,-2698866.20738471,-4293192.15691337,3855497.49139397,37.4312473775711,-122.155052783882,-16.5440357141197,-1.04294694435394,-3.17667319086929,-33.044036592995
1676593693999,-2698866.87641046,-4293208.5692966,3855497.89116446,37.43117219291,-122.154960491565,-4.98458673339337,7.12551772187867,-11.5210948128119,-21.4846011447616
1676593694999,-2698859.92973705,-4293228.82826568,3855496.77312676,37.4310905111674,-122.154772221314,5.01980313751847,23.7887170229638,-20.5865978628631,-11.4802744930479
