utc,X,Y,Z,lat,lon,h,E,N,U
1676594010999,-2698870.7978803,-4293206.68099496,3855510.86671421,37.4312623560515,-122.155009357335,3.28988823201507,2.80058103580181,-1.51428407186843,-13.2101125611274
1676594011999,-2698870.30408541,-4293199.47532711,3855507.78121658,37.4312751277123,-122.155047963459,-3.63841691799462,-0.616310518667267,-0.0968114219547687,-20.1384169477506
1676594012999,-2698873.13237536,-4293212.91925191,3855517.55913075,37.4312745115901,-122.154994175833,12.538059710525,4.14424768090326,-0.165191571016905,-3.96194163665296
1676594013999,-2698870.62716854,-4293207.19431222,3855511.07649725,37.4312619746124,-122.155004637681,3.69034285936505,3.21830115798119,-1.55661834068248,-12.8096581425817
1676594014999,-2698868.09706749,-4293199.26636701,3855512.00659969,37.4313127610713,-122.155028108675,-2.14339872356504,1.14096413337597,4.07995352124416,-18.6434001332003
1676594015999,-2698867.33380947,-4293203.39148197,3855510.49392031,37.4312850369007,-122.154996002318,-0.612158289179206,3.98258297277283,1.00296799165981,-17.1121596096418
1676594016999,-2698869.51535526,-4293195.80339437,3855510.21369279,37.4313118552081,-122.155062499145,-4.96183184441179,-1.90280996067276,3.97941402929121,-21.4618333730927
1676594017999,-2698865.71057369,-4293192.72386,3855504.66295364,37.431297508316,-122.155044622405,-12.0139108039439,-0.320605383384708,2.3871119333706,-28.5139112597804
1676594018999,-2698865.09323645,-4293196.86965695,3855503.4450576,37.4312713720379,-122.155013787441,-10.2279249671847,2.40848252676745,-0.513636633415418,-26.7279254409707
1676594019999,-2698864.70843643,-4293191.65605419,3855502.45344648,37.4312895713633,-122.155041457415,-14.4982579629868,-0.0404840978824126,1.50622439975261,-30.9982581403318
1676594020999,-2698865.57591793,-4293202.97562536,3855507.06567719,37.4312675601416,-122.154981687785,-3.71836872119457,5.24950943710127,-0.936701754693633,-20.2183709468562
1676594021999,-2698867.28514305,-4293208.75912456,3855505.98103422,37.43122800312,-122.154963259829,0.232859864830971,6.88050894196677,-5.32696671498879,-16.2671460721827
1676594022999,-2698861.77041988,-4293213.15166345,3855503.65089414,37.4312070390168,-122.154884095166,-0.561029450967908,13.8870969123322,-7.65367365842778,-17.0610491554343
1676594023999,-2698860.29523358,-4293208.6789824,3855499.32941874,37.4312011565136,-122.154896879476,-6.81799975130707,12.7555908688496,-8.30654121841676,-23.3180179145339
1676594024999,-2698869.70087592,-4293208.45567096,3855508.04073215,37.4312371058632,-122.15498819234,2.30169366579503,4.67382113236455,-4.31669489488675,-14.1983095096571
1676594025999,-2698872.09610187,-4293197.83726046,3855506.37415746,37.4312674321531,-122.155074955189,-4.83753536269069,-3.00525036344017,-0.950907588803069,-21.3375361408589
1676594026999,-2698866.7717039,-4293203.0643897,3855506.57884376,37.4312601801014,-122.154992592363,-3.44923301041126,4.28438529088695,-1.75578113655284,-19.949234689583
1676594027999,-2698872.38832524,-4293201.84066945,3855524.25817205,37.4313759756495,-122.1550536769,8.84745473880321,-1.1219871142761,11.0958873261561,-7.65255504091583
1676594028999,-2698869.3455814,-4293214.67935242,3855506.54463504,37.431198581448,-122.154947369274,5.42625784967095,8.28693608981545,-8.59235865444972,-11.0737533324569
1676594029999,-2698873.55666765,-4293224.51126457,3855509.06463981,37.4311587530065,-122.154928528982,15.3474339917302,9.95444676220749,-13.0127699957683,-1.15258708047403
1676594030999,-2698873.96365798,-4293198.63864541,3855501.98971486,37.4312269033885,-122.155088000415,-6.17441563215107,-4.15983721442725,-5.4490175460078,-22.6744193211959
1676594031999,-2698861.95633261,-4293190.29603046,3855506.65823251,37.4313339829976,-122.1550233102,-14.0199578609318,1.56565627266216,6.43527205130638,-30.519961308317
1676594032999,-2698870.65182695,-4293195.32259198,3855503.10445277,37.4312599066274,-122.155076261307,-9.12583247106522,-3.12084830799471,-1.78613175562485,-25.6258334843453
1676594033999,-2698877.21321997,-4293218.32092657,3855516.40562501,37.4312293198841,-122.155000729651,17.1930333208293,3.56419628186152,-5.18084056074976,0.693030216830634
1676594034999,-2698871.94231487,-4293212.01592588,3855505.08725705,37.4311929344399,-122.154988224202,3.84731321595609,4.67100497965326,-9.21909708985895,-12.6526951742592
1676594035999,-2698874.80921959,-4293211.35003335,3855508.14164134,37.4312095194065,-122.155019651808,6.46773993875831,1.88945570324081,-7.37840529282974,-10.0322646213436
1676594036999,-2698873.14726899,-4293212.58968886,3855510.27842997,37.4312239041407,-122.15499630004,7.89751977846026,3.95624112326537,-5.78190385210529,-8.60248407540739
1676594037999,-2698868.40281104,-4293200.2122803,3855503.20759684,37.4312445289507,-122.155025345253,-6.72638410143554,1.38554478280524,-3.49283396263745,-23.2263852111066
