utc,X,Y,Z,lat,lon,h,E,N,U
1676592086000,-2698893.66892588,-4293243.39798527,3855489.31616911,37.4308712705318,-122.155007342544,24.5412735473365,1.56281265658002,10.2407523945086,8.04126511168326
1676592087000,-2698889.64837133,-4293237.85974912,3855479.46733887,37.4308381994084,-122.155002186648,13.1326780663803,2.01914405702664,6.57030360065671,-3.3673256460738
1676592088000,-2698891.87713781,-4293240.22620686,3855478.78131942,37.4308158232832,-122.155009275825,15.2485715076327,1.39170233946468,4.08686902211108,-1.25142995594142
1676592089000,-2698892.9216035,-4293238.3900269,3855480.65471951,37.4308346961933,-122.155030307941,15.5942113893107,-0.469790800160959,6.1814980580258,-0.905791631834931
1676592090000,-2698890.29673417,-4293235.09492493,3855477.33132219,37.4308338455904,-122.155025014004,10.2496671406552,-0.00123947024032223,6.08708790798998,-6.25033577273276
1676592091000,-2698897.56069655,-4293245.13259978,3855484.58307287,37.4308180207453,-122.155034138472,24.4753849562258,-0.808821495770979,4.33076275471949,7.97538343156952
1676592092000,-2698891.49432066,-4293239.8091154,3855479.53844684,37.4308242899662,-122.15500812206,15.2665648385882,1.49381858905975,5.02655233297955,-1.23343732208077
1676592093000,-2698890.50179687,-4293240.2713482,3855479.2083704,37.4308226780442,-122.154995848618,14.9572318941355,2.58010612465849,4.8476515870732,-1.54277047356133
1676592094000,-2698892.25848479,-4293231.74803208,3855482.27212082,37.4308789959933,-122.155063904647,11.831723485142,-3.44333564663725,11.0981501050086,-4.66828712618433
1676592095000,-2698893.6854343,-4293233.12964248,3855477.57520232,37.4308348255843,-122.155069246147,10.508814740926,-3.91609759783091,6.1958546050842,-5.99118947834052
1676592096000,-2698893.52702681,-4293234.58866341,3855474.25569615,37.4308047721301,-122.155058957497,9.40513741970062,-3.00547977069837,2.86034354083351,-7.09486393110805
1676592097000,-2698893.17561802,-4293241.00994169,3855476.69706164,37.430793492496,-122.155016983619,15.0574134057388,0.709507443505532,1.6084641328538,-1.4425868359436
1676592098000,-2698893.22146571,-4293231.46534269,3855470.6192334,37.4307941252438,-122.155074815877,4.9659909484908,-4.40905672188106,1.6786887578892,-11.5340107933428
1676592099000,-2698891.2132825,-4293236.54603676,3855481.40857143,37.4308536184034,-122.155025055369,14.0907457480207,-0.00490058537293825,8.28159662845063,-2.40925964293826
1676592100000,-2698891.12804234,-4293233.76654944,3855480.22722061,37.4308583012261,-122.155040953657,11.4680893346667,-1.41201149027236,8.80132078932467,-5.03191691159689
1676592101000,-2698894.46779155,-4293231.69044359,3855477.16709769,37.4308362980626,-122.155085383974,9.62386087793857,-5.34440875623019,6.35927886180657,-6.87614453792243
1676592102000,-2698894.4307613,-4293225.38999135,3855477.29417669,37.4308665265226,-122.155122915827,5.44976474158466,-8.66623407860749,9.71420819642071,-11.0502485571019
1676592103000,-2698893.71290606,-4293228.44950042,3855481.94360135,37.4308876996703,-122.155097651671,10.0291747590527,-6.43018271930725,12.0641342467166,-6.47083992026229
1676592104000,-2698886.26814774,-4293232.04430699,3855490.63465493,37.4309549144331,-122.155004822706,14.5820378158242,1.78583177616615,19.5240376274688,-1.91799240519422
1676592105000,-2698886.06406209,-4293231.35828029,3855487.35844294,37.4309352491906,-122.155006995756,12.0432854862884,1.59350140927054,17.3414642333075,-4.45673835852113
1676592106000,-2698888.90902908,-4293238.8837468,3855494.20536965,37.4309410548574,-122.154988956991,22.4664667034522,3.19006321217661,17.9858415954724,5.966440471893
1676592107000,-2698888.47853237,-4293238.97397202,3855490.76133006,37.4309172497512,-122.154984296548,20.251883180812,3.60254547781034,15.3437998547469,3.75186365391359
1676592108000,-2698886.43098692,-4293236.98753951,3855476.75586558,37.4308322205177,-122.154976655646,9.53852445352823,4.27881738813003,5.9067281749996,-6.96147972287842
1676592109000,-2698889.53005492,-4293242.71222152,3855485.89325021,37.4308620227245,-122.154971876005,20.2506039962173,4.70185552250592,9.21436870155435,3.7505955907758
1676592110000,-2698887.12372149,-4293249.64825511,3855482.66439844,37.4308137762197,-122.154907150654,21.9341130396351,10.430523830231,3.85968408829855,5.43410335077697
1676592111000,-2698895.86613521,-4293228.9375609,3855483.97751184,37.4308937133134,-122.155115313478,12.503513536416,-7.99337903397054,12.7315702079469,-3.99650421052371
1676592112000,-2698891.09991425,-4293234.65488285,3855496.87516221,37.4309733778352,-122.155035342859,22.1721051381901,-0.91541633899491,21.5732422210506,5.6720684796389
1676592113000,-2698896.31639955,-4293229.96385682,3855490.34441949,37.4309331968578,-122.155113449109,17.2536005116999,-7.82837097487763,17.1137016761715,0.753572686336695
1676592114000,-2698891.64141165,-4293227.99554049,3855484.19681742,37.4309119634225,-122.15508056663,10.2180379079655,-4.91803523550133,14.7570682824262,-6.28198110788273
1676592115000,-2698890.7303253,-4293223.94151177,3855473.97685332,37.4308602926165,-122.155096229474,0.895803806371987,-6.30430158801541,9.02232437873638,-15.6042057049378
1676592116000,-2698893.89606138,-4293228.83358921,3855485.32967032,37.4309096118532,-122.155097094022,12.4228634247556,-6.38082744642999,14.4960832369358,-4.07715628480455
1676592117000,-2698890.49729304,-4293223.68418861,3855479.54882201,37.4309020314944,-122.155095547755,4.01098947320133,-6.24396431465603,13.6547517265564,-12.489028238615
