utc,X,Y,Z,lat,lon,h,E,N,U
1676592734128,-2698885.05831282,-4293224.57037428,3855461.72105722,37.4307862200962,-122.155038192469,-8.52765895891935,-1.16762423329242,0.801326683474928,-25.027659115681
1676592735128,-2698893.92437144,-4293231.33103315,3855480.54780067,37.4308637367035,-122.155082347127,11.2073763664812,-5.07562571621224,9.40458336742403,-5.29263260458703
1676592736128,-2698886.34186693,-4293222.79913563,3855465.21239285,37.4308156712529,-122.15506112115,-7.05393010843545,-3.19696977201308,4.06998201287334,-23.5539322107573
1676592736999,-2698896.87762678,-4293236.44477717,3855487.69324788,37.4308825443987,-122.155079846287,20.2364027313888,-4.85428940929158,11.491989113999,3.7363905045121
1676592737999,-2698895.61385241,-4293228.44545028,3855475.41297078,37.4308354522399,-122.155115859452,6.86049575731158,-8.04170070418479,6.26540390921569,-9.63951239190153
1676592738999,-2698894.1341821,-4293228.10403091,3855472.33373855,37.4308193163919,-122.155103758758,4.13405415229499,-6.97070270470955,4.47455016222926,-12.3659512267284
1676592739999,-2698898.72121315,-4293235.39537325,3855505.97740207,37.431012856368,-122.155103791309,31.4232469564304,-6.97359550630682,25.9548521884606,14.9231901818772
1676592740999,-2698893.14722679,-4293227.38325881,3855505.43289989,37.431062353853,-122.155098652243,23.3502093888819,-6.51873877686712,31.4483539574282,6.85012829911122
1676592741999,-2698892.10720665,-4293225.96840283,3855501.7338976,37.4310454792614,-122.155097211822,19.7112157680094,-6.39124924101556,29.5754910498368,3.21114379435734
1676592742999,-2698907.82240092,-4293233.89470633,3855512.84485634,37.4310424228411,-122.155199871995,38.4348307466134,-15.4774357020638,29.236368924067,21.9347447826103
1676592743999,-2698893.83645868,-4293229.84085806,3855482.43755826,37.4308844228801,-122.155090466959,11.3170053791255,-5.79428668114626,11.7004586054308,-5.18300801417546
1676592744999,-2698890.90821666,-4293223.94928153,3855475.81810359,37.4308729119909,-122.155097884368,2.09532712679356,-6.45077125151668,10.4228971913405,-14.4046846716202
1676592745999,-2698898.79546831,-4293232.98379461,3855484.52821135,37.430870355734,-122.155119002951,16.7964480416849,-8.31993156054421,10.1392141481916,0.296434538529984
1676592746999,-2698900.18333436,-4293237.44762681,3855527.15864587,37.4311506272628,-122.155105436497,46.2949645193294,-7.11920995149503,41.2456289132055,29.7948267900652
1676592747999,-2698893.48773577,-4293227.81243619,3855508.29079354,37.4310798192551,-122.155099328626,25.5196903320029,-6.57860418460475,33.3867830706813,9.01959929934564
1676592748999,-2698898.12704053,-4293231.08133014,3855502.55077289,37.4310100728157,-122.155124049088,26.1891608964652,-8.76654731750967,25.6458966379198,9.68910316581675
1676592749999,-2698902.01986973,-4293239.18858603,3855506.98286632,37.4309928491981,-122.155112534997,35.9785678144544,-7.74748217273088,23.734348399616,19.4785188234664
1676592750999,-2698895.90926168,-4293230.19104997,3855499.30955066,37.4309974741172,-122.155108188486,22.68332476262,-7.36276860225014,24.2476003084073,6.1832742899238
1676592751999,-2698902.37673687,-4293234.03945258,3855505.01809222,37.4310016248062,-122.155146911463,31.4735217140988,-10.7900398882796,24.7083071214777,14.9734645964315
1676592752999,-2698895.12613495,-4293232.30718801,3855486.76696708,37.4309002053581,-122.155087972708,16.1515553956851,-5.57353094508849,13.4521017260225,-0.348461263079662
1676592753999,-2698891.2660829,-4293241.26916381,3855470.6010816,37.4307542403289,-122.154997159296,10.7195193301886,2.46410234267692,-2.74797452156394,-5.78048173763086
1676592754999,-2698896.80772367,-4293241.02743394,3855483.99349251,37.4308350300799,-122.15505162115,21.0389774544165,-2.35616427203192,6.21856044982787,4.53897397975847
1676592755999,-2698901.5756926,-4293246.18032922,3855492.16352656,37.4308556978429,-122.155066243444,31.4840110931545,-3.65034803467255,8.51240933843248,14.9840043520946
1676592756999,-2698896.15331989,-4293244.09132567,3855481.69308954,37.4308062730507,-122.155026937684,21.4240231169388,-0.171499116734702,3.02692974438943,4.92402239468231
