utc,X,Y,Z,lat,lon,h,E,N,U
1676594080999,-2698873.24971131,-4293195.80741948,3855507.81020668,37.431283755698,-122.155098196067,-4.84177105780691,-5.0622148321476,0.860772786807068,-21.3417731223467
1676594081999,-2698872.11594714,-4293203.94827938,3855512.88068573,37.4312855940129,-122.155038397854,3.23389211390167,0.230306738629271,1.06479919252376,-13.2661079786397
1676594082999,-2698873.08104984,-4293204.91473504,3855511.45087051,37.4312680701165,-122.155041818024,3.4224374499172,-0.072400445600028,-0.880104484141902,-13.0775626112751
1676594083999,-2698871.07911872,-4293200.3329069,3855510.3606537,37.4312873480656,-122.155050220214,-1.16653240285814,-0.816047911888989,1.25947329964353,-17.6665325784421
1676594084999,-2698871.93231396,-4293203.69411495,3855511.2197579,37.4312754240206,-122.155038169661,1.97588782291859,0.250503227299387,-0.0639255142089334,-14.5241121820042
1676594085999,-2698867.10239108,-4293195.4384248,3855508.22387786,37.4313063435314,-122.155041612488,-7.43639051448554,-0.0542090677426508,3.3676954430787,-23.9363914059143
1676594086999,-2698865.84166203,-4293202.4594011,3855509.74230198,37.4312883298125,-122.154987333959,-2.32622934971005,4.7497867424297,1.36843425573955,-18.8262312626123
1676594087999,-2698868.63979085,-4293215.92566405,3855515.19787663,37.4312567724688,-122.154933123657,11.2253637388349,9.5477683193312,-2.13398012516712,-5.27464375641742
1676594088999,-2698868.62508516,-4293222.51621535,3855513.50143934,37.4312141210325,-122.154893352533,14.6187397325411,13.0677895944542,-6.86768868657613,-1.88127734668587
1676594089999,-2698870.30123217,-4293221.24674144,3855513.96217314,37.4312184179853,-122.15491701937,14.7537066806108,10.9731156233355,-6.39079025148558,-1.74630595857757
1676594090999,-2698867.56559665,-4293206.58921147,3855504.29131089,37.4312251566839,-122.154978990738,-2.13443333189934,5.48821977938998,-5.64287947449349,-18.6344381934373
1676594091999,-2698869.82085704,-4293207.81182209,3855509.58926256,37.4312508207796,-122.154993211645,2.86076399218291,4.22957961265157,-2.79453465036783,-13.6392380231972
1676594092999,-2698866.13090854,-4293213.51989819,3855500.63695541,37.431171058323,-122.154923591298,-0.30254146642983,10.3914380449477,-11.647022831213,-16.8025605863584
1676594093999,-2698864.87588948,-4293216.92221638,3855493.28758374,37.431106358085,-122.154891127458,-3.01262453850359,13.2647060177097,-18.8278141976834,-19.5126661865136
1676594094999,-2698865.43359361,-4293218.61890269,3855494.84147005,37.4311079838347,-122.154886259641,-0.691812978126109,13.6955445629032,-18.6473853612536,-17.1918550039921
1676594095999,-2698869.50719313,-4293228.93997406,3855502.53305254,37.431103289997,-122.154863162936,12.6434400174767,15.7397894803806,-19.1683709398248,-3.8566082694638
1676594096999,-2698858.7557506,-4293217.64025863,3855494.98293807,37.4311329967798,-122.154828267298,-4.08593792188913,18.8282339756879,-15.8712869680843,-20.5859854840493
1676594097999,-2698867.25449435,-4293223.84341608,3855498.40069971,37.4311039192492,-122.154872261378,5.75340721197426,14.9344992247195,-19.0985135744338,-10.7466389312457
1676594098999,-2698866.79241251,-4293227.72299764,3855498.18509506,37.431085736054,-122.154844512593,8.0352507410571,17.390463132736,-21.116593583933,-8.46480799849589
1676594099999,-2698862.81718964,-4293226.10620541,3855500.70801388,37.4311228694534,-122.154816209614,6.80175239406526,19.8954543017139,-16.9953016850309,-9.6983013083505
1676594100999,-2698859.79638204,-4293219.95555688,3855497.4766871,37.4311370713807,-122.154824299114,-0.573894323781133,19.1794536957722,-15.4190723834514,-17.0739418182385
1676594101999,-2698864.69433903,-4293224.95735802,3855501.6030656,37.4311291287785,-122.15484107379,7.36674046237022,17.6948083962843,-16.3006115159632,-9.13330494477967
1676594102999,-2698857.3927258,-4293219.81207994,3855499.67140332,37.4311604451581,-122.154802169599,-0.352215931750834,21.1380554448286,-12.8249123449949,-16.8522638475767
1676594103999,-2698862.21253772,-4293225.24448951,3855500.98117504,37.43113058148,-122.154815607474,6.13292806316167,19.9487436577171,-16.1393739619795,-10.3671235753389
1676594104999,-2698861.66229247,-4293217.25744838,3855495.72044232,37.4311315769217,-122.154858371862,-2.66667386423796,16.1637872775088,-16.0288800367708,-19.1667145213426
1676594105999,-2698863.42818597,-4293225.82426284,3855505.01587415,37.431153217824,-122.154823749494,9.48877562396228,19.2281248112115,-13.6270690333149,-7.01126792387578
1676594106999,-2698861.76762704,-4293219.21288486,3855497.35736119,37.4311339155513,-122.154847620976,-0.312621146440506,17.1153168553776,-15.7693295486557,-16.8126636349639
1676594107999,-2698863.01363913,-4293218.40560893,3855498.29189419,37.4311407132097,-122.154864394074,0.239266524091363,15.6307872203111,-15.0148906510146,-16.2607703323045
1676594108999,-2698858.26709639,-4293218.91333956,3855494.51642537,37.431125180641,-122.154815937745,-3.72013242542744,19.9194831316458,-16.7387647930491,-20.2201855222214
1676594109999,-2698859.68869928,-4293217.81128319,3855494.5552786,37.4311264248148,-122.154836163049,-3.83661393169314,18.1294106550805,-16.6006830966927,-20.3366613331863
