utc,X,Y,Z,lat,lon,h,E,N,U
1676593474000,-2698869.91272729,-4293197.66872645,3855512.48639872,37.4313183093093,-122.155055083479,-2.15849757567048,-1.24647717522443,4.69572863754121,-18.6584994298629
1676593475000,-2698867.77407111,-4293202.07744128,3855505.72081645,37.4312556954533,-122.15500811532,-4.21063477825373,2.9105042296535,-2.25351318787584,-20.7106358397759
1676593476000,-2698871.46665513,-4293205.91077861,3855515.08098188,37.4312941301749,-122.155020386024,5.61619691457599,1.82447040142351,2.01219291224035,-10.8838036640349
1676593477000,-2698870.09653277,-4293226.04436908,3855523.58733803,37.4312656369096,-122.154886212145,23.7428105501458,13.6997719678679,-1.15014833281819,7.24279575249956
1676593478000,-2698875.85913358,-4293218.21277487,3855509.39549347,37.4311836118184,-122.15498842747,12.2872434379533,4.65302113293246,-10.2537893858034,-4.21276652409397
1676593479000,-2698877.25904679,-4293210.12200318,3855515.62868164,37.4312616411044,-122.155050470115,11.2281970512122,-0.838167599936939,-1.59363546161272,-5.27180320330391
1676593480000,-2698873.46837897,-4293204.46986851,3855512.36372305,37.4312755350768,-122.155048198128,3.84189642220736,-0.637080923866336,-0.0515998470446561,-12.6581036096565
1676593481000,-2698867.64247404,-4293203.14610282,3855512.04648932,37.4312963832896,-122.155000430388,0.296992484480143,3.59067039220265,2.26225542375873,-16.2030089267188
1676593482000,-2698866.53729287,-4293202.70396113,3855511.39486507,37.4312969922033,-122.154992517443,-0.863385453820229,4.29101580280857,2.32983606981301,-17.3633873216371
1676593483000,-2698870.20451916,-4293207.57806839,3855514.75645108,37.4312877566069,-122.154998287195,6.00642467197031,3.78036047534539,1.3048178422088,-10.4935765799863
1676593484000,-2698871.10160193,-4293209.70542095,3855514.20232167,37.4312713139212,-122.15499407597,7.4789206655696,4.15308310789087,-0.520087515601689,-9.02108070550445
1676593485000,-2698870.58308306,-4293212.0095801,3855518.20003543,37.4312907450135,-122.154975260598,11.2386721260846,5.81836833711341,1.63649120278899,-5.2613307339776
1676593486000,-2698875.11016412,-4293214.40486597,3855516.04396594,37.4312510184173,-122.155004161049,13.4517303425819,3.2604916844634,-2.7726047332793,-3.04827109356495
1676593487000,-2698872.25362607,-4293217.70660769,3855510.22065087,37.4312023711696,-122.154956982646,10.9247340625152,7.43609530114006,-8.17176109809432,-5.57527551805571
1676593488000,-2698863.21035443,-4293218.47678204,3855503.92499445,37.4311801137364,-122.154865847781,3.79409279581159,15.5021250721018,-10.6420000459958,-12.70593492423
1676593489000,-2698862.50924479,-4293224.69068882,3855497.49304336,37.4311073273645,-122.154821775751,3.76589995902032,19.4028087319415,-18.7202459868946,-12.7341570722774
1676593490000,-2698863.19156793,-4293227.08140829,3855499.02322704,37.4311052024736,-122.154813926647,6.59155807550997,20.0975162996678,-18.9560854972559,-9.9085018016345
1676593491000,-2698863.71129471,-4293222.16741233,3855504.76733592,37.4311675691454,-122.154848446984,6.99892464466393,17.0422216702574,-12.0342746645838,-9.50110948213367
1676593492000,-2698864.25634865,-4293214.59682372,3855496.20907851,37.4311398481482,-122.154899184332,-3.06206821557134,12.5516139747911,-15.1108975029965,-19.5620985043716
1676593493000,-2698867.17097215,-4293225.73793075,3855498.06372868,37.4310929679472,-122.154860070329,6.78694441355765,16.0134937036385,-20.3139543231323,-9.71310810966027
1676593494000,-2698866.32667504,-4293226.31161486,3855495.02928567,37.4310710579748,-122.154848544508,4.97145099379122,17.0336065981296,-22.7456428853022,-11.5286124022684
1676593495000,-2698867.79603581,-4293238.14462205,3855503.51694586,37.4310726403593,-122.154791445509,18.7064145198092,22.0872993780963,-22.5700575292315,2.20633626959093
1676593496000,-2698860.20742092,-4293222.05713561,3855495.57192101,37.4311125012521,-122.154815593684,-0.145057918503881,19.9499493088875,-18.1460054581762,-16.6451149714371
1676593497000,-2698862.64625978,-4293216.10212457,3855494.87162734,37.4311279924784,-122.154874731256,-3.54344964679331,14.7158723505403,-16.42670237386,-20.0434878181678
1676593498000,-2698868.87758544,-4293230.61141086,3855500.84290967,37.4310852829072,-122.154847089729,12.4737526606768,17.1623812237393,-21.1669017169284,-4.02630562901103
1676593499000,-2698873.07900649,-4293234.77340658,3855504.79917503,37.431082047062,-122.154862251531,19.4520366117358,15.820476321433,-21.5260613746845,2.95198058178936
1676593500000,-2698869.84118069,-4293236.79805508,3855507.46111547,37.4311011426259,-122.154819105508,21.062750489451,19.6391978785783,-19.4067164152217,4.56269067840377
1676593501000,-2698863.18328919,-4293225.68908057,3855500.25358047,37.4311204849918,-122.154822219806,6.39983934164047,19.3635114920316,-17.2599433605558,-10.10021343869
1676593502000,-2698862.85959312,-4293219.09867495,3855495.14756091,37.4311154516597,-122.154858752984,-1.27104931790382,16.1300624141229,-17.8185573949675,-17.7710946530356
1676593503000,-2698868.35846231,-4293225.54124623,3855502.46874234,37.4311219358952,-122.154872611991,9.83397177793086,14.9034735386696,-17.0989320088019,-6.66606860084916
1676593504000,-2698866.84747599,-4293224.628739,3855501.09287156,37.4311207264878,-122.154863645723,7.74567313864827,15.6970438353746,-17.2331520748495,-8.75436950394615
