utc,X,Y,Z,lat,lon,h,E,N,U
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676592853000,-2698899.4052687,-4293245.02983795,3855476.10929887,37.430752492487,-122.155052400537,20.0354773169383,-2.42514799333289,-2.94196468304278,3.53547617711205
1676592854000,-2698895.16676251,-4293238.5673935,3855478.75586304,37.4308137440819,-122.155050717359,15.5081772031263,-2.276170934378,3.85610713518646,-0.991824370031094
1676592855000,-2698892.56456477,-4293227.1867898,3855472.95475021,37.4308325871509,-122.155094260223,3.23150375206023,-6.13001372846346,5.94741454318789,-13.2685019694479
1676592856000,-2698894.31929819,-4293225.13029925,3855475.80581199,37.4308574063949,-122.155123411221,4.32343780715019,-8.71007938868605,8.70200176412788,-12.1765740864111
1676592857000,-2698892.90741977,-4293228.33330997,3855475.7377623,37.4308461842071,-122.155090645501,5.83871239237487,-5.81008694752636,7.45649740452051,-10.6612946218265
1676592858000,-2698890.54354206,-4293227.8296786,3855474.40223272,37.4308458535028,-122.155071062359,3.68935994338244,-4.07684022023309,7.41979037945797,-12.8106456850691
