utc,X,Y,Z,lat,lon,h,E,N,U
1676592874000,-2698891.31046537,-4293244.577952,3855483.70396691,37.4308325193462,-122.154977687437,20.9266913169995,4.18750404054651,5.93990451419315,4.42668717023544
1676592875000,-2698893.96185657,-4293240.03175958,3855476.73150656,37.4307959825913,-122.155030386354,14.7530156448483,-0.4767310502043,1.88482973477594,-1.74698465251566
1676592876000,-2698891.52728226,-4293220.18684612,3855471.26444389,37.4308559709648,-122.155126430447,-2.94019199069589,-8.97729194664433,8.54267991193331,-19.4402040382023
1676592877000,-2698893.65135858,-4293230.42728308,3855481.11243551,37.4308727624359,-122.155085170085,10.8276063390076,-5.3254764966998,10.4063122162578,-5.67240439608996
1676592878000,-2698891.20863926,-4293225.30908525,3855474.52943064,37.4308565115273,-122.155092581233,2.3532051127404,-5.98140868108226,8.60267908393543,-14.1468035078244
1676592879000,-2698893.25968104,-4293230.78818452,3855478.47329758,37.430853348116,-122.155079253328,9.30062435846776,-4.80180186987618,8.2515936839715,-7.19938279938435
1676592880000,-2698892.58721396,-4293234.40610268,3855483.99230205,37.4308780216709,-122.155051065534,14.8031601076946,-2.30698468352168,10.9900187579513,-1.69684980483111
1676592881000,-2698888.91626981,-4293226.69745424,3855467.48998501,37.4308063896205,-122.155062305056,-1.96082489565015,-3.3017565790317,3.03985683765146,-18.4608264746681
1676592882000,-2698891.39850878,-4293226.76475512,3855471.1491168,37.4308250234139,-122.155085644144,1.35750436875969,-5.36742954181327,5.10794517997961,-15.1424999376557
1676592883000,-2698888.3618686,-4293228.45338861,3855468.54726728,37.4308074290086,-122.155046443116,-0.372022854164243,-1.89786517415342,3.15521440707198,-16.8720239185001
1676592884000,-2698893.87973483,-4293229.50241202,3855476.55518935,37.4308437784522,-122.155092916068,7.53243795223534,-6.01104975599148,7.18949474789261,-8.96756894083572
1676592885000,-2698894.58567618,-4293226.4650961,3855470.73846981,37.4308141852614,-122.155117932803,2.25342918653041,-8.22520322432204,3.90506749405908,-14.2465773087716
1676592886000,-2698891.73053714,-4293223.98326406,3855478.03342124,37.4308862079603,-122.155105545905,3.81218367349356,-7.12887106131655,11.8985643899517,-12.687831435615
1676592887000,-2698900.83424283,-4293222.7493432,3855472.05275925,37.4308226042689,-122.155200046919,3.19501975458115,-15.4928775415874,4.8394685988061,-13.3050008795125
1676592888000,-2698907.87862392,-4293240.22866166,3855488.33201985,37.4308375076202,-122.155162322291,27.817774024792,-12.1540284325229,6.4935484263549,11.3177591449206
1676592889000,-2698891.70593857,-4293225.53430057,3855465.65580546,37.4307905283298,-122.155095983862,-2.67863305378705,-6.28256558272631,1.27948196817423,-19.1786362717799
1676592890000,-2698894.34064897,-4293221.13769679,3855468.82839556,37.4308259329608,-122.155147623929,-2.59259327035397,-10.853065667779,5.20889402556188,-19.0926046251151
1676592891000,-2698895.43732629,-4293217.51785985,3855473.99895601,37.4308765141694,-122.155179881139,-1.41997822280973,-13.7080451938787,10.8226905387093,-17.9200021452998
1676592892000,-2698897.3921102,-4293225.20598156,3855472.42450876,37.430823906689,-122.155152348988,3.61779485363513,-11.2712774033568,4.98401228544827,-12.8822170461143
1676592893000,-2698895.89355687,-4293225.86005667,3855476.70317393,37.4308558550925,-122.155134081529,6.02478022314608,-9.6544788381715,8.52983252684968,-10.4752327942037
1676592894000,-2698891.07224957,-4293228.07501728,3855477.75281464,37.4308671479668,-122.155074644417,6.11423675343394,-4.39387775333178,9.78317737214998,-10.3857722831683
1676592895000,-2698887.40897557,-4293222.0702297,3855473.21669326,37.4308732102347,-122.15507571164,-2.22793509904295,-4.48832828327753,10.4559896121867,-18.7279452714972
1676592896000,-2698890.46703229,-4293228.39554544,3855478.84233053,37.430875221173,-122.155066927822,6.7361553395167,-3.71090513752479,10.6791896783664,-9.76385470591865
1676592897000,-2698895.72062271,-4293225.03825497,3855473.90360554,37.4308401388084,-122.155137369022,3.69762377254665,-9.9454434730905,6.7855454011779,-12.8023875909665
1676592898000,-2698890.2781109,-4293228.62571711,3855477.18886278,37.4308628743242,-122.155063736626,5.80606935918331,-3.42846207635519,9.30886264952944,-10.6939383737147
