utc,X,Y,Z,lat,lon,h,E,N,U
NaN,-2698890.46927723,-4293224.63082821,3855475.00271262,37.4308651974109,-122.155089587405,1.87241534236819,-5.71643296759597,9.56668770868962,-14.627594411379
NaN,-2698892.90094131,-4293231.49617129,3855471.14183494,37.430798655655,-122.155071564535,5.16889396030456,-4.12128982875487,2.18150008279631,-11.3311077430025
NaN,-2698891.74304361,-4293219.86665453,3855470.42689017,37.4308508340517,-122.155130419697,-3.57333339564502,-9.3303676927015,7.97255569893661,-20.0733452088303
NaN,-2698894.40881204,-4293220.68844752,3855482.61911151,37.4309264877784,-122.155150977386,5.51624211482704,-11.1498690859594,16.3690611053039,-10.9837886863581
NaN,-2698897.6604101,-4293227.65874435,3855477.89713941,37.4308509086389,-122.155140166356,8.70641762018204,-10.1930335982848,7.98085022652989,-7.79359552232168
NaN,-2698888.90675708,-4293221.7526631,3855464.39965946,37.4308072324338,-122.155091948242,-7.16745474003255,-5.92537959277775,3.13339594535451,-23.6674582597374
NaN,-2698892.92346901,-4293218.22221712,3855464.71618009,37.4308141584256,-122.155151599433,-7.65097186714411,-11.2049181754097,3.90208649628341,-24.1509828934284
NaN,-2698895.00301169,-4293228.57717814,3855473.6135068,37.4308237469592,-122.15510922437,5.5971782496199,-7.45444898218759,4.96628180387998,-10.9028280392571
NaN,-2698893.17828332,-4293227.01614477,3855475.91128546,37.4308527431598,-122.155101156854,5.17314616777003,-6.74041403315574,8.18444810382376,-11.3268626556197
NaN,-2698891.79432147,-4293229.67730663,3855466.35861203,37.4307760906596,-122.155071916443,0.571161956526339,-4.15243447474527,-0.322894274509443,-15.9288394009569
NaN,-2698899.01817075,-4293226.14117651,3855474.07273334,37.430826624239,-122.155162279448,5.93551921285689,-12.1501966018717,5.28562489952068,-10.5644945415208
NaN,-2698894.96168585,-4293225.91378173,3855485.84976265,37.430923764495,-122.155124844692,11.2264013672248,-8.83695329010638,16.0668268862953,-5.27362504259311
NaN,-2698894.34261323,-4293218.07518094,3855480.52599537,37.4309238209137,-122.155166058383,2.45920817926526,-12.4846359533588,16.0730710668253,-14.0408243373107
NaN,-2698889.29400259,-4293224.18811508,3855471.18296666,37.4308433457276,-122.155081007483,-1.24356691818684,-4.95704949401754,7.14145788203982,-17.7435728518403
NaN,-2698902.25903186,-4293222.80972977,3855464.15283207,37.4307616486607,-122.15521331255,-0.963828575797379,-16.6669814350766,-1.92573417526691,-17.4638506160183
NaN,-2698906.63386485,-4293231.34563707,3855484.71122546,37.4308564143731,-122.155203831284,19.1190774692222,-15.8278527168492,8.59193187471801,2.61905205209331
NaN,-2698906.87689567,-4293242.33211405,3855490.28895496,37.4308446764334,-122.155140091824,29.9979652743787,-10.1864717288365,7.28918777507107,13.4979529726647
NaN,-2698898.63771512,-4293225.14960343,3855469.24425584,37.4307977833486,-122.155164602783,2.17334895860404,-12.3558255775191,2.08469358627307,-14.3266633355169
1676592427000,-2698899.26292915,-4293229.65743018,3855480.83250784,37.4308579733652,-122.155143476612,12.5114895943552,-10.4860198193761,8.76494075266304,-3.9885250548602
1676592428000,-2698899.35198523,-4293226.07379454,3855469.91328971,37.4307962034724,-122.155165877719,3.50317557249218,-12.4686691623499,1.9093503698519,-12.9968368860385
1676592429000,-2698897.30331323,-4293227.95097554,3855478.52762423,37.4308551055693,-122.155134993308,9.13517268467695,-9.73518248014295,8.4466502884413,-7.36484034417102
1676592430000,-2698897.33922928,-4293232.74403233,3855480.30440813,37.4308454910849,-122.155106515115,13.4525759853423,-7.21466763531592,7.37958058768134,-3.04743237097728
1676592431000,-2698898.93990178,-4293236.86329263,3855482.99304536,37.4308409640945,-122.155097056243,18.5325290029868,-6.37749560828587,6.87715298784741,2.03252210076247
1676592432000,-2698895.63716307,-4293230.13577303,3855485.33165556,37.4308985139939,-122.155105918131,14.0353354709223,-7.16182592349999,13.2643807475429,-2.46468237822485
1676592433000,-2698895.64763019,-4293231.42899734,3855482.28489249,37.4308706884974,-122.155098241804,13.0573364542797,-6.48241815785416,10.176138614493,-3.44267497655093
1676592434000,-2698894.48076509,-4293227.72812427,3855477.74442734,37.4308587617783,-122.155109334398,7.31644751224667,-7.46418572722313,8.85243304551918,-9.18356301071715
1676592435000,-2698897.30745968,-4293228.0607583,3855483.02517463,37.4308867637736,-122.155134372821,11.9443582333624,-9.68026522415213,11.9602696329425,-4.55566035055246
