utc,X,Y,Z,lat,lon,h,E,N,U
1676595148999,-2698887.55562224,-4293209.28211615,3855502.07922905,37.4311385805498,-122.155154012492,6.77964419312775,-0.443639018384206,4.17090958234868,-9.72035718967168
1676595149999,-2698888.46647022,-4293209.75362,3855502.549934,37.4311371074851,-122.155159889925,7.76766973361373,-0.963831253548479,4.00742089308206,-8.73233160255355
1676595150999,-2698891.79843834,-4293211.53659412,3855506.25415505,37.4311456324523,-122.155181040332,12.625946264714,-2.83578564200424,4.95357606086477,-3.87405629480927
1676595151999,-2698886.18969727,-4293208.71086883,3855501.95621492,37.4311443301183,-122.155144381804,5.74356647115201,0.408741117454105,4.80902959209122,-10.7564353610976
1676595152999,-2698889.09490572,-4293208.32136851,3855509.90076933,37.4311945102255,-122.155174513724,11.5382831264287,-2.25813494427232,10.3783207454842,-4.96172574116553
1676595153999,-2698900.7002195,-4293218.23529045,3855509.64972768,37.4311129238701,-122.15522590906,22.9552968461066,-6.8069848941203,1.32338710122682,6.455293081054
1676595154999,-2698895.19814491,-4293222.75212762,3855504.82502321,37.431073498697,-122.155146118312,20.7340825684369,0.255049393191344,-3.05226238736664,4.23408182960765
1676595155999,-2698891.12582724,-4293218.77816837,3855501.19066271,37.4310777896405,-122.155131061063,14.132424486801,1.58771880530108,-2.57602448134457,-2.36757623352533
1676595156999,-2698897.68191634,-4293219.20077744,3855505.44872354,37.4310871873416,-122.155191231882,19.7753687109798,-3.73781371279197,-1.53301203375779,3.27536743230516
1676595157999,-2698893.81137095,-4293222.33501972,3855503.67916151,37.4310712760703,-122.155135361343,19.171124374494,1.20711560896916,-3.29894217113164,2.67112340354976
1676595158999,-2698895.84136874,-4293226.19491461,3855500.20154949,37.4310225817212,-122.155131568746,20.5102669373155,1.54278808854577,-8.70333852410333,4.01026079411666
1676595159999,-2698888.32627602,-4293223.42739944,3855500.22107635,37.4310574563739,-122.155076325079,15.4855391168967,6.43223151704095,-4.83273080875801,-1.01446595932036
1676595160999,-2698896.64790495,-4293220.68123258,3855503.04570653,37.4310661439838,-122.155172438738,18.8730822727084,-2.07449075449003,-3.86853194373666,2.37308075861362
1676595161999,-2698883.91059584,-4293210.04681994,3855499.99499362,37.4311307466504,-122.155114547644,4.48645540140569,3.04926277773804,3.30145688519879,-12.0135461841086
1676595162999,-2698889.50898431,-4293215.01347574,3855502.41502789,37.4311087168811,-122.155138233218,11.6623586360365,0.952933220771386,0.856465382299012,-4.83764149353324
1676595163999,-2698896.17853012,-4293221.40596972,3855504.26752669,37.4310728937716,-122.155163590927,19.904570360668,-1.29139826391343,-3.11940019989399,3.40456946547035
1676595164999,-2698890.81921986,-4293212.23259899,3855499.17391818,37.4310946017183,-122.155167488376,8.37659682892263,-1.63634610483424,-0.710118798330697,-8.12340342074332
1676595165999,-2698898.29893106,-4293210.81412021,3855497.81639715,37.4310696648804,-122.155247565066,9.75897427927703,-8.72367856702305,-3.47775218013484,-6.74103263003145
1676595166999,-2698902.66583033,-4293203.41082278,3855492.55863508,37.4310536431265,-122.155333854594,3.43174729030579,-16.3608757671858,-5.25592439822758,-13.0682758397372
1676595167999,-2698894.95237823,-4293188.59915524,3855489.86336043,37.431125513764,-122.155349138683,-11.423928773962,-17.713562371319,2.72069214844613,-27.9239539240033
1676595168999,-2698898.37783899,-4293199.24846213,3855487.26198734,37.4310475427942,-122.155317867403,-4.39807056076825,-14.9458846703534,-5.93296999288359,-20.8980908191048
1676595169999,-2698896.29191718,-4293209.14215141,3855488.07549629,37.4310135719647,-122.155238421029,1.8661508820951,-7.91436519087542,-9.70326416898217,-14.6338614250934
1676595170999,-2698901.00389813,-4293208.26859522,3855489.19076217,37.4310118679393,-122.155288746279,3.94814082141966,-12.3684941678711,-9.89238456889887,-12.5518788513834
1676595171999,-2698904.81943121,-4293222.04285854,3855479.42004086,37.4308669763001,-122.155242415306,8.88216255884618,-8.26791093037335,-25.9733250430274,-7.6178958377802
1676595172999,-2698907.62359855,-4293224.78703636,3855480.99995899,37.430857384246,-122.155252736975,12.8724149623886,-9.18145808742254,-27.0379237180668,-3.62764911881503
1676595173999,-2698908.66830236,-4293225.00102964,3855477.47204321,37.430828105475,-122.155261443228,11.3135180817917,-9.95202465922059,-30.287447893886,-5.18656180191029
1676595174999,-2698918.39659216,-4293240.51874458,3855480.29982833,37.4307480379156,-122.155261186653,27.5759635306895,-9.9293517799944,-39.1739207252041,11.0758351479795
