utc,X,Y,Z,lat,lon,h,E,N,U
1676594688000,-2698883.91682917,-4293206.6971082,3855497.56147518,37.4311288477178,-122.155134749956,0.758034782484174,1.26122304460319,3.0907000202348,-15.7419660934358
1676594689000,-2698884.76525248,-4293209.74573259,3855504.53566845,37.4311621393384,-122.155124533377,7.40509396791458,2.1654590599561,6.78560290043106,-9.09491002063639
1676594690000,-2698887.43781058,-4293213.09485363,3855504.66787299,37.4311397678071,-122.155129958593,10.8664782354608,1.68529268926517,4.30268127486669,-5.63352344265857
1676594691000,-2698895.55424257,-4293216.25563711,3855507.92051527,37.4311247287748,-122.155188589564,18.3985782247037,-3.50394781100127,2.63356397764537,1.89857671807147
1676594692000,-2698903.10268416,-4293217.83226961,3855514.92849039,37.4311455586453,-122.155251313197,26.908163677901,-9.05542881506229,4.94540006048309,10.4081553342212
1676594693000,-2698890.5111459,-4293209.09704954,3855503.33105899,37.4311397809351,-122.155183396378,8.66517110727727,-3.04431001092592,4.30413719612127,-7.83483107463675
1676594694000,-2698895.3018309,-4293207.94690312,3855503.91862176,37.4311353542617,-122.155236137733,10.2737316694111,-7.71227573518139,3.81284287643045,-6.22627413157437
1676594695000,-2698894.30773244,-4293206.15127912,3855503.55004036,37.431143939807,-122.155237426281,8.42241498827934,-7.82631772330535,4.76571623332953,-8.07759159448306
1676594696000,-2698898.26331023,-4293213.57523333,3855511.10986553,37.4311520794458,-122.155230621029,19.6800241498277,-7.22401934500372,5.66911075841699,3.18001753593142
1676594697000,-2698893.74167154,-4293217.91262147,3855503.56826652,37.4310911897739,-122.155161287603,16.1011736113578,-1.08753717297182,-1.08879788221784,-0.398826574542081
1676594698000,-2698890.45451905,-4293210.13145723,3855498.25286575,37.4310988164578,-122.155176634549,6.25008813291788,-2.44584319487826,-0.24234192013805,-10.2499123413022
1676594699000,-2698892.60670061,-4293210.12795841,3855496.95817128,37.4310832965324,-122.155197242247,6.37037393264472,-4.269763832768,-1.96483331852992,-10.1296277990127
1676594700000,-2698895.95109302,-4293217.28160804,3855501.6051242,37.4310736298226,-122.155186216201,15.4174975464121,-3.29388959353466,-3.03770608829609,-1.08250402948772
1676594701000,-2698885.89005165,-4293200.63661638,3855497.53847327,37.4311510308609,-122.155190068197,-2.49636299069971,-3.63480378444703,5.55271072991479,-18.9963664490818
1676594702000,-2698897.54031547,-4293204.45970637,3855494.49985042,37.4310776082274,-122.155278519385,3.15060325991362,-11.4633331914486,-2.59614658409899,-13.3494075597578
1676594703000,-2698904.19410806,-4293205.28030654,3855493.83975772,37.4310496872973,-122.15533723154,6.11312563531101,-16.6597661446993,-5.69496706379285,-10.3868986464756
1676594704000,-2698900.88757955,-4293205.14357184,3855496.46683723,37.4310787549296,-122.155306425276,6.22053581662476,-13.9331979853656,-2.46887635914444,-10.27947986258
1676594705000,-2698899.46005524,-4293200.42247891,3855494.76537505,37.431092630848,-122.155321159615,1.40917627606541,-15.2372719751761,-0.928842809775094,-15.0908419713771
1676594706000,-2698903.1901032,-4293203.92585342,3855503.89981821,37.4311308713979,-122.155335772482,10.8928111521527,-16.5306240761813,3.31532125160371,-5.6072111081222
1676594707000,-2698898.38477408,-4293199.43891721,3855495.7952885,37.4311076939647,-122.155316788479,0.919496519491076,-14.8503931752771,0.742947952549319,-15.5805207912856
1676594708000,-2698902.11622713,-4293196.72569207,3855502.04888796,37.4311541411172,-122.155368797038,4.47344268299639,-19.4534944301063,5.89793304150294,-12.0265896827387
1676594709000,-2698900.33324948,-4293195.71808715,3855503.85647734,37.4311769425351,-122.155357801036,4.14118819590658,-18.4802688002769,8.42856442220196,-12.3588441303119
1676594710000,-2698902.8450048,-4293203.20460606,3855503.37723667,37.4311314822502,-122.155336808522,9.94445595983416,-16.6223180467463,3.38311693146124,-6.55556657397098
1676594711000,-2698904.69591554,-4293200.78331229,3855504.63577772,37.4311463182058,-122.155369073294,9.86386447679251,-19.4779634107605,5.02970514303043,-6.63616721748122
1676594712000,-2698904.16581293,-4293198.79717076,3855499.0044112,37.43111678037,-122.155375945873,4.88180374912918,-20.086224977613,1.75142155876366,-11.6182280823373
