utc,X,Y,Z,lat,lon,h,E,N,U
1676594611999,-2698884.79465023,-4293208.76686958,3855502.54892709,37.4311523772838,-122.155130700737,5.55189146474004,1.61960631225591,5.70215099451831,-10.9481112984679
1676594612999,-2698886.8127762,-4293214.02359614,3855505.99825734,37.4311468021834,-122.15511839507,12.0353174237534,2.70874257760323,5.08339927600441,-4.46468518292474
1676594613999,-2698887.58263921,-4293207.92954796,3855505.04654634,37.4311660034974,-122.155162404271,7.68531635403633,-1.18636719990747,7.21447006811009,-8.81468784892338
1676594614999,-2698886.69799562,-4293207.11517229,3855506.93502124,37.431185869395,-122.155158839273,7.91178820002824,-0.870840950378726,9.41930439512957,-8.58821883575869
1676594615999,-2698883.90341761,-4293205.99273505,3855504.23498319,37.4311799003785,-122.155138857249,4.33504054881632,0.897700350376003,8.75682293236094,-12.164965543421
1676594616999,-2698887.81849393,-4293207.31855139,3855503.40601619,37.4311564111949,-122.155168334422,6.37710639834404,-1.71122492844007,6.14985881455636,-10.1228968053472
1676594617999,-2698891.26145807,-4293214.28137766,3855504.66092583,37.4311230723631,-122.155159398765,13.2758918572217,-0.92036130257905,2.44972271363372,-3.2241086809576
1676594618999,-2698904.05979466,-4293227.25597096,3855506.76423335,37.4310406634327,-122.155203801313,28.685732700862,-4.85030507200671,-6.69652730163294,12.185727332195
1676594619999,-2698906.81735474,-4293223.362034,3855508.61458032,37.4310639188256,-122.155253593796,28.3579803761095,-9.25728977970489,-4.11549476319508,11.8579723345214
1676594620999,-2698895.74726784,-4293215.11039619,3855501.46617885,37.431083296366,-122.155197322569,13.7872419022024,-4.2768778705295,-1.96485407530251,-2.71275983367032
1676594621999,-2698895.63832933,-4293218.43356615,3855501.23409411,37.4310665458268,-122.155176297455,15.8342404281721,-2.41601280533324,-3.82393104820858,-0.665761179863542
1676594622999,-2698900.07939553,-4293220.04952985,3855501.63784772,37.4310489983056,-122.155209061112,19.0429242234677,-5.31582599912593,-5.77146207337184,2.54291939201264
1676594623999,-2698897.35016688,-4293220.15531618,3855497.99086863,37.4310303690398,-122.155182318665,15.7439493201673,-2.94893267834756,-7.83904818962282,-0.756056193018726
1676594624999,-2698891.55725388,-4293213.20695857,3855494.55608312,37.4310548932694,-122.155168688952,6.53679919056594,-1.74260558912668,-5.11719464799814,-9.9632031065268
1676594625999,-2698920.03376009,-4293232.56188774,3855484.20730307,37.4308081143246,-122.155324693292,25.293594982475,-15.5501429186565,-32.5062472555367,8.79349296628038
1676594626999,-2698895.33394352,-4293211.56141086,3855505.53844696,37.4311300919133,-122.155214709902,13.7018038090318,-5.81577201907238,3.22879650534438,-2.79819965985759
1676594627999,-2698897.79040359,-4293208.47451734,3855502.68458688,37.4311168254317,-122.155256769427,10.9301104415208,-9.53832284139556,1.75640570925959,-5.56989692475806
1676594628999,-2698898.28418134,-4293209.35149515,3855497.67852921,37.4310755027578,-122.155256219138,8.68565056007355,-9.48962042933673,-2.82982873565325,-7.81435712064767
NaN,-2698896.47910936,-4293205.73367096,3855499.3257131,37.4311093228916,-122.155260707737,6.49176434334368,-9.88688401922698,0.923729076078839,-10.0082433772982
NaN,-2698900.66929894,-4293200.91385238,3855493.99732011,37.431081332815,-122.155329771835,1.78374393004924,-15.9995141391699,-2.1827623400662,-14.7162764872086
1676594631999,-2698904.29615901,-4293201.16922031,3855490.4159791,37.4310439538832,-122.155362928858,1.311463361606,-18.9341399744879,-6.33128524530615,-15.1885678599647
1676594632999,-2698906.76500113,-4293209.45424799,3855500.69188076,37.4310718678046,-122.155336724223,14.170468121767,-16.614881147857,-3.2332489056598,-2.32955431427242
1676594633999,-2698905.07039661,-4293205.96637209,3855500.58196555,37.4310921917056,-122.155341488138,11.0426528807729,-17.0365073309782,-0.977579369117504,-5.45736992015063
1676594634999,-2698904.94110416,-4293209.87526722,3855503.40442155,37.4310946395512,-122.155316746111,15.3313865661621,-14.8466794540933,-0.705907602811131,-1.16863073147593
1676594635999,-2698900.4593122,-4293197.68022633,3855505.62731565,37.4311801478688,-122.155347207957,6.58989815879613,-17.5427173921727,8.78431234480958,-9.91013200411504
1676594636999,-2698907.85618343,-4293204.7705891,3855493.32029522,37.4310376602186,-122.155375326054,7.00240744650364,-20.0313945420198,-7.0297961260971,-9.49762785641212
1676594637999,-2698899.40045213,-4293198.14478195,3855508.3436399,37.4312005150228,-122.155334285942,8.10571255814284,-16.3990329509599,11.0447786827521,-8.39431808963388
1676594638999,-2698903.55744748,-4293205.93609852,3855516.26509467,37.4312089516561,-122.155327198123,19.9152168817818,-15.7717414158426,11.9811469200839,3.41518611790192
1676594639999,-2698899.64233785,-4293202.95755955,3855500.50012305,37.4311213770644,-122.155307659064,6.676114927046,-14.0423895828679,2.26157775706308,-9.82390091439956
1676594640999,-2698905.088035,-4293202.61761955,3855497.2036173,37.431083494928,-122.155361793872,6.74542898312211,-18.833692203447,-1.94279416513526,-9.75459908541354
1676594641999,-2698905.30423263,-4293208.17066874,3855503.62798315,37.4311030838885,-122.155330469827,14.4747703894973,-16.0613183452266,0.231297897984385,-2.02524981377386
1676594642999,-2698899.38682727,-4293204.67155649,3855493.77291894,37.4310660430039,-122.155294908234,3.63157333340496,-12.9138590816552,-3.87972027264836,-12.8684409075331
