utc,X,Y,Z,lat,lon,h,E,N,U
1676594984000,-2698887.49605393,-4293209.90245111,3855501.65767571,37.4311328619025,-122.155149712456,6.91528469882905,-0.063057121779206,3.53622066649455,-9.58471628457912
1676594985000,-2698886.23575425,-4293210.31631597,3855502.60536011,37.4311413968865,-122.155135168391,7.2368963258341,1.22418979591093,4.48348352676958,-9.26310537273451
1676594986000,-2698890.90717814,-4293217.29038664,3855504.93682224,37.4311121279719,-122.155137915979,15.316753571853,0.98101148997844,1.23504922488211,-1.18324662405533
1676594987000,-2698891.6051889,-4293219.77206473,3855506.53622999,37.431110030945,-122.155129669843,18.2522631296888,1.71085168237852,1.0023091612409,1.75226281983223
1676594988000,-2698886.06465075,-4293215.79057697,3855498.44162618,37.4310867238887,-122.155100613588,8.31407465785742,4.28252452477259,-1.58444574434768,-8.18592697573719
1676594989000,-2698879.76492134,-4293206.02223111,3855494.21568373,37.4311201394454,-122.155099093064,-3.48395708762109,4.41709106330915,2.12420550897304,-19.9839589700713
1676594990000,-2698881.78716607,-4293206.75776502,3855494.7575284,37.4311147119063,-122.155114013908,-1.80548941809684,3.09649959723398,1.52182620413942,-18.3054903520652
NaN,-2698883.45757075,-4293203.89942928,3855505.84584815,37.431202430756,-122.155147180104,3.71842634305358,0.16107273969925,11.2573741372442,-12.7815836237157
NaN,-2698888.7579184,-4293206.02692886,3855503.90162718,37.4311632076121,-122.155185087353,6.20703356526792,-3.19397034638691,6.90416521631294,-10.2929709816327
NaN,-2698886.80865786,-4293203.33096685,3855510.50943758,37.4312286662982,-122.155182653257,7.58707490377128,-2.97853475885369,14.1691560933475,-8.91294157681372
NaN,-2698882.25989619,-4293204.01172087,3855494.11765226,37.4311214876618,-122.1551350485,-3.84073550533503,1.23479917679988,2.27383701828633,-20.3407360309804
NaN,-2698890.70620675,-4293207.73444814,3855506.37395896,37.4311673013832,-122.155193455915,9.68105746433139,-3.93464564468518,7.35852021350768,-6.8189480054605
NaN,-2698885.46888808,-4293214.29584057,3855500.69567526,37.4311115178541,-122.155103903046,8.42743656039238,3.99138397665404,1.16733431563901,-8.0725647940528
NaN,-2698889.63938167,-4293214.37026756,3855505.51684592,37.4311335119451,-122.155143348305,13.1703589614481,0.500213285652493,3.60836976964304,-3.32964208377209
NaN,-2698891.35420707,-4293210.39193239,3855517.53928659,37.4312329773198,-122.155183674196,18.5278672641143,-3.06889965536303,14.6476438317073,2.02784965520927
NaN,-2698888.85292296,-4293206.624434,3855497.60389699,37.4311151012552,-122.155182403159,2.82106754090637,-2.95640172534057,1.56503945247788,-13.6789333362348
NaN,-2698887.90483652,-4293201.88687679,3855496.08500171,37.4311289624044,-122.155201822464,-1.68777476809919,-4.67513515086526,3.10342861889284,-18.1877772373925
NaN,-2698898.65224051,-4293208.32241856,3855491.54455727,37.4310353136561,-122.155265927916,4.42110695783049,-10.3489116891591,-7.29024605560734,-12.0789056077724
NaN,-2698895.90946027,-4293198.97168632,3855491.1348519,37.43108373024,-122.155295920501,-3.27338729612529,-13.0034343430803,-1.91668595831501,-19.7734008245886
NaN,-2698898.97370135,-4293205.614677,3855502.35850433,37.4311243028386,-122.155285285241,9.30939443130046,-12.0621608618581,2.58629528908366,-7.19061748703638
NaN,-2698900.59282298,-4293188.52229097,3855492.01965377,37.4311248580928,-122.155403554523,-7.78119712509215,-22.5297277574063,2.64793525712017,-24.2812374188603
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,-2698987.96227175,-4293231.80194312,3855549.0104775,37.4310773032656,-122.155979022185,92.8789811143652,-73.4635559161341,-2.62971457443264,76.3785580224934
NaN,-2698891.32886108,-4293192.08251981,3855507.0384166,37.4312428094507,-122.155293531396,-0.174386901780963,-12.7919619783178,15.7388363092322,-16.6744191919462
NaN,-2698893.95162361,-4293192.70117202,3855479.59371015,37.4310359341499,-122.155314899287,-15.3311351565644,-14.6831638755618,-7.22135111815244,-31.8311561386061
NaN,-2698903.42513596,-4293202.7214901,3855507.93097713,37.4311646124776,-122.155345262864,12.6326435571536,-17.3705838410939,7.06011000942104,-3.86738398680581
NaN,-2698907.17083632,-4293202.18606392,3855507.80757484,37.4311552945886,-122.1553843119,13.7807101178914,-20.8266925383829,6.0259641495957,-2.71932669779348
NaN,-2698896.72308215,-4293202.18113822,3855492.68735976,37.4310775864526,-122.155284403831,0.171742108650506,-11.9841404701204,-2.59856133116843,-16.3282696676286
NaN,-2698900.70073742,-4293196.23253644,3855497.35780623,37.4311269893603,-122.155358222696,0.692408625967801,-18.5175908204449,2.88446923905302,-15.8076188768936
NaN,-2698896.59608938,-4293195.09763146,3855498.25440562,37.4311506298948,-122.155325784275,-1.26033004466444,-15.64656657244,5.50822417802008,-17.7603515983563
