utc,X,Y,Z,lat,lon,h,E,N,U
NaN,-2698882.20627302,-4293198.94042676,3855494.11350744,37.4311451269391,-122.155165030637,-7.27524610329419,-1.41881518180178,4.89745550500766,-23.7752481468719
NaN,-2698884.36587322,-4293204.28396185,3855495.73177624,37.4311256360694,-122.155153556178,-1.78660344704986,-0.403251735977985,2.73425162225635,-18.2866040475733
NaN,-2698880.62001351,-4293207.79488954,3855496.91697232,37.4311287556566,-122.155096613002,-0.288989917375147,4.63659457616345,3.08048322709901,-16.7889923473175
NaN,-2698881.89483402,-4293212.31783659,3855507.65565777,37.4311809031812,-122.155081609675,9.81752037443221,5.96449318009364,8.86812953464139,-6.68248859377785
NaN,-2698885.0123318,-4293210.36219907,3855502.39426798,37.4311432396569,-122.155123189842,6.62239354103804,2.28437114550008,4.68800476751113,-9.87760859503938
NaN,-2698888.53192187,-4293206.50528299,3855497.53972155,37.4311161301261,-122.155180049113,2.56629595067352,-2.74805278834092,1.6792293650566,-13.9337048635353
NaN,-2698893.25474757,-4293207.08796103,3855487.08687507,37.43102487483,-122.155221721448,-1.39931210782379,-6.43633519906661,-8.44880388848494,-17.8993209634312
NaN,-2698895.65589959,-4293207.43024155,3855484.85285062,37.4310003052872,-122.155242631396,-1.51227134186774,-8.28700822397035,-11.1756702856884,-18.0122865388041
NaN,-2698894.09246798,-4293212.11148976,3855478.80308124,37.4309398728039,-122.155199526828,-2.70298335235566,-4.47196681573339,-17.882811960832,-19.2030100629882
NaN,-2698892.23699805,-4293205.38925438,3855479.56814723,37.4309819217096,-122.155222200966,-7.54137012455612,-6.47877321360228,-13.215973791876,-24.0413871448442
NaN,-2698895.5962185,-4293203.60692268,3855479.12342732,37.4309772124823,-122.155265051192,-7.59021092299372,-10.2713043498449,-13.7386263223972,-24.0902340237007
1676595054999,-2698900.58280755,-4293220.20890139,3855487.20646898,37.4309435380785,-122.155212918137,10.5913490643725,-5.65719994479931,-17.4760547531747,-5.90867745628048
1676595055999,-2698908.35534809,-4293223.35018198,3855491.00379601,37.4309334891026,-122.155268376647,18.2960740178823,-10.5656782051603,-18.5913673428443,1.79603809972386
1676595056999,-2698907.47579328,-4293225.02272351,3855479.4227871,37.4308454378869,-122.155249905908,12.0097862360999,-8.93088872326546,-28.3637982726888,-4.49028326574647
1676595057999,-2698895.52657137,-4293221.54207645,3855483.51082982,37.4309256522836,-122.155156536196,7.10450345370919,-0.667005574737719,-19.4611173869806,-9.39552636019231
1676595058999,-2698898.25499428,-4293219.27366911,3855489.18968817,37.4309688484983,-122.155196275322,10.1842301357538,-4.18419330504839,-14.6669544132232,-6.31578815114226
1676595059999,-2698899.44266383,-4293218.77331385,3855486.75792968,37.4309503078818,-122.155210644691,8.87175375316292,-5.45598220593708,-16.7246974983935,-7.62827057226887
1676595060999,-2698901.91065798,-4293219.12857252,3855490.86634798,37.4309708625451,-122.155232115923,12.6507393727079,-7.35633729604724,-14.4434269880688,-3.84928126745118
1676595061999,-2698901.67381678,-4293218.55896012,3855494.53440975,37.431000438159,-122.155233275654,14.3971727732569,-7.45898068905149,-11.1609521230462,-2.10284137815415
1676595062999,-2698898.38273045,-4293210.55309466,3855486.15186685,37.4309871730452,-122.155249936264,2.52913657855242,-8.93354535520576,-12.6331688702228,-13.9708822185153
1676595063999,-2698892.58364073,-4293208.31042734,3855482.30930472,37.4309869802291,-122.155207950967,-3.76493201497942,-5.21755607164578,-12.6545593364077,-20.2649467387873
