utc,X,Y,Z,lat,lon,h,E,N,U
1676594780000,-2698873.58252514,-4293203.4524185,3855502.84296767,37.4312118004089,-122.155055408186,-2.58067422825843,8.28348024763069,12.297264551026,-19.0806914914804
1676594781000,-2698879.89871947,-4293203.42428574,3855503.84260204,37.4312006736242,-122.155115995041,0.677358343265951,2.92115406413708,11.0623526661611,-15.8226519483327
1676594782000,-2698881.09748039,-4293208.36539723,3855501.93470212,37.4311606199092,-122.155097749606,3.34615326672792,4.53599833360925,6.61696445627859,-13.1538517867684
1676594783000,-2698862.52419622,-4293193.87231787,3855509.84535672,37.4313385499163,-122.155007236946,-9.43853758648038,12.5469116011319,26.3646239448412,-25.9386045678416
1676594784000,-2698878.79550248,-4293214.63459207,3855507.85643942,37.4311806317019,-122.155038031788,10.187222102657,9.82142742028517,8.83800332160257,-6.31279159146908
1676594785000,-2698877.66528006,-4293214.45385094,3855509.05389928,37.4311933314783,-122.155028307479,10.3158835778013,10.6820921638384,10.2475009322039,-6.1841336140259
1676594786000,-2698878.30731219,-4293214.87811424,3855521.80238961,37.4312807061165,-122.155031897644,18.6210885923356,10.3643400625104,19.944881365292,2.12104890285555
1676594787000,-2698881.59864027,-4293219.09659424,3855521.80299439,37.4312515588007,-122.155038014118,22.848436855711,9.82300157202361,16.7099458601979,6.34840734681078
NaN,-2698885.94836372,-4293225.62081637,3855517.72569131,37.4311794597391,-122.155040389687,26.5946049159393,9.61276252173905,8.70795417300461,10.0945917178046
1676594789000,-2698887.26576925,-4293218.40793435,3855514.06144668,37.4311828449007,-122.155096364061,20.0751345502213,4.65863903471806,9.08364686371415,3.5751263625679
1676594790000,-2698877.33931557,-4293204.71601493,3855503.56083233,37.4312001283482,-122.155083745514,0.292840004898608,5.77544709419651,11.0018356181804,-16.2071721239224
1676594791000,-2698879.84805785,-4293204.7992013,3855506.58765398,37.4312140869585,-122.155107242706,3.24874093104154,3.695793613956,12.5510470589543,-13.2512725254754
1676594792000,-2698879.08018377,-4293202.0884199,3855501.58302676,37.4311930861293,-122.155116198243,-1.94003666192293,2.9031684862373,10.2202446197675,-18.4400455361417
1676594793000,-2698885.28761061,-4293210.53459844,3855504.35539461,37.4311556695199,-122.155124786339,8.04662087652832,2.14307065425162,6.06754507152457,-8.4533823776906
1676594794000,-2698883.73728462,-4293205.40973837,3855498.25154269,37.431140277123,-122.155140773817,0.236110450699925,0.728071389216727,4.35920075143772,-16.2638910866017
1676594795000,-2698891.15283815,-4293204.61374482,3855497.34657212,37.4311158790861,-122.155216493798,2.28491601161659,-5.97364938024163,1.65136911081366,-14.2150869972472
1676594796000,-2698894.89166018,-4293206.68106232,3855493.42810018,37.4310673608208,-122.155239826099,2.87317271064967,-8.03871892711937,-3.73346698338149,-13.6268334454497
1676594797000,-2698893.10972797,-4293212.9243847,3855486.44250842,37.4309936271817,-122.155185238301,2.07146379444748,-3.2073354270579,-11.9168547866016,-14.4285481769056
1676594798000,-2698892.14956431,-4293214.89361604,3855483.71815446,37.4309678032353,-122.155164212382,1.33367592375726,-1.34639930896933,-14.782944240591,-15.1663414016642
NaN,-2698897.20167999,-4293219.03732023,3855478.69164008,37.430897902413,-122.155187621108,3.19941857457161,-3.41823497110999,-22.5409461279518,-13.3006222912434
1676594800000,-2698893.9691361,-4293219.94597575,3855482.31996047,37.4309290712762,-122.155151236345,4.64944902062416,-0.197931914755915,-19.0816502098811,-11.8505796109498
1676594801000,-2698898.3884323,-4293213.32732255,3855489.57916927,37.4309988158264,-122.155233308633,6.47973869368434,-7.46189046828575,-11.34099418883,-10.020275779319
1676594802000,-2698895.24831266,-4293216.05394546,3855487.6004572,37.4309811690604,-122.155186876024,5.78303230460733,-3.35228753607186,-13.2995367262206,-10.7169824818904
1676594803000,-2698894.42894279,-4293216.02495467,3855488.40992169,37.4309894832229,-122.155179212694,5.90925393532962,-2.67403007547137,-12.3767829246568,-10.5907586695747
1676594804000,-2698898.21995053,-4293214.68004467,3855484.46886104,37.430956471692,-122.155223562753,4.2118709217757,-6.59931484490626,-16.0405889495436,-12.2881527204252
1676594805000,-2698899.88099259,-4293225.56129919,3855493.26084555,37.4309640859049,-122.155174019671,17.5729412660003,-2.21441683856802,-15.1955536112437,1.0729227267302
