utc,X,Y,Z,lat,lon,h,E,N,U
1676593538000,-2698873.24069811,-4293202.1645726,3855511.61127897,37.431281503434,-122.155059882583,1.73852849751711,-1.67123021868544,0.610803044727263,-14.7614717504067
1676593539000,-2698873.01026116,-4293201.14821204,3855515.32314116,37.4313134450498,-122.155063789975,3.21396897081286,-2.01705916141658,4.15586902592593,-13.2860327060589
1676593540000,-2698869.03973034,-4293202.91793869,3855516.05259141,37.4313220315774,-122.155015167905,3.16905923467129,2.28630605309318,5.10885169025751,-13.3309432256622
1676593541000,-2698863.36732039,-4293194.61819763,3855507.24979033,37.4313140634499,-122.155010816723,-10.1583885345608,2.67140819245788,4.22449394922234,-26.6583904967382
1676593542000,-2698870.29328271,-4293200.48403619,3855524.52463712,37.431390278406,-122.155041794492,7.21197291929275,-0.070317631610008,12.6832882729943,-9.28803972990654
1676593543000,-2698879.85005307,-4293211.77333353,3855533.92773417,37.4313773589654,-122.155065324548,24.5557111036032,-2.15288411376112,11.2494438771697,8.05570079123801
1676593544000,-2698873.54022066,-4293206.99497647,3855526.45302713,37.4313644244159,-122.155033701213,14.1334552364424,0.645990163539897,9.81387139084084,-2.36655236917479
1676593545000,-2698876.87981124,-4293207.77256894,3855527.66149599,37.4313597318041,-122.155060970272,16.802112467587,-1.76749997275777,9.29306128016898,0.302105432998405
1676593546000,-2698873.26034222,-4293203.08302247,3855517.65616624,37.4313204378827,-122.155054547611,6.03842647839338,-1.1990509864844,4.93197620372317,-10.4615755462678
1676593547000,-2698871.78181898,-4293201.45637621,3855517.07970762,37.431328164638,-122.155050186201,3.96963506471366,-0.813037733933522,5.78953477381849,-12.5303676220593
1676593548000,-2698872.85052065,-4293206.3750772,3855521.67300867,37.4313351086956,-122.155030831482,10.5198840191588,0.899979904516891,6.56023341394407,-5.9801194287653
1676593549000,-2698867.39196464,-4293215.13347846,3855522.16014444,37.431313895993,-122.154925951137,14.3971704561263,10.1825809955049,4.2059306795073,-2.1028390519956
1676593550000,-2698870.04389426,-4293222.27553295,3855525.05278608,37.4312937492373,-122.154908371451,22.0775629291311,11.7385160471512,1.96992738878804,5.57755183599195
1676593551000,-2698865.28580707,-4293217.08447659,3855501.10811604,37.4311603656328,-122.15489407283,2.02307681273669,13.0040221110237,-12.8337599475981,-14.476949378338
1676593552000,-2698864.48257877,-4293201.57372861,3855498.49578736,37.431215930526,-122.154979659361,-10.3317586313933,5.4290360030189,-6.66684255112717,-26.8317644338233
1676593553000,-2698871.57501981,-4293206.25688804,3855508.37278533,37.4312442137066,-122.155019341346,1.81737209670246,1.91693129841054,-3.527826156773,-14.6826291689031
1676593554000,-2698887.16447166,-4293241.15154977,3855512.59417846,37.4310671936378,-122.154958632739,34.4306049123406,7.2900910521812,-23.1746510753789,17.9305585231942
1676593555000,-2698887.90305758,-4293245.32728236,3855503.10792078,37.4309778082949,-122.154940588166,31.7842148859054,8.88717154058869,-33.0951877142495,15.2841225806353
1676593556000,-2698888.00184394,-4293240.99324953,3855512.23345545,37.4310629060695,-122.154967594483,34.4588237348944,6.496913117291,-23.6505133541027,17.9587764506228
1676593557000,-2698885.41490828,-4293253.06648276,3855516.29277887,37.4310435133763,-122.154870250675,43.9494353523478,15.1125624589347,-25.8028647383371,27.4493651216179
1676593558000,-2698869.34228403,-4293183.75858497,3855498.92383757,37.4312874277185,-122.155133272472,-19.9945287927985,-8.16667949020941,1.26831384008183,-36.4945341412294
1676593559000,-2698877.32118521,-4293215.78250928,3855507.64245718,37.4311780755611,-122.155017026495,10.2058068001643,2.12181527413502,-10.8682336702559,-6.29420283914782
NaN,-2698885.72576265,-4293216.56989231,3855511.6405254,37.4311785341369,-122.155092685743,16.7171601383016,-4.57453801524683,-10.8173482959768,0.21714929950068
1676593561000,-2698896.260087,-4293217.84623145,3855511.60660541,37.431141670146,-122.155185776649,22.0066414382309,-12.813730198501,-14.9087402001018,5.50661110641118
1676593562000,-2698883.01174309,-4293211.54212443,3855520.44618486,37.4312727581008,-122.155096958022,17.5422485154122,-4.95265808302659,-0.359804115799324,1.04224658643181
1676593563000,-2698883.55708009,-4293214.02805369,3855518.58393564,37.4312463188145,-122.155087225927,18.3120658379048,-4.09130472925085,-3.29419689229422,1.81206367410636
1676593564000,-2698884.42835331,-4293217.11721117,3855523.83852315,37.4312670522665,-122.155076984224,23.9508471274748,-3.18484721207517,-0.993073980805505,7.45084625582662
