utc,X,Y,Z,lat,lon,h,E,N,U
1676594010999,-2698868.36026813,-4293199.09460383,3855516.21464124,37.431342898066,-122.155031659188,0.410052601248026,0.826721121653999,7.42473210273394,-16.0899517859403
1676594011999,-2698870.58730531,-4293195.62107045,3855511.57692174,37.4313193298445,-122.15507384929,-3.8027920005843,-2.90736971366505,4.80899262295919,-20.302794481017
1676594012999,-2698867.78162816,-4293204.81327747,3855514.34507328,37.4313046938971,-122.154991736329,2.87371085304767,4.36015152512151,3.18461606413801,-13.6262914333866
1676594013999,-2698866.85370045,-4293198.83106554,3855511.60677408,37.431315542612,-122.155018832776,-3.20453278534114,1.961939684926,4.38866419731685,-19.704534601567
1676594014999,-2698868.47264553,-4293204.95844327,3855516.55268718,37.431317801842,-122.154997473362,4.60515002254397,3.85238758360447,4.63941274565321,-11.8948528308596
1676594015999,-2698866.60523953,-4293189.51052134,3855509.36763717,37.431343460354,-122.155072503075,-10.936512587592,-2.78821714150975,7.4871251235507,-27.4365176041221
1676594016999,-2698872.52489851,-4293201.5700468,3855517.42279155,37.4313279265003,-122.155056610621,4.5686238668859,-1.38164020594423,5.76310548582177,-11.9313788945727
1676594017999,-2698865.05786753,-4293190.23351052,3855503.45451423,37.4313023109163,-122.155053354066,-14.6984690232202,-1.09341131335076,2.92012991223141,-31.1984697869816
1676594018999,-2698870.33497741,-4293201.27805326,3855520.37731517,37.4313568021962,-122.155037418692,5.24260770902038,0.316968678274287,8.96789922201279,-11.257398622745
1676594019999,-2698877.85405915,-4293203.32543971,3855522.05717284,37.431337413231,-122.155097031197,10.8177745863795,-4.95912508707275,6.81600616154479,-5.68223099156977
1676594020999,-2698873.43307281,-4293208.61038697,3855516.03017685,37.4312826735426,-122.15502296242,8.83906585909426,1.59644376102968,0.740669264066865,-7.66093438229967
1676594021999,-2698872.38399375,-4293209.61602568,3855515.45463955,37.4312769507915,-122.155006880276,8.72195714060217,3.01981878838316,0.10552499820617,-7.77804357270141
1676594022999,-2698865.68525153,-4293214.2175992,3855516.208124,37.4312805312987,-122.154915132914,9.44245790690184,11.140061128264,0.502917734676251,-7.05755182896213
1676594023999,-2698860.49286188,-4293213.6942172,3855494.60294364,37.4311435105249,-122.154868612132,-6.23561783693731,15.2574453066851,-14.7044142608159,-22.7356530638357
1676594024999,-2698870.81275722,-4293227.54552316,3855507.68393722,37.4311428036873,-122.154884036443,15.3884777529165,13.8923408407875,-14.782915731299,-1.11155454011711
1676594025999,-2698875.26967921,-4293210.61690557,3855504.63642261,37.4311864972144,-122.155028464819,4.03897135425359,1.109446007404,-9.93353930120453,-12.4610365008578
1676594026999,-2698875.17669222,-4293212.44085682,3855506.70967608,37.4311931453873,-122.155016607485,6.48602008633316,2.15889878773728,-9.19568976180871,-10.0139869272961
1676594027999,-2698873.73090611,-4293203.53468722,3855508.80414372,37.4312536376671,-122.155056332825,1.16059750784189,-1.35705411804205,-2.48190046143901,-15.3394031198301
1676594028999,-2698877.92479971,-4293207.85145791,3855511.09053947,37.4312377583356,-122.155070491745,7.22479336801916,-2.61021309193015,-4.24428392710032,-9.27520858039407
1676594029999,-2698870.35871937,-4293214.03728118,3855512.07500293,37.4312381742169,-122.154960921394,8.78418323304504,7.08748420038066,-4.19812540116198,-7.71582208618918
1676594030999,-2698874.30191021,-4293204.53145846,3855507.69924036,37.4312394465506,-122.155055800936,1.40045452304184,-1.30997876434628,-4.05691250489437,-15.0995469050751
1676594031999,-2698876.80698454,-4293218.54813437,3855519.58452164,37.4312521948553,-122.154995477551,19.1062589520589,4.02904242538987,-2.64203862973386,2.60625713340786
1676594032999,-2698875.23557937,-4293212.03111842,3855513.38884043,37.4312426616636,-122.155019634628,10.2951015215367,1.89097653111092,-3.70008579177664,-6.20489983553174
1676594033999,-2698872.05957367,-4293211.13582237,3855519.39797651,37.431299063739,-122.154994638119,12.0033769207075,4.10333062175053,2.55975204517783,-4.49662491289159
1676594034999,-2698872.6437427,-4293200.3699743,3855499.48276978,37.4312047865089,-122.155064963781,-7.09204543381929,-2.1209481418536,-7.90367306487972,-23.5920506966631
1676594035999,-2698867.04615648,-4293202.77417063,3855505.93336894,37.4312561074948,-122.154996962812,-3.92067777458578,3.89757259541332,-2.20778218558506,-20.4206793477668
1676594036999,-2698864.41886788,-4293194.82845138,3855499.78731665,37.4312566309855,-122.155019611046,-14.1083966139704,1.89305606855955,-2.14967947366843,-30.6083972570439
1676594037999,-2698882.85408672,-4293208.24081037,3855515.71510015,37.4312546739047,-122.155115301605,12.3806184185669,-6.57618381378625,-2.36689453434622,-4.11938540774157
