utc,X,Y,Z,lat,lon,h,E,N,U
1676594096000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676594097000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676594098000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676594099000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676594100000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1676594101000,-2698852.72299252,-4293236.71912733,3855500.81512388,37.4311038503267,-122.154655835758,9.73575426265597,34.0896387269857,-19.1061186760978,-6.76436542783761
1676594102000,-2698851.92515235,-4293243.71259956,3855500.42816554,37.4310709823597,-122.154606151086,13.8649779846892,38.487109710785,-22.7539955277726,-2.63517869981675
1676594103000,-2698861.33837561,-4293250.49952282,3855509.64541782,37.431078027445,-122.154655382622,28.0082134865224,34.1298537434099,-21.9721576566701,11.5080843249444
1676594104000,-2698867.13931696,-4293243.87126666,3855509.39819205,37.431090082565,-122.154750728328,25.8534604152665,25.6910744762484,-20.6342286232051,9.35337526014218
1676594105000,-2698863.18730979,-4293229.99408362,3855501.46078379,37.4311091507853,-122.154796371418,10.0294637996703,21.6512824018551,-18.5178848716133,-6.47059986515435
1676594106000,-2698866.75870043,-4293229.99442487,3855503.92277249,37.4311163550986,-122.154830531569,13.0354444263503,18.6278852574434,-17.7183232453994,-3.46460742566303
1676594107000,-2698870.04059358,-4293229.75195576,3855507.30267351,37.4311320964304,-122.154863382571,16.3137561436743,15.720353274496,-15.9712705218417,-0.186283260108039
1676594108000,-2698874.02783931,-4293233.98040774,3855506.53267236,37.4310953611093,-122.154876096047,20.3735443102196,14.5951403814907,-20.0483926067133,3.8734960292404
1676594109000,-2698864.82735807,-4293229.86021495,3855506.1624131,37.4311386306787,-122.154812864312,13.4902657875791,20.1915528838054,-15.2460438863048,-3.00978440962693
1676594110000,-2698861.81514741,-4293224.09534176,3855500.30914602,37.4311322594059,-122.154818716287,4.78396751079708,19.673588320252,-15.9531452098485,-11.716082804369
