utc,X,Y,Z,lat,lon,h,E,N,U
1676593472999,-2698875.815274,-4293207.29647407,3855525.50344488,37.431349601516,-122.155053650302,14.7204629266635,-1.11963444861434,8.16873795624834,-1.779542417728
1676593473999,-2698869.40580119,-4293201.83999584,3855515.47143909,37.4313218043927,-122.155025151517,2.24585941899568,1.40269217731105,5.08363648097257,-14.2541427666074
1676593474999,-2698873.16612564,-4293202.68214759,3855517.47173374,37.4313212515411,-122.155056056945,5.61700898315758,-1.33263666222061,5.02228046309852,-10.8829931392404
1676593475999,-2698868.75291948,-4293197.37704408,3855516.33718716,37.4313505937864,-122.155045743254,-0.504199321381748,-0.419807970346747,8.27884619012597,-17.0042047238206
1676593476999,-2698871.48476958,-4293201.53578049,3855514.28544755,37.4313086698726,-122.155046867287,2.1990985898301,-0.519292511855423,3.62589136138387,-14.3009024648097
1676593477999,-2698873.61121441,-4293197.38206927,3855515.83690421,37.4313328308428,-122.155092185237,1.24831704888493,-4.53021964275526,6.30741579866755,-15.2516876853745
1676593478999,-2698866.31026974,-4293189.48801705,3855505.27280089,37.4313151265785,-122.15506981685,-13.5651850458235,-2.55046951488253,4.34248351850894,-30.0651870377086
1676593479999,-2698872.41787679,-4293192.77824492,3855505.34888073,37.4312826144214,-122.15510845439,-8.72578936535865,-5.97013794677466,0.734107602565592,-25.2257921979698
1676593480999,-2698877.8635723,-4293201.53732378,3855512.18342516,37.4312750312038,-122.155107874612,3.61832209210843,-5.91883599066192,-0.107520526280282,-12.8816806506131
1676593481999,-2698878.80499037,-4293207.73607793,3855519.5561873,37.4312962979437,-122.155079605029,12.6647121179849,-3.41679883777449,2.25278754890848,-3.83528919406658
1676593482999,-2698881.53272027,-4293203.15256685,3855512.19307362,37.4312569170221,-122.155133259014,6.26074140612036,-8.16552524989403,-2.11793656332763,-10.2392641653067
1676593483999,-2698886.31787939,-4293209.08608135,3855524.0810573,37.4313005159267,-122.155143351678,19.4976572589949,-9.05880548652722,2.72093159945454,2.99765025050528
1676593484999,-2698881.59664687,-4293207.31832279,3855518.40421037,37.4312818559919,-122.155108820715,12.8634945573285,-6.00258041867709,0.649935085431193,-3.63650829647062
1676593485999,-2698875.87996326,-4293208.66784633,3855517.38929998,37.4312849996063,-122.15504602268,10.7378884991631,-0.444540157457343,0.998829693823318,-5.76211159386709
1676593486999,-2698873.2550547,-4293219.61590105,3855516.53970685,37.4312358117327,-122.154955080809,16.4723151074722,7.60442382292962,-4.46033276539219,-0.0276909841524522
1676593487999,-2698866.00876006,-4293217.89748231,3855497.88811541,37.4311314504996,-122.154896099473,0.918038901872933,12.8246536156283,-16.0429259269583,-15.5819942116329
1676593488999,-2698868.76654312,-4293221.75626961,3855499.16909249,37.4311146868192,-122.154899275371,5.45631227828562,12.5435773890357,-17.903468871296,-11.0437252429539
1676593489999,-2698867.9724248,-4293229.52249714,3855487.30435612,37.4309961036522,-122.154844979262,3.1303399996832,17.3491671401994,-31.0645005630587,-13.3697594432968
1676593490999,-2698867.98646397,-4293236.85588221,3855501.74938968,37.4310654139217,-122.154801016483,16.8461629040539,21.2401978334463,-23.3720867762561,0.34608463055698
1676593491999,-2698859.10835157,-4293238.51033904,3855502.1572974,37.4310865377944,-122.154706144228,14.4543026145548,29.6370278142294,-21.0275984302916,-2.04580092236521
1676593492999,-2698857.99376395,-4293224.98843195,3855498.65967547,37.4311274548162,-122.154776792381,2.76682855002582,23.38412717914,-16.4863717533109,-13.7332356346662
1676593493999,-2698852.46331022,-4293217.24506032,3855495.58698367,37.4311574909794,-122.154770453062,-6.64378082938492,23.945154161438,-13.1527634334935,-23.1438393238121
1676593494999,-2698855.10647649,-4293214.49714334,3855497.91700649,37.4311791986524,-122.15481226023,-5.95789993554354,20.2449456929368,-10.743534749238,-22.45794110016
1676593495999,-2698856.51900649,-4293207.09077199,3855490.06810679,37.4311532632285,-122.154870308061,-15.1107302671298,15.1073216030984,-13.6219855537207,-31.6107627268736
1676593496999,-2698855.82196592,-4293220.46368476,3855496.62824675,37.4311402289135,-122.154783226189,-2.42763934005052,22.814670091619,-15.0686177600711,-18.9276979469446
1676593497999,-2698863.05231516,-4293208.46840251,3855494.1703986,37.4311571850375,-122.154924518733,-8.93006596621126,10.3093419813871,-13.1867418369344,-25.4300879603517
1676593498999,-2698859.66429887,-4293219.76480724,3855505.916678,37.4311987274318,-122.154824182685,4.3719404488802,19.1897574875457,-8.57613715062809,-12.1280941659213
1676593499999,-2698859.21768484,-4293215.67282252,3855500.59022868,37.4311808915427,-122.154844516574,-1.80523297935724,17.3900620087043,-10.555661563081,-18.3052654167898
1676593500999,-2698859.11182079,-4293225.09693159,3855496.14592802,37.4311057076264,-122.154786834764,1.78440865408629,22.4953127402785,-18.9000002675911,-14.7156590534931
1676593501999,-2698865.07577831,-4293224.02841503,3855499.38604189,37.4311164615834,-122.154850308385,5.5559090198949,16.8774829672425,-17.7064878154047,-10.9441379337643
1676593502999,-2698860.52368134,-4293217.67637199,3855494.75119292,37.4311260184047,-122.154844961354,-3.45535484049469,17.3507042531365,-16.6457914565767,-19.9554001978965
1676593503999,-2698870.86111043,-4293225.50424391,3855500.6331139,37.4311016796051,-122.154896773608,9.75105606112629,12.7650109133496,-19.3470981134453,-6.7489861277303
