utc,X,Y,Z
434930999660032,-2547552.78391582,-4259340.99706056,3901427.27513464
434931999660032,-2547559.38314028,-4259333.37098328,3901418.65464297
434932999660032,-2547557.2441425,-4259319.18831467,3901400.72548283
434933999660032,-2547558.13256961,-4259308.84537307,3901386.75604212
434934999660032,-2547558.97516332,-4259298.32208082,3901374.67169163
434935999660032,-2547559.58108024,-4259285.76415325,3901356.14164502
434936999660032,-2547561.42446342,-4259276.06489316,3901339.22772655
434937999660032,-2547568.94643563,-4259267.46855188,3901324.04611451
434938999660032,-2547573.37695651,-4259263.13367012,3901310.29272371
434939999660032,-2547570.57392556,-4259253.37146192,3901293.09589732
434940999660032,-2547572.58777608,-4259238.20076289,3901279.73712683
434941999660032,-2547576.10443548,-4259225.74587967,3901262.62354544
434942999660032,-2547576.36149252,-4259217.37243849,3901245.30177102
434943999660032,-2547577.28999737,-4259206.35859719,3901232.34176653
434944999660032,-2547576.54986161,-4259196.70538624,3901218.32778007
434945999660032,-2547580.3873264,-4259191.64424886,3901206.27594162
434946999660032,-2547584.22118995,-4259180.64215926,3901184.96100898
434947999660032,-2547588.12636945,-4259161.76689488,3901163.26681245
434948999660032,-2547593.45708908,-4259158.30698463,3901144.27928839
434949999660032,-2547601.03456202,-4259151.3776266,3901125.38797208
434950999660032,-2547599.45841373,-4259143.13551247,3901110.36600409
434951999660032,-2547597.24794025,-4259128.71942811,3901099.44985651
434952999660032,-2547599.66562695,-4259118.26165601,3901085.26118288
434953999660032,-2547598.3403913,-4259106.66505365,3901071.42132727
434954999660032,-2547602.70939755,-4259101.74466991,3901054.39448338
434955999660032,-2547605.77458935,-4259088.72265291,3901034.14850009
434956999660032,-2547605.11512898,-4259076.60360956,3901021.02583977
434957999660032,-2547614.04285997,-4259076.44213954,3901017.8877447
434958999660032,-2547608.35915476,-4259057.30305154,3900999.05631002
434959999660032,-2547607.45516366,-4259046.55679874,3900985.50308661
434960999660032,-2547603.34084774,-4259028.58729822,3900967.33001694
434961999660032,-2547606.21857336,-4259020.39202011,3900949.6082148
434962999660032,-2547609.80482029,-4259013.82379754,3900931.28834602
